requirement_id,canonical_requirement_id,function_type,reason,integration_requests
CPF-FR-003413,GWY-RESILIENCE,RUNTIME_TEST,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003414,GWY-RESILIENCE,FAULT_TEST,Full Java25 resilience engine integration and distributed circuit state require S01 target regression.,S03-ICR-004
CPF-FR-003441,API-LIMIT,MULTI_INSTANCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003442,API-LIMIT,LOCAL_REMOTE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003443,API-LIMIT,MIXED_VERSION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003454,API-LIMIT,HEALTH,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003455,API-LIMIT,ALERT_RUNBOOK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003456,API-LIMIT,RESOURCE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003457,API-LIMIT,DB_OWNER,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003458,API-LIMIT,DB_SCHEMA,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003459,API-LIMIT,DB_QUERY,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003460,API-LIMIT,DB_MIGRATION,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003461,API-LIMIT,DB_ROLLBACK,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003462,API-LIMIT,DB_VENDOR,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003463,API-LIMIT,API_OPENAPI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003464,API-LIMIT,FRONTEND,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003465,API-LIMIT,ADM_UI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003466,API-LIMIT,BZA_UI,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003467,API-LIMIT,GENERATOR,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003468,API-LIMIT,SAMPLE_EDU,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003469,API-LIMIT,JAVADOC,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003470,API-LIMIT,GUIDE,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003473,API-LIMIT,INTEGRATION_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003474,API-LIMIT,RUNTIME_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003475,API-LIMIT,FAULT_TEST,"Java25 Gradle test, browser E2E, real downstream/TLS/SSRF and multi-instance route apply remain for target environment.",S03-ICR-002;S03-ICR-004
CPF-FR-003502,EXS-INST,MULTI_INSTANCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003503,EXS-INST,LOCAL_REMOTE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003504,EXS-INST,MIXED_VERSION,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003515,EXS-INST,HEALTH,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003516,EXS-INST,ALERT_RUNBOOK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003517,EXS-INST,RESOURCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003518,EXS-INST,DB_OWNER,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003519,EXS-INST,DB_SCHEMA,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003520,EXS-INST,DB_QUERY,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003521,EXS-INST,DB_MIGRATION,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003522,EXS-INST,DB_ROLLBACK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003523,EXS-INST,DB_VENDOR,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003524,EXS-INST,API_OPENAPI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003525,EXS-INST,FRONTEND,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003526,EXS-INST,ADM_UI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003527,EXS-INST,BZA_UI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003528,EXS-INST,GENERATOR,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003529,EXS-INST,SAMPLE_EDU,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003530,EXS-INST,JAVADOC,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003531,EXS-INST,GUIDE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003534,EXS-INST,INTEGRATION_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003535,EXS-INST,RUNTIME_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003536,EXS-INST,FAULT_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003563,EXS-REST,MULTI_INSTANCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003564,EXS-REST,LOCAL_REMOTE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003565,EXS-REST,MIXED_VERSION,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003576,EXS-REST,HEALTH,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003577,EXS-REST,ALERT_RUNBOOK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003578,EXS-REST,RESOURCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003579,EXS-REST,DB_OWNER,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003580,EXS-REST,DB_SCHEMA,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003581,EXS-REST,DB_QUERY,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003582,EXS-REST,DB_MIGRATION,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003583,EXS-REST,DB_ROLLBACK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003584,EXS-REST,DB_VENDOR,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003585,EXS-REST,API_OPENAPI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003586,EXS-REST,FRONTEND,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003587,EXS-REST,ADM_UI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003588,EXS-REST,BZA_UI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003589,EXS-REST,GENERATOR,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003590,EXS-REST,SAMPLE_EDU,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003591,EXS-REST,JAVADOC,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003592,EXS-REST,GUIDE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003595,EXS-REST,INTEGRATION_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003596,EXS-REST,RUNTIME_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003597,EXS-REST,FAULT_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003624,EXS-FIXED,MULTI_INSTANCE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003625,EXS-FIXED,LOCAL_REMOTE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003626,EXS-FIXED,MIXED_VERSION,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003637,EXS-FIXED,HEALTH,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003638,EXS-FIXED,ALERT_RUNBOOK,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003639,EXS-FIXED,RESOURCE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003640,EXS-FIXED,DB_OWNER,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003641,EXS-FIXED,DB_SCHEMA,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003642,EXS-FIXED,DB_QUERY,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003643,EXS-FIXED,DB_MIGRATION,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003644,EXS-FIXED,DB_ROLLBACK,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003645,EXS-FIXED,DB_VENDOR,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003646,EXS-FIXED,API_OPENAPI,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003647,EXS-FIXED,FRONTEND,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003648,EXS-FIXED,ADM_UI,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003649,EXS-FIXED,BZA_UI,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003650,EXS-FIXED,GENERATOR,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003651,EXS-FIXED,SAMPLE_EDU,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003652,EXS-FIXED,JAVADOC,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003653,EXS-FIXED,GUIDE,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003656,EXS-FIXED,INTEGRATION_TEST,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003657,EXS-FIXED,RUNTIME_TEST,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003658,EXS-FIXED,FAULT_TEST,Generator/template and generated-domain parity require S06 target regeneration.,S03-ICR-003
CPF-FR-003685,EXS-SEC,MULTI_INSTANCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003686,EXS-SEC,LOCAL_REMOTE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003687,EXS-SEC,MIXED_VERSION,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003698,EXS-SEC,HEALTH,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003699,EXS-SEC,ALERT_RUNBOOK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003700,EXS-SEC,RESOURCE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003701,EXS-SEC,DB_OWNER,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003702,EXS-SEC,DB_SCHEMA,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003703,EXS-SEC,DB_QUERY,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003704,EXS-SEC,DB_MIGRATION,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003705,EXS-SEC,DB_ROLLBACK,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003706,EXS-SEC,DB_VENDOR,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003707,EXS-SEC,API_OPENAPI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003708,EXS-SEC,FRONTEND,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003709,EXS-SEC,ADM_UI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003710,EXS-SEC,BZA_UI,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003711,EXS-SEC,GENERATOR,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003712,EXS-SEC,SAMPLE_EDU,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003713,EXS-SEC,JAVADOC,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003714,EXS-SEC,GUIDE,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003717,EXS-SEC,INTEGRATION_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003718,EXS-SEC,RUNTIME_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003719,EXS-SEC,FAULT_TEST,"Real TLS/mTLS, proxy/DNS rebinding, remote provider and distributed telemetry require target environment.",S03-ICR-004
CPF-FR-003746,EXS-FILE,MULTI_INSTANCE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003747,EXS-FILE,LOCAL_REMOTE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003748,EXS-FILE,MIXED_VERSION,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003759,EXS-FILE,HEALTH,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003760,EXS-FILE,ALERT_RUNBOOK,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003761,EXS-FILE,RESOURCE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003762,EXS-FILE,DB_OWNER,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003763,EXS-FILE,DB_SCHEMA,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003764,EXS-FILE,DB_QUERY,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003765,EXS-FILE,DB_MIGRATION,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003766,EXS-FILE,DB_ROLLBACK,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003767,EXS-FILE,DB_VENDOR,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003768,EXS-FILE,API_OPENAPI,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003769,EXS-FILE,FRONTEND,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003770,EXS-FILE,ADM_UI,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003771,EXS-FILE,BZA_UI,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003772,EXS-FILE,GENERATOR,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003773,EXS-FILE,SAMPLE_EDU,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003774,EXS-FILE,JAVADOC,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003775,EXS-FILE,GUIDE,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003778,EXS-FILE,INTEGRATION_TEST,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003779,EXS-FILE,RUNTIME_TEST,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003780,EXS-FILE,FAULT_TEST,"Real SFTP server, DB vendor ledger, process kill during write/rename and ADM browser workflow require target environment.",S03-ICR-001;S03-ICR-002
CPF-FR-003807,EXS-UNKNOWN,MULTI_INSTANCE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003808,EXS-UNKNOWN,LOCAL_REMOTE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003809,EXS-UNKNOWN,MIXED_VERSION,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003820,EXS-UNKNOWN,HEALTH,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003821,EXS-UNKNOWN,ALERT_RUNBOOK,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003822,EXS-UNKNOWN,RESOURCE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003823,EXS-UNKNOWN,DB_OWNER,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003824,EXS-UNKNOWN,DB_SCHEMA,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003825,EXS-UNKNOWN,DB_QUERY,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003826,EXS-UNKNOWN,DB_MIGRATION,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003827,EXS-UNKNOWN,DB_ROLLBACK,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003828,EXS-UNKNOWN,DB_VENDOR,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003829,EXS-UNKNOWN,API_OPENAPI,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003830,EXS-UNKNOWN,FRONTEND,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003831,EXS-UNKNOWN,ADM_UI,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003832,EXS-UNKNOWN,BZA_UI,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003833,EXS-UNKNOWN,GENERATOR,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003834,EXS-UNKNOWN,SAMPLE_EDU,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003835,EXS-UNKNOWN,JAVADOC,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003836,EXS-UNKNOWN,GUIDE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003839,EXS-UNKNOWN,INTEGRATION_TEST,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003840,EXS-UNKNOWN,RUNTIME_TEST,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003841,EXS-UNKNOWN,FAULT_TEST,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003868,EXS-RECON,MULTI_INSTANCE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003869,EXS-RECON,LOCAL_REMOTE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003870,EXS-RECON,MIXED_VERSION,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003881,EXS-RECON,HEALTH,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003882,EXS-RECON,ALERT_RUNBOOK,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003883,EXS-RECON,RESOURCE,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
CPF-FR-003884,EXS-RECON,DB_OWNER,"Three-vendor JDBC, two-process kill/reclaim and real provider query/manual ADM flow require target integration.",S03-ICR-001;S03-ICR-002;S03-ICR-005
