key,env,type,default,required,range_condition,consumer,profile_capability,restart,secret,symptom,check,expected,rollback,source_path
cpf.integration.resilience.locking.local.maximum-tracked-keys,CPF_INTEGRATION_RESILIENCE_LOCKING_LOCAL_MAXIMUM_TRACKED_KEYS,Integer,implementation constant,local provider 사용 시,positive bounded,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.resilience.locking.jdbc-provider-enabled,CPF_INTEGRATION_RESILIENCE_LOCKING_JDBC_PROVIDER_ENABLED,Boolean,false,아니오,true/false,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.resilience.state.jdbc-provider-enabled,CPF_INTEGRATION_RESILIENCE_STATE_JDBC_PROVIDER_ENABLED,Boolean,false,아니오,true/false,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.resilience.state.jdbc.maximum-states,CPF_INTEGRATION_RESILIENCE_STATE_JDBC_MAXIMUM_STATES,Integer,implementation constant,jdbc state 사용 시,positive bounded,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.resilience.state.jdbc.maximum-commands,CPF_INTEGRATION_RESILIENCE_STATE_JDBC_MAXIMUM_COMMANDS,Integer,implementation constant,jdbc state 사용 시,positive bounded,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.resilience.state.jdbc.command-ttl,CPF_INTEGRATION_RESILIENCE_STATE_JDBC_COMMAND_TTL,Duration,implementation constant,jdbc state 사용 시,positive,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.resilience.engine.maximum-guard-entries,CPF_INTEGRATION_RESILIENCE_ENGINE_MAXIMUM_GUARD_ENTRIES,Integer,10000,enabled=true,1..1000000,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.resilience.engine.guard-idle-ttl,CPF_INTEGRATION_RESILIENCE_ENGINE_GUARD_IDLE_TTL,Duration,30m,enabled=true,>0..365d,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.reconciliation.worker.id,CPF_RECONCILIATION_WORKER_ID,String,CPF-RECONCILIATION,reconcile worker 사용 시,non-blank,CpfResilienceAutoConfiguration,integration/resilience,필요,아니오,lock/state/guard/reconcile 정책 오류,resilience fault test + runtime health,retry/circuit/lock/reconcile 경계 정상,이전 값 복원,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceAutoConfiguration.java
cpf.integration.tcp.enabled,CPF_INTEGRATION_TCP_ENABLED,Boolean,false,아니오,true/false,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.mode,CPF_INTEGRATION_TCP_MODE,Enum,CLIENT,enabled=true,CLIENT/SERVER,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.host,CPF_INTEGRATION_TCP_HOST,String,127.0.0.1,CLIENT,non-blank,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.port,CPF_INTEGRATION_TCP_PORT,Integer,0,enabled=true,1..65535,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.pool-size,CPF_INTEGRATION_TCP_POOL_SIZE,Integer,4,enabled=true,1..256,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.connect-timeout,CPF_INTEGRATION_TCP_CONNECT_TIMEOUT,Duration,3s,enabled=true,positive,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.response-timeout,CPF_INTEGRATION_TCP_RESPONSE_TIMEOUT,Duration,10s,enabled=true,positive,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.idle-timeout,CPF_INTEGRATION_TCP_IDLE_TIMEOUT,Duration,60s,enabled=true,positive,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.frame,CPF_INTEGRATION_TCP_FRAME,Enum,LENGTH_HEADER,enabled=true,FIXED|LENGTH_HEADER|STX_ETX|CRLF,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.fixed-length,CPF_INTEGRATION_TCP_FIXED_LENGTH,Integer,0,frame=FIXED,positive,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.max-frame-bytes,CPF_INTEGRATION_TCP_MAX_FRAME_BYTES,Integer,1048576,enabled=true,positive/bounded,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.charset,CPF_INTEGRATION_TCP_CHARSET,Charset,UTF-8,enabled=true,supported charset,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.tls,CPF_INTEGRATION_TCP_TLS,Boolean,false,아니오,true/false,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.mutual-tls,CPF_INTEGRATION_TCP_MUTUAL_TLS,Boolean,false,아니오,tls=true일 때만 true,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.key-store,CPF_INTEGRATION_TCP_KEY_STORE,Path,없음,TLS/mTLS 조건,readable,CpfTcpProperties,integration-transport:tcp,필요,예,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.trust-store,CPF_INTEGRATION_TCP_TRUST_STORE,Path,없음,TLS/mTLS 조건,readable,CpfTcpProperties,integration-transport:tcp,필요,예,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.key-store-password,CPF_INTEGRATION_TCP_KEY_STORE_PASSWORD,Secret,없음,keystore 사용 시,non-blank,CpfTcpProperties,integration-transport:tcp,필요,예,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.trust-store-password,CPF_INTEGRATION_TCP_TRUST_STORE_PASSWORD,Secret,없음,truststore 사용 시,non-blank,CpfTcpProperties,integration-transport:tcp,필요,예,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.max-pending,CPF_INTEGRATION_TCP_MAX_PENDING,Integer,10000,enabled=true,positive,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.max-orphans,CPF_INTEGRATION_TCP_MAX_ORPHANS,Integer,1000,enabled=true,positive,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.max-unknown-results,CPF_INTEGRATION_TCP_MAX_UNKNOWN_RESULTS,Integer,10000,enabled=true,positive,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.unknown-result-journal,CPF_INTEGRATION_TCP_UNKNOWN_RESULT_JOURNAL,Path,runtime/cpf/tcp/unknown-results.journal,enabled=true,writable bounded path,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.reconnect-initial,CPF_INTEGRATION_TCP_RECONNECT_INITIAL,Duration,200ms,enabled=true,positive,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.reconnect-max,CPF_INTEGRATION_TCP_RECONNECT_MAX,Duration,30s,enabled=true,>= initial,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.integration.tcp.reconnect-jitter,CPF_INTEGRATION_TCP_RECONNECT_JITTER,Double,0.2,enabled=true,0..1,CpfTcpProperties,integration-transport:tcp,필요,아니오,연결/framing/TLS/queue/UNKNOWN 원장 오류,TCP health + disconnect/half-open/response-loss fault,bounded queue·reconnect·UNKNOWN journal 정상,이전 값/keystore ref 복원,cpf-starters/integration/tcp/src/main/java/com/cpf/starter/tcp/CpfTcpProperties.java
cpf.messaging.kafka.acknowledgement-timeout,CPF_MESSAGING_KAFKA_ACKNOWLEDGEMENT_TIMEOUT,Duration,10s,Kafka 사용 시,positive,CpfKafkaProperties,messaging:kafka,필요,아니오,ACK/payload/binding 정책 오류,Kafka health + duplicate/ACK loss test,stable binding·payload·ack 의미,이전 값 복원,cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/kafka/CpfKafkaProperties.java
cpf.messaging.kafka.maximum-payload-bytes,CPF_MESSAGING_KAFKA_MAXIMUM_PAYLOAD_BYTES,Integer,1048576,Kafka 사용 시,<=16777216,CpfKafkaProperties,messaging:kafka,필요,아니오,ACK/payload/binding 정책 오류,Kafka health + duplicate/ACK loss test,stable binding·payload·ack 의미,이전 값 복원,cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/kafka/CpfKafkaProperties.java
cpf.messaging.kafka.require-idempotence,CPF_MESSAGING_KAFKA_REQUIRE_IDEMPOTENCE,Boolean,binding default,아니오,true/false,CpfKafkaProperties,messaging:kafka,필요,아니오,ACK/payload/binding 정책 오류,Kafka health + duplicate/ACK loss test,stable binding·payload·ack 의미,이전 값 복원,cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/kafka/CpfKafkaProperties.java
cpf.messaging.kafka.binding-name,CPF_MESSAGING_KAFKA_BINDING_NAME,String,kafka,Kafka 사용 시,non-blank,CpfKafkaProperties,messaging:kafka,필요,아니오,ACK/payload/binding 정책 오류,Kafka health + duplicate/ACK loss test,stable binding·payload·ack 의미,이전 값 복원,cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/kafka/CpfKafkaProperties.java
cpf.messaging.kafka.default-binding,CPF_MESSAGING_KAFKA_DEFAULT_BINDING,Boolean,false,아니오,true/false,CpfKafkaProperties,messaging:kafka,필요,아니오,ACK/payload/binding 정책 오류,Kafka health + duplicate/ACK loss test,stable binding·payload·ack 의미,이전 값 복원,cpf-starters/messaging/kafka/src/main/java/com/cpf/starter/kafka/CpfKafkaProperties.java
cpf.messaging.jms.enabled,CPF_MESSAGING_JMS_ENABLED,Boolean,false,아니오,true/false,CpfJmsProperties,messaging:jms,필요,아니오,Destination/transaction/ACK 정책 오류,JMS health + redelivery test,session/ACK/destination 계약 일치,이전 값 복원,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java
cpf.messaging.jms.binding-name,CPF_MESSAGING_JMS_BINDING_NAME,String,jms,enabled=true,non-blank,CpfJmsProperties,messaging:jms,필요,아니오,Destination/transaction/ACK 정책 오류,JMS health + redelivery test,session/ACK/destination 계약 일치,이전 값 복원,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java
cpf.messaging.jms.default-binding,CPF_MESSAGING_JMS_DEFAULT_BINDING,Boolean,false,아니오,true/false,CpfJmsProperties,messaging:jms,필요,아니오,Destination/transaction/ACK 정책 오류,JMS health + redelivery test,session/ACK/destination 계약 일치,이전 값 복원,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java
cpf.messaging.jms.destination,CPF_MESSAGING_JMS_DESTINATION,String,없음,enabled=true,non-blank,CpfJmsProperties,messaging:jms,필요,아니오,Destination/transaction/ACK 정책 오류,JMS health + redelivery test,session/ACK/destination 계약 일치,이전 값 복원,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java
cpf.messaging.jms.pub-sub-domain,CPF_MESSAGING_JMS_PUB_SUB_DOMAIN,Boolean,false,아니오,true/false,CpfJmsProperties,messaging:jms,필요,아니오,Destination/transaction/ACK 정책 오류,JMS health + redelivery test,session/ACK/destination 계약 일치,이전 값 복원,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java
cpf.messaging.jms.session-transacted,CPF_MESSAGING_JMS_SESSION_TRANSACTED,Boolean,true,enabled=true,true/false,CpfJmsProperties,messaging:jms,필요,아니오,Destination/transaction/ACK 정책 오류,JMS health + redelivery test,session/ACK/destination 계약 일치,이전 값 복원,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java
cpf.messaging.jms.acknowledgement-mode,CPF_MESSAGING_JMS_ACKNOWLEDGEMENT_MODE,Integer,2,enabled=true,Jakarta JMS ack mode,CpfJmsProperties,messaging:jms,필요,아니오,Destination/transaction/ACK 정책 오류,JMS health + redelivery test,session/ACK/destination 계약 일치,이전 값 복원,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java
cpf.messaging.jms.max-payload-bytes,CPF_MESSAGING_JMS_MAX_PAYLOAD_BYTES,Integer,1048576,enabled=true,positive,CpfJmsProperties,messaging:jms,필요,아니오,Destination/transaction/ACK 정책 오류,JMS health + redelivery test,session/ACK/destination 계약 일치,이전 값 복원,cpf-starters/messaging/jms/src/main/java/com/cpf/starter/jms/CpfJmsProperties.java
cpf.messaging.ibm-mq.enabled,CPF_MESSAGING_IBM_MQ_ENABLED,Boolean,false,아니오,true/false,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.queue-manager,CPF_MESSAGING_IBM_MQ_QUEUE_MANAGER,String,없음,enabled=true,non-blank,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.channel,CPF_MESSAGING_IBM_MQ_CHANNEL,String,없음,CCDT 미사용 시,non-blank,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.connection-name,CPF_MESSAGING_IBM_MQ_CONNECTION_NAME,String,없음,CCDT 미사용 시,non-blank,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.ccdt-url,CPF_MESSAGING_IBM_MQ_CCDT_URL,URI,없음,channel+connection 미사용 시,valid URL,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.tls-required,CPF_MESSAGING_IBM_MQ_TLS_REQUIRED,Boolean,true,아니오,true/false,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.binding-name,CPF_MESSAGING_IBM_MQ_BINDING_NAME,String,ibm-mq,enabled=true,non-blank,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.default-binding,CPF_MESSAGING_IBM_MQ_DEFAULT_BINDING,Boolean,false,아니오,true/false,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.destination,CPF_MESSAGING_IBM_MQ_DESTINATION,String,없음,enabled=true,non-blank,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.ibm-mq.max-payload-bytes,CPF_MESSAGING_IBM_MQ_MAX_PAYLOAD_BYTES,Integer,1048576,enabled=true,positive,CpfIbmMqProperties,messaging:ibm-mq,필요,TLS/credential은 ConnectionFactory 외부화,CCDT 또는 channel/connection 구성 오류,IBM MQ health + connection loss test,승인 ConnectionFactory class + destination 정상,이전 CCDT/channel snapshot 복원,cpf-starters/messaging/ibm-mq/src/main/java/com/cpf/starter/ibmmq/CpfIbmMqProperties.java
cpf.messaging.rabbitmq.enabled,CPF_MESSAGING_RABBITMQ_ENABLED,Boolean,false,아니오,true/false,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.binding-name,CPF_MESSAGING_RABBITMQ_BINDING_NAME,String,rabbitmq,enabled=true,non-blank,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.default-binding,CPF_MESSAGING_RABBITMQ_DEFAULT_BINDING,Boolean,false,아니오,true/false,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.exchange,CPF_MESSAGING_RABBITMQ_EXCHANGE,String,없음,enabled=true,non-blank,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.exchange-type,CPF_MESSAGING_RABBITMQ_EXCHANGE_TYPE,Enum,topic,enabled=true,direct|topic|fanout|headers,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
cpf.messaging.rabbitmq.queue,CPF_MESSAGING_RABBITMQ_QUEUE,String,없음,enabled=true,non-blank,CpfRabbitMqProperties,messaging:rabbitmq,필요,아니오,exchange/queue/confirm/consumer 정책 오류,Rabbit health + confirm/ack/nack test,manual ACK·mandatory publish·binding 정상,이전 broker topology/config 복원,cpf-starters/messaging/rabbitmq/src/main/java/com/cpf/starter/rabbitmq/CpfRabbitMqProperties.java
