requirement_id,source_type,priority,area,QA_B_검수여부,QA_B_검수회차,QA_B_검사내용,QA_B_검수결과,QA_B_미통과사유,development_status,verification_status,baseline_sha,evidence_path,open_issue,next_action,updated_at,updated_by
FDEV-018,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-018,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-019,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-019,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-020,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-020,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-021,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-021,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-022,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-022,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-023,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-023,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-024,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-024,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
FDEV-025,FDEV,P0,Final Development,완료,R6J-DEEP-REAUDIT,"Linked AB-R6 findings, current source consumers, release/runtime/evidence provenance 재검수",미통과,current exact-SHA mandatory runtime/provenance 또는 linked source defect가 남음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_DEEP_SOURCE_AUDIT.md;QA_B_RUNTIME_GAP_MATRIX.csv,FDEV-025,Linked finding을 닫고 current exact-SHA release qualification으로 재검증,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-001,HARDEN,P0,Architecture/Ownership,완료,R6J-DEEP-REAUDIT,Architecture/Ownership source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-001,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-002,HARDEN,P0,Reliability/Commands,완료,R6J-DEEP-REAUDIT,Reliability/Commands source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-002,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-003,HARDEN,P0,DB/Compatibility,완료,R6J-DEEP-REAUDIT,DB/Compatibility source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-003,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-004,HARDEN,P0,Supply-chain,완료,R6J-DEEP-REAUDIT,Supply-chain source/gate/runtime evidence 재검수,미통과,developer local self-test claim exists but current-SHA referenced log/provenance가 repository에 없음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-004,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-005,HARDEN,P1,Performance/Resource,완료,R6J-DEEP-REAUDIT,Performance/Resource source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-005,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-006,HARDEN,P1,Observability/Audit,완료,R6J-DEEP-REAUDIT,Observability/Audit source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-006,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-007,HARDEN,P0,Security,완료,R6J-DEEP-REAUDIT,Security source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-007,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-008,HARDEN,P0,DR/Recovery,완료,R6J-DEEP-REAUDIT,DR/Recovery source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-008,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-009,HARDEN,P1,Artifact Consumer,완료,R6J-DEEP-REAUDIT,Artifact Consumer source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-009,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-010,HARDEN,P0,Generator,완료,R6J-DEEP-REAUDIT,Generator source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-010,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-011,HARDEN,P1,Traceability/Hygiene,완료,R6J-DEEP-REAUDIT,Traceability/Hygiene source/gate/runtime evidence 재검수,미통과,developer local self-test claim exists but current-SHA referenced log/provenance가 repository에 없음,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-011,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
MGR-HARDEN-012,HARDEN,P0,Compatibility/Failure,완료,R6J-DEEP-REAUDIT,Compatibility/Failure source/gate/runtime evidence 재검수,미통과,current exact-SHA runtime/evidence 미완료,재확인 필요,미검증,3ed676061246c9db3e44f29e254c0393ecca3929,cpf-docs/work/v9i/qa/r6j/b/QA_B_ARCHITECTURE_MATRIX.csv;QA_B_RUNTIME_GAP_MATRIX.csv,MGR-HARDEN-012,current exact-SHA hardening qualification + immutable evidence,2026-08-07T20:49:00+09:00,QA-B
