scenario_id,linked_requirement_id,canonical_requirement_ids,priority,area,scenario_type,title,topology,environment,expected_result,failure_criteria,required_evidence,work_package_id,execution_phase_id,_part
CPF-SC-010567,CPF-FR-021645,OPS-CONFIG,P0,RUNTIME_CONTROL,OVERBROAD,[Runtime Control / Business Calendar] OVERBROAD,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-BUSINESS-CALENDAR,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010568,CPF-FR-021645,OPS-CONFIG,P0,RUNTIME_CONTROL,OFFLINE,[Runtime Control / Business Calendar] OFFLINE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-BUSINESS-CALENDAR,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010569,CPF-FR-021645,OPS-CONFIG,P0,RUNTIME_CONTROL,PARTIAL,[Runtime Control / Business Calendar] PARTIAL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-BUSINESS-CALENDAR,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010570,CPF-FR-021645,OPS-CONFIG,P0,RUNTIME_CONTROL,OUT_OF_ORDER,[Runtime Control / Business Calendar] OUT_OF_ORDER,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-BUSINESS-CALENDAR,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010571,CPF-FR-021645,OPS-CONFIG,P0,RUNTIME_CONTROL,DUPLICATE,[Runtime Control / Business Calendar] DUPLICATE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-BUSINESS-CALENDAR,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010572,CPF-FR-021645,OPS-CONFIG,P0,RUNTIME_CONTROL,RESTART,[Runtime Control / Business Calendar] RESTART,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-BUSINESS-CALENDAR,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010573,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,SINGLE,[Runtime Control / Permission Manifest] SINGLE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010574,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,GROUP,[Runtime Control / Permission Manifest] GROUP,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010575,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,ALL,[Runtime Control / Permission Manifest] ALL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010576,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,ZERO_TARGET,[Runtime Control / Permission Manifest] ZERO_TARGET,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010577,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,OVERBROAD,[Runtime Control / Permission Manifest] OVERBROAD,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010578,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,OFFLINE,[Runtime Control / Permission Manifest] OFFLINE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010579,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,PARTIAL,[Runtime Control / Permission Manifest] PARTIAL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010580,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,OUT_OF_ORDER,[Runtime Control / Permission Manifest] OUT_OF_ORDER,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010581,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,DUPLICATE,[Runtime Control / Permission Manifest] DUPLICATE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010582,CPF-FR-021655,OPS-CONFIG,P0,RUNTIME_CONTROL,RESTART,[Runtime Control / Permission Manifest] RESTART,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-PERMISSION-MANIFEST,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010583,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,SINGLE,[Runtime Control / Feature Flag] SINGLE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010584,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,GROUP,[Runtime Control / Feature Flag] GROUP,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010585,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,ALL,[Runtime Control / Feature Flag] ALL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010586,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,ZERO_TARGET,[Runtime Control / Feature Flag] ZERO_TARGET,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010587,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,OVERBROAD,[Runtime Control / Feature Flag] OVERBROAD,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010588,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,OFFLINE,[Runtime Control / Feature Flag] OFFLINE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010589,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,PARTIAL,[Runtime Control / Feature Flag] PARTIAL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010590,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,OUT_OF_ORDER,[Runtime Control / Feature Flag] OUT_OF_ORDER,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010591,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,DUPLICATE,[Runtime Control / Feature Flag] DUPLICATE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010592,CPF-FR-021665,OPS-CONFIG,P0,RUNTIME_CONTROL,RESTART,[Runtime Control / Feature Flag] RESTART,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-FEATURE-FLAG,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010593,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,SINGLE,[Runtime Control / Tenant Capability] SINGLE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010594,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,GROUP,[Runtime Control / Tenant Capability] GROUP,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010595,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,ALL,[Runtime Control / Tenant Capability] ALL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010596,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,ZERO_TARGET,[Runtime Control / Tenant Capability] ZERO_TARGET,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010597,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,OVERBROAD,[Runtime Control / Tenant Capability] OVERBROAD,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010598,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,OFFLINE,[Runtime Control / Tenant Capability] OFFLINE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010599,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,PARTIAL,[Runtime Control / Tenant Capability] PARTIAL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010600,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,OUT_OF_ORDER,[Runtime Control / Tenant Capability] OUT_OF_ORDER,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010601,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,DUPLICATE,[Runtime Control / Tenant Capability] DUPLICATE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010602,CPF-FR-021675,OPS-CONFIG,P0,RUNTIME_CONTROL,RESTART,[Runtime Control / Tenant Capability] RESTART,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-TENANT-CAPABILITY,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010603,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,SINGLE,[Runtime Control / Gateway Route] SINGLE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010604,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,GROUP,[Runtime Control / Gateway Route] GROUP,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010605,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,ALL,[Runtime Control / Gateway Route] ALL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010606,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,ZERO_TARGET,[Runtime Control / Gateway Route] ZERO_TARGET,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010607,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,OVERBROAD,[Runtime Control / Gateway Route] OVERBROAD,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010608,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,OFFLINE,[Runtime Control / Gateway Route] OFFLINE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010609,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,PARTIAL,[Runtime Control / Gateway Route] PARTIAL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010610,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,OUT_OF_ORDER,[Runtime Control / Gateway Route] OUT_OF_ORDER,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010611,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,DUPLICATE,[Runtime Control / Gateway Route] DUPLICATE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010612,CPF-FR-021685,OPS-CONFIG,P0,RUNTIME_CONTROL,RESTART,[Runtime Control / Gateway Route] RESTART,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-GATEWAY-ROUTE,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010613,CPF-FR-021695,OPS-CONFIG,P0,RUNTIME_CONTROL,SINGLE,[Runtime Control / Routing Weight] SINGLE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-ROUTING-WEIGHT,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010614,CPF-FR-021695,OPS-CONFIG,P0,RUNTIME_CONTROL,GROUP,[Runtime Control / Routing Weight] GROUP,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-ROUTING-WEIGHT,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010615,CPF-FR-021695,OPS-CONFIG,P0,RUNTIME_CONTROL,ALL,[Runtime Control / Routing Weight] ALL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-ROUTING-WEIGHT,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010616,CPF-FR-021695,OPS-CONFIG,P0,RUNTIME_CONTROL,ZERO_TARGET,[Runtime Control / Routing Weight] ZERO_TARGET,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-ROUTING-WEIGHT,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010617,CPF-FR-021695,OPS-CONFIG,P0,RUNTIME_CONTROL,OVERBROAD,[Runtime Control / Routing Weight] OVERBROAD,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-ROUTING-WEIGHT,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010618,CPF-FR-021695,OPS-CONFIG,P0,RUNTIME_CONTROL,OFFLINE,[Runtime Control / Routing Weight] OFFLINE,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-ROUTING-WEIGHT,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
CPF-SC-010619,CPF-FR-021695,OPS-CONFIG,P0,RUNTIME_CONTROL,PARTIAL,[Runtime Control / Routing Weight] PARTIAL,Controller+Runtime multi-instance,실제/격리 multi-instance runtime,"대상·version·instance 결과 정확, 중복 0, rollback 가능",잘못된 target·stale version·Partial 은폐·local cache only,target snapshot·change ledger·ACK/actual·audit·metric·hash,P07-RUNTIME-CONTROL-ROUTING-WEIGHT,P07,CPF_SCENARIO_MASTER_PART_002_CPF-SC-009527__CPF-SC-015274.csv
