bridge_requirement_id,canonical_requirement_id,owner_scope,requirement,acceptance_basis,bridge_reason,development_status,verification_status,source_identity
CPF-CBR-0035,REL-OPEN-GIT-BOOTSTRAP,cpf-tools release/open-git + runtime/bootstrap,"기본 Binary Open Git Fresh 환경에서 Framework 구현 Source 없이 `cpf bootstrap → domain-new → domain-sync → build → test → run/READY → stop → reset → fresh replay`가 수작업 복사 없이 성공해야 한다. Bootstrap은 Oracle/PostgreSQL/MariaDB 선택, Generated Domain 자동발견, 필요한 DB/Middleware 준비와 Current Binary Artifact 연결을 소유한다.","Fresh binary lifecycle DB3 matrix, domain discovery, middleware readiness, READY, stop/reset/replay, failure/rerun Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0036,TOOL-UNIFIED-CLI,cpf-tools runtime/cli + canonical tooling engines,CPF 공식 Tooling Interface는 exactly-one Java `cpf` CLI다. PUBLIC `bootstrap/domain-new/domain-sync/build/test/run/stop/reset/status`와 INTERNAL `dev/verify/publish/release` Namespace를 같은 Command Architecture로 제공하고 Generator/Initializer/Gradle/DB/Runtime/Verification/Publication/Release의 기존 Canonical Engine을 호출한다. 외부/내부 차이는 별도 CLI가 아니라 Capability/Profile Projection이며 Open Git은 PUBLIC만 노출한다.,"exactly-one owner/source, command/artifact/owner catalog parity, internal capability negative in public jar, generator/bootstrap/build/test/runtime/DB3/publication/release consumers, Windows/Linux fresh lifecycle, internal/open-git golden path, duplicate/dead entrypoint 0 Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0037,REL-CLI-CROSSPLATFORM,cpf-tools runtime/cli + release/open-git,"CPF 공식 CLI는 단일 Java `cpf-cli.jar`를 실제 구현체로 사용하고 Linux `cpf`, Windows `cpf.cmd`/`cpf.ps1`은 Thin Wrapper로만 제공한다. PowerShell-only/Shell-only 구현을 금지하며 동일 command/options/exit/error/log contract, Java25, UTF-8, 경로, prerequisite failure, rerun/idempotency, version/sourceIdentity parity를 보장한다.","Java CLI jar build/run, wrapper thinness, Windows/Linux lifecycle parity, UTF-8/path/negative prerequisite, identity/version, Fresh Open Git Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0038,REL-OPEN-GIT-PROFILE,cpf-tools release/open-git,Open Git은 고객 개발·실행 배포 채널이며 기본 `binary` Profile은 Framework 구현 Source와 sources/javadoc JAR 0건이다. Optional `source` Profile만 Default-Deny Canonical Public Source Allowlist의 Public API/SPI/Annotation Source를 Projection한다. 모든 Profile에서 Internal/Generator Engine/QA/Evidence/Secret/Internal Release Tool은 금지하고 동일 Current Source Identity에서 Fresh Build/Test/Runtime/Fresh Replay한다. Current Release 한 본만 유지한다.,"binary/source profile contract, sources/javadoc=0, allowlist exact projection, internal/private leakage=0, same sourceIdentity, fresh release/replay Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0039,REL-OPEN-GIT-CUSTOMER-SOURCE,cpf-tools release/open-git + generated/customer source owners,"기본 Binary Profile에서도 고객이 직접 개발하는 Generated Domain, Backoffice, Sample/EDU, 고객 Config/SQL/Migration/Frontend/Generated Client/Test/Build Source Tree를 실제 수정 가능한 형태로 제공한다. Framework 내부 구현 Source Leakage=0과 Customer Development Source 누락=0을 동시에 강제하며 고객 Source를 sources.jar나 Framework Binary로 치환하지 않는다.","customer source allowlist completeness, generated domain/backoffice/frontend/sample build+test+runtime, framework/internal leakage negative, DB owner/sql parity, missing-customer-source mutation Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0040,REL-OPEN-GIT-GIT-BOUNDARY,cpf-tools release/open-git + unified CLI release namespace,"`cpf-release/`는 Open Git 전달 전용 staging이며 Private CPF master의 Git/Source Identity에서 제외한다. `cpf release open-git`과 Tool/CLI/DevGPT/Codex는 Private master와 Open Git fresh clone 모두에서 사용자 승인 전 add/index staging/commit/push/branch/tag/reset/restore/stash/clean을 수행하지 않는다. Tool은 read-only status/diff/provenance와 Release 검증까지만 수행해 `VERIFIED`를 만들고, 사용자가 결과 확인 후 Open Git에서만 직접 commit/push한다. Private Working Tree가 dirty여도 임의 정리하지 않고 Current Source Identity를 기록한다.","private `/cpf-release/` tracked=0, private/Open-Git write-command negative, branch/HEAD/status/sourceIdentity capture, GENERATED→VERIFIED→USER_REVIEWED→GIT_COMMITTED→GIT_PUSHED state separation, wrong remote/dirty clone negative, user Git command generation-only, automatic add/commit/push=0 Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0041,DEVEX-BOOTSTRAP,cpf-tools local bootstrap,Local Bootstrap은 Windows/Linux thin wrapper가 공유 engine을 호출하는 개발환경 제품 기능이다. Git/Java25/container runtime과 필요한 경우 Node를 확인하고 selected DB start→actual health→migration→seed→capability middleware→domain discovery→build/test→runtime health를 수행한다. silent OS install/admin escalation/PATH mutation을 금지하고 stop과 reset을 분리하며 idempotent re-run/domain add-remove rediscovery를 지원한다.,"Windows/Linux contract, prerequisite negative, selected DB lifecycle, timeout/progress, stop data preserve/reset explicit, add/remove rediscovery, idempotent rerun Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0042,DEVEX-WINDOWS-PATH,cpf-tools verification + repository path governance,Windows 개발환경 호환성을 위해 프로젝트 Root 상대경로와 파일명을 합친 전체 상대경로는 항상 200자를 초과하지 않는다. 장문 Evidence·Generated 경로는 안정적인 짧은 alias를 사용하고 원경로와 새 경로의 추적 Map을 보존한다. 200자 초과는 경고가 아니라 검증 실패이며 신규 Source·Evidence·Generator 출력에도 동일 Gate를 적용한다.,"repository-wide relative path <=200, alias map, generated/evidence regression, Windows target-root projection, violation mutation Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0043,DEVEX-DOCKER-LIFECYCLE,cpf-tools local/full runtime verification,Local/Full Runtime 검증은 필요한 CPF Docker 서비스를 실행 전 스스로 확인하고 내려가 있으면 필요한 서비스만 자동 기동한다. running 상태만으로 성공 처리하지 않고 health와 실제 기능 readiness를 확인하며 Stage 간 서비스 lifecycle을 중앙 조정한다. 검증기가 시작한 컨테이너는 성공·실패 모두 종료 단계에서 정리하고 사용자가 이미 실행 중이던 컨테이너는 보존한다. DB3·Kafka·Redis·Messaging·Fault fixture는 실제 거래·장애·복구 검증에 필요한 lifecycle을 각 검증 흐름이 책임진다.,"down-state auto-start, health+functional readiness, existing-container preserve, owned cleanup on failure, DB3/Kafka/fault runtime lifecycle Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0044,EDU-CANONICAL,cpf-education + capability owners,EDU는 개발 목적 기준 정확히 Online 20개 + Batch 15개 Canonical 기능 그룹만 유지한다. ADM/Backoffice/Gateway/OPS/Legacy/Compatibility/Micro Sample을 EDU에 병행하지 않고 유일 검증자산은 해당 Owner Test로 이동한 뒤 중복 sample을 제거한다. 모든 예제는 실제 Public API/Starter/DB/Header/Recovery 계약을 사용한다.,"physical group count 20/15, legacy group 0, owner-test migration, compile/runtime, Public API/internal import gate, catalog/doc parity Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0045,REL-DEV-WORKSPACE-GROUPING,master canonical module/starter/artifact catalog + Gradle + Unified CLI + Open Git,"외부 개발 Workspace는 내부 Module 구조가 아니라 개발행위와 Public Capability 중심으로 제공한다. Canonical Capability taxonomy, exactly-one module role, 기능 중심 Gradle grouping, `cpf doctor/help/version`, Root build/test parity, Generated/Optional Domain 0/add/remove/recreate를 하나의 master Catalog projection으로 보장한다. 특정 Member/External/Backoffice 존재를 CLI/Gradle/Generator/Initializer/Publication/BOM/OpenAPI/Frontend/Test/Open Git이 하드코딩하지 않는다.","capability owner duplicate 0, internal public exposure 0, root build/test parity, doctor text/json/exit contract, domain mutation stale settings/dependency/task/BOM/publication/DB/OpenAPI/frontend/test/release 0, Open Git fresh projection Evidence","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
CPF-CBR-0046,CURRENT-ONLY-LEGACY-ZERO,repository whole tree + Current Canonical governance,Repository는 현재 CPF Architecture만 해석 가능해야 한다. Retired active module/DB/route/config/seed/artifact/entrypoint와 날짜·세션별 Steering/Handover/Completion/Revalidation/RERUN/checkpoint/history를 Current Canonical에 병합하고 Consumer 0을 확인한 뒤 Delete Manifest로 제거한다. 실제 Upgrade/Recovery Consumer가 없는 legacy migration/provenance도 보존하지 않는다. 보호경로와 Current Evidence는 훼손하지 않는다.,"current canonical duplicate 0, retired active module/DB/config 0, stale generator/initializer/Gradle/BOM/publication/OpenAPI/frontend/test/open-git 0, duplicate/dead script 0, dated/checkpoint current artifact 0, protected/current evidence loss 0","Canonical Requirement가 기존 30,605 Detailed Master에 direct ID로 연결되지 않아 삭제/누락 방지를 위한 Current authoritative bridge를 생성. 다음 중앙 Dataset regeneration 시 native detailed child로 흡수할 때까지 유지.",미완료,미검증,1a39531bcd1f0b1c82bbc6f330ab7b8256fc9132f62676ed1c8887ae42040839
