exact_id,product,operation_id,method,path,response_codes,development_status,verification_status,overall_status,qa_status,basis_sha,source_path,qa_comment
ADM-admChannelSave,ADM,admChannelSave,PUT,/adm/api/channels/{channelCode},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCodeFindCodes,ADM,admCodeFindCodes,GET,/adm/api/codes,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCodeCreateCode,ADM,admCodeCreateCode,POST,/adm/api/codes,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCodeDeleteCode,ADM,admCodeDeleteCode,DELETE,/adm/api/codes/{codeId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCodeFindCode,ADM,admCodeFindCode,GET,/adm/api/codes/{codeId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admCodeUpdateCode,ADM,admCodeUpdateCode,PUT,/adm/api/codes/{codeId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admConfigFindConfigs,ADM,admConfigFindConfigs,GET,/adm/api/configs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admConfigCreateConfig,ADM,admConfigCreateConfig,POST,/adm/api/configs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admConfigDeleteConfig,ADM,admConfigDeleteConfig,DELETE,/adm/api/configs/{configId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admConfigFindConfig,ADM,admConfigFindConfig,GET,/adm/api/configs/{configId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admConfigUpdateConfig,ADM,admConfigUpdateConfig,PUT,/adm/api/configs/{configId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admDownloadFindDownloadAuditLogs,ADM,admDownloadFindDownloadAuditLogs,GET,/adm/api/downloads/audit-logs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admDownloadDownloadCsv,ADM,admDownloadDownloadCsv,POST,/adm/api/downloads/csv,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admDownloadFindPolicies,ADM,admDownloadFindPolicies,GET,/adm/api/downloads/policies,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobList,ADM,admFileJobList,GET,/adm/api/file-jobs,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobUpload,ADM,admFileJobUpload,POST,/adm/api/file-jobs/uploads,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobDetail,ADM,admFileJobDetail,GET,/adm/api/file-jobs/{jobId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobApply,ADM,admFileJobApply,POST,/adm/api/file-jobs/{jobId}/apply,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobArtifact,ADM,admFileJobArtifact,GET,/adm/api/file-jobs/{jobId}/artifact,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobCancel,ADM,admFileJobCancel,POST,/adm/api/file-jobs/{jobId}/cancel,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobResolveUnknown,ADM,admFileJobResolveUnknown,POST,/adm/api/file-jobs/{jobId}/resolve-unknown,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobRetry,ADM,admFileJobRetry,POST,/adm/api/file-jobs/{jobId}/retry,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobRollback,ADM,admFileJobRollback,POST,/adm/api/file-jobs/{jobId}/rollback,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admFileJobRows,ADM,admFileJobRows,GET,/adm/api/file-jobs/{jobId}/rows,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayFindBindings,ADM,admGatewayFindBindings,GET,/adm/api/gateway-registry/bindings,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewaySaveBinding,ADM,admGatewaySaveBinding,POST,/adm/api/gateway-registry/bindings,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayDeleteBinding,ADM,admGatewayDeleteBinding,DELETE,/adm/api/gateway-registry/bindings/{id},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayFindApplyStatus,ADM,admGatewayFindApplyStatus,GET,/adm/api/gateway-registry/bindings/{id}/apply-status,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayFindConnectionTests,ADM,admGatewayFindConnectionTests,GET,/adm/api/gateway-registry/bindings/{id}/connection-tests,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayRequestConnectionTest,ADM,admGatewayRequestConnectionTest,POST,/adm/api/gateway-registry/bindings/{id}/connection-tests,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayChangeBindingState,ADM,admGatewayChangeBindingState,POST,/adm/api/gateway-registry/bindings/{id}/state,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayCapability,ADM,admGatewayCapability,GET,/adm/api/gateway-registry/capability,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayFindConnectionTestOperation,ADM,admGatewayFindConnectionTestOperation,GET,/adm/api/gateway-registry/connection-test-operations/{operationId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayCancelConnectionTest,ADM,admGatewayCancelConnectionTest,POST,/adm/api/gateway-registry/connection-test-operations/{operationId}/cancel,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayRevalidateConnectionTest,ADM,admGatewayRevalidateConnectionTest,POST,/adm/api/gateway-registry/connection-test-operations/{operationId}/revalidate,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayOperationsEvents,ADM,admGatewayOperationsEvents,GET,/adm/api/gateway-registry/operations/events,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayOperationsSnapshot,ADM,admGatewayOperationsSnapshot,GET,/adm/api/gateway-registry/operations/snapshot,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayOperationsStream,ADM,admGatewayOperationsStream,GET,/adm/api/gateway-registry/operations/stream,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayFindServerGroups,ADM,admGatewayFindServerGroups,GET,/adm/api/gateway-registry/server-groups,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewaySaveServerGroup,ADM,admGatewaySaveServerGroup,POST,/adm/api/gateway-registry/server-groups,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayDeleteServerGroup,ADM,admGatewayDeleteServerGroup,DELETE,/adm/api/gateway-registry/server-groups/{id},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admGatewayFindGroupMembers,ADM,admGatewayFindGroupMembers,GET,/adm/api/gateway-registry/server-groups/{id}/members,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-getAdmReadiness,ADM,getAdmReadiness,GET,/adm/api/health,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-getAdmLiveness,ADM,getAdmLiveness,GET,/adm/api/health/liveness,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentFindIncidents,ADM,admIncidentFindIncidents,GET,/adm/api/incidents,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentFindMaintenance,ADM,admIncidentFindMaintenance,GET,/adm/api/incidents/maintenance-windows,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentCreateMaintenance,ADM,admIncidentCreateMaintenance,POST,/adm/api/incidents/maintenance-windows,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentUpdateMaintenance,ADM,admIncidentUpdateMaintenance,PUT,/adm/api/incidents/maintenance-windows/{maintenanceId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentFindPolicies,ADM,admIncidentFindPolicies,GET,/adm/api/incidents/policies,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentCreatePolicy,ADM,admIncidentCreatePolicy,POST,/adm/api/incidents/policies,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentUpdatePolicy,ADM,admIncidentUpdatePolicy,PUT,/adm/api/incidents/policies/{policyId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentIngestSignal,ADM,admIncidentIngestSignal,POST,/adm/api/incidents/signals,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentFindIncident,ADM,admIncidentFindIncident,GET,/adm/api/incidents/{incidentId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentAcknowledge,ADM,admIncidentAcknowledge,POST,/adm/api/incidents/{incidentId}/acknowledge,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentEscalate,ADM,admIncidentEscalate,POST,/adm/api/incidents/{incidentId}/escalate,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentReopen,ADM,admIncidentReopen,POST,/adm/api/incidents/{incidentId}/reopen,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentResolve,ADM,admIncidentResolve,POST,/adm/api/incidents/{incidentId}/resolve,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIncidentFindTimeline,ADM,admIncidentFindTimeline,GET,/adm/api/incidents/{incidentId}/timeline,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIntegrationCryptoStatus,ADM,admIntegrationCryptoStatus,GET,/adm/api/integration-closure/crypto/status,200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIntegrationDataQualityCorrectionExecute,ADM,admIntegrationDataQualityCorrectionExecute,POST,/adm/api/integration-closure/data-quality/correction-approvals/{approvalRequestId}/execute,200;400;401;403;404;409;422;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIntegrationDataQualityCorrectionApprovalRequest,ADM,admIntegrationDataQualityCorrectionApprovalRequest,POST,/adm/api/integration-closure/data-quality/quarantine/{id}/correction-approvals,200;400;401;403;404;409;422;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIntegrationDataQualityReplay,ADM,admIntegrationDataQualityReplay,POST,/adm/api/integration-closure/data-quality/quarantine/{id}/replay,200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIntegrationDataQualityValidate,ADM,admIntegrationDataQualityValidate,POST,/adm/api/integration-closure/data-quality/validate/{recordId},200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIntegrationTimeHealth,ADM,admIntegrationTimeHealth,GET,/adm/api/integration-closure/time/health,200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIntegrationWebhookDlq,ADM,admIntegrationWebhookDlq,GET,/adm/api/integration-closure/webhooks/dlq,200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admIntegrationWebhookReplay,ADM,admIntegrationWebhookReplay,POST,/adm/api/integration-closure/webhooks/{id}/replay,200;400;401;403;404;409;429;500;503,재검수 요청,재확인 필요,재확인 필요,재확인 필요,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogExportCreate,ADM,admLogExportCreate,POST,/adm/api/log-exports,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogExportDownload,ADM,admLogExportDownload,GET,/adm/api/log-exports/{exportId}/artifact,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admDynamicLogLevelFindRules,ADM,admDynamicLogLevelFindRules,GET,/adm/api/log-level/rules,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admDynamicLogLevelRegister,ADM,admDynamicLogLevelRegister,PUT,/adm/api/log-level/rules,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admDynamicLogLevelRemove,ADM,admDynamicLogLevelRemove,DELETE,/adm/api/log-level/rules/{ruleId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyFindPolicies,ADM,admLogPolicyFindPolicies,GET,/adm/api/log-policies,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyCreatePolicy,ADM,admLogPolicyCreatePolicy,POST,/adm/api/log-policies,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyClearCache,ADM,admLogPolicyClearCache,POST,/adm/api/log-policies/cache/clear,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyRefreshCache,ADM,admLogPolicyRefreshCache,POST,/adm/api/log-policies/cache/refresh,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyDistributionStatus,ADM,admLogPolicyDistributionStatus,GET,/adm/api/log-policies/distribution,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyFindTraceBoostHistory,ADM,admLogPolicyFindTraceBoostHistory,GET,/adm/api/log-policies/history,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyCreateOverride,ADM,admLogPolicyCreateOverride,POST,/adm/api/log-policies/overrides,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyDisableOverride,ADM,admLogPolicyDisableOverride,PATCH,/adm/api/log-policies/overrides/{overrideId}/disable,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyFindTraceBoostRuntimeState,ADM,admLogPolicyFindTraceBoostRuntimeState,GET,/adm/api/log-policies/runtime-state,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyCreateTraceBoost,ADM,admLogPolicyCreateTraceBoost,POST,/adm/api/log-policies/trace-boost,200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyFindPolicy,ADM,admLogPolicyFindPolicy,GET,/adm/api/log-policies/{policyId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
ADM-admLogPolicyUpdatePolicy,ADM,admLogPolicyUpdatePolicy,PUT,/adm/api/log-policies/{policyId},200,재개발 요청,실패,실패,FAIL,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/openapi/cpf-openapi.json,Operation-level error contract checked; runtime Controller/DTO/export zero-drift remains required.
