Rank,Review_ID,Priority,Area,Review Point,Acceptance Criteria,Minimum Evidence,User Mandatory,Status,Notes,basis_sha,evidence_id
260,CPF-RV-0260,P0,DB3 Lifecycle/Migration,N-1/N-2→current upgrade 경로 — Runtime·Evidence·회귀를 검증한다.,N-1/N-2→current upgrade 경로: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0260
261,CPF-RV-0261,P0,DB3 Lifecycle/Migration,대용량 테이블 migration lock/online 영향 — 구현·Ownership·Consumer를 검증한다.,대용량 테이블 migration lock/online 영향: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0261
262,CPF-RV-0262,P0,DB3 Lifecycle/Migration,대용량 테이블 migration lock/online 영향 — 정상·경계 동작를 검증한다.,대용량 테이블 migration lock/online 영향: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0262
263,CPF-RV-0263,P0,DB3 Lifecycle/Migration,대용량 테이블 migration lock/online 영향 — 실패·부분실패·UNKNOWN를 검증한다.,대용량 테이블 migration lock/online 영향: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0263
264,CPF-RV-0264,P0,DB3 Lifecycle/Migration,대용량 테이블 migration lock/online 영향 — 동시성·다중인스턴스·보안를 검증한다.,"대용량 테이블 migration lock/online 영향: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0264
265,CPF-RV-0265,P0,DB3 Lifecycle/Migration,대용량 테이블 migration lock/online 영향 — Runtime·Evidence·회귀를 검증한다.,대용량 테이블 migration lock/online 영향: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0265
266,CPF-RV-0266,P0,DB3 Lifecycle/Migration,부분 migration 실패 후 재실행 멱등성 — 구현·Ownership·Consumer를 검증한다.,부분 migration 실패 후 재실행 멱등성: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0266
267,CPF-RV-0267,P0,DB3 Lifecycle/Migration,부분 migration 실패 후 재실행 멱등성 — 정상·경계 동작를 검증한다.,부분 migration 실패 후 재실행 멱등성: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0267
268,CPF-RV-0268,P0,DB3 Lifecycle/Migration,부분 migration 실패 후 재실행 멱등성 — 실패·부분실패·UNKNOWN를 검증한다.,부분 migration 실패 후 재실행 멱등성: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0268
269,CPF-RV-0269,P0,DB3 Lifecycle/Migration,부분 migration 실패 후 재실행 멱등성 — 동시성·다중인스턴스·보안를 검증한다.,"부분 migration 실패 후 재실행 멱등성: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0269
270,CPF-RV-0270,P0,DB3 Lifecycle/Migration,부분 migration 실패 후 재실행 멱등성 — Runtime·Evidence·회귀를 검증한다.,부분 migration 실패 후 재실행 멱등성: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0270
271,CPF-RV-0271,P0,DB3 Lifecycle/Migration,rollback/down migration과 데이터 보존 — 구현·Ownership·Consumer를 검증한다.,rollback/down migration과 데이터 보존: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0271
272,CPF-RV-0272,P0,DB3 Lifecycle/Migration,rollback/down migration과 데이터 보존 — 정상·경계 동작를 검증한다.,rollback/down migration과 데이터 보존: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0272
273,CPF-RV-0273,P0,DB3 Lifecycle/Migration,rollback/down migration과 데이터 보존 — 실패·부분실패·UNKNOWN를 검증한다.,rollback/down migration과 데이터 보존: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0273
274,CPF-RV-0274,P0,DB3 Lifecycle/Migration,rollback/down migration과 데이터 보존 — 동시성·다중인스턴스·보안를 검증한다.,"rollback/down migration과 데이터 보존: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0274
275,CPF-RV-0275,P0,DB3 Lifecycle/Migration,rollback/down migration과 데이터 보존 — Runtime·Evidence·회귀를 검증한다.,rollback/down migration과 데이터 보존: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,미검증,Acceptance가 live runtime/fault/multi-instance/build/DB/browser 증명을 요구하나 현재 QA 환경에서 실행 불가 또는 Product runtime evidence 없음. PASS 승격 금지.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0275
276,CPF-RV-0276,P0,SQL/Lock/Query,Isolation level과 dirty/non-repeatable/phantom read — 구현·Ownership·Consumer를 검증한다.,Isolation level과 dirty/non-repeatable/phantom read: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0276
277,CPF-RV-0277,P0,SQL/Lock/Query,Isolation level과 dirty/non-repeatable/phantom read — 정상·경계 동작를 검증한다.,Isolation level과 dirty/non-repeatable/phantom read: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0277
278,CPF-RV-0278,P0,SQL/Lock/Query,Isolation level과 dirty/non-repeatable/phantom read — 실패·부분실패·UNKNOWN를 검증한다.,Isolation level과 dirty/non-repeatable/phantom read: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0278
279,CPF-RV-0279,P0,SQL/Lock/Query,Isolation level과 dirty/non-repeatable/phantom read — 동시성·다중인스턴스·보안를 검증한다.,"Isolation level과 dirty/non-repeatable/phantom read: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0279
280,CPF-RV-0280,P0,SQL/Lock/Query,Isolation level과 dirty/non-repeatable/phantom read — Runtime·Evidence·회귀를 검증한다.,Isolation level과 dirty/non-repeatable/phantom read: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0280
281,CPF-RV-0281,P0,SQL/Lock/Query,Optimistic/Pessimistic lock 충돌 처리 — 구현·Ownership·Consumer를 검증한다.,Optimistic/Pessimistic lock 충돌 처리: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0281
282,CPF-RV-0282,P0,SQL/Lock/Query,Optimistic/Pessimistic lock 충돌 처리 — 정상·경계 동작를 검증한다.,Optimistic/Pessimistic lock 충돌 처리: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0282
283,CPF-RV-0283,P0,SQL/Lock/Query,Optimistic/Pessimistic lock 충돌 처리 — 실패·부분실패·UNKNOWN를 검증한다.,Optimistic/Pessimistic lock 충돌 처리: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0283
284,CPF-RV-0284,P0,SQL/Lock/Query,Optimistic/Pessimistic lock 충돌 처리 — 동시성·다중인스턴스·보안를 검증한다.,"Optimistic/Pessimistic lock 충돌 처리: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0284
285,CPF-RV-0285,P0,SQL/Lock/Query,Optimistic/Pessimistic lock 충돌 처리 — Runtime·Evidence·회귀를 검증한다.,Optimistic/Pessimistic lock 충돌 처리: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0285
286,CPF-RV-0286,P0,SQL/Lock/Query,deadlock 탐지·retry 범위 — 구현·Ownership·Consumer를 검증한다.,deadlock 탐지·retry 범위: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0286
287,CPF-RV-0287,P0,SQL/Lock/Query,deadlock 탐지·retry 범위 — 정상·경계 동작를 검증한다.,deadlock 탐지·retry 범위: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0287
288,CPF-RV-0288,P0,SQL/Lock/Query,deadlock 탐지·retry 범위 — 실패·부분실패·UNKNOWN를 검증한다.,deadlock 탐지·retry 범위: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0288
289,CPF-RV-0289,P0,SQL/Lock/Query,deadlock 탐지·retry 범위 — 동시성·다중인스턴스·보안를 검증한다.,"deadlock 탐지·retry 범위: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0289
290,CPF-RV-0290,P0,SQL/Lock/Query,deadlock 탐지·retry 범위 — Runtime·Evidence·회귀를 검증한다.,deadlock 탐지·retry 범위: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0290
291,CPF-RV-0291,P0,SQL/Lock/Query,Index selectivity와 주요 query execution plan — 구현·Ownership·Consumer를 검증한다.,Index selectivity와 주요 query execution plan: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0291
292,CPF-RV-0292,P0,SQL/Lock/Query,Index selectivity와 주요 query execution plan — 정상·경계 동작를 검증한다.,Index selectivity와 주요 query execution plan: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0292
293,CPF-RV-0293,P0,SQL/Lock/Query,Index selectivity와 주요 query execution plan — 실패·부분실패·UNKNOWN를 검증한다.,Index selectivity와 주요 query execution plan: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0293
294,CPF-RV-0294,P0,SQL/Lock/Query,Index selectivity와 주요 query execution plan — 동시성·다중인스턴스·보안를 검증한다.,"Index selectivity와 주요 query execution plan: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0294
295,CPF-RV-0295,P0,SQL/Lock/Query,Index selectivity와 주요 query execution plan — Runtime·Evidence·회귀를 검증한다.,Index selectivity와 주요 query execution plan: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0295
296,CPF-RV-0296,P0,SQL/Lock/Query,Dynamic SQL/Sort field SQL injection 방지 — 구현·Ownership·Consumer를 검증한다.,Dynamic SQL/Sort field SQL injection 방지: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0296
297,CPF-RV-0297,P0,SQL/Lock/Query,Dynamic SQL/Sort field SQL injection 방지 — 정상·경계 동작를 검증한다.,Dynamic SQL/Sort field SQL injection 방지: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0297
298,CPF-RV-0298,P0,SQL/Lock/Query,Dynamic SQL/Sort field SQL injection 방지 — 실패·부분실패·UNKNOWN를 검증한다.,Dynamic SQL/Sort field SQL injection 방지: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0298
299,CPF-RV-0299,P0,SQL/Lock/Query,Dynamic SQL/Sort field SQL injection 방지 — 동시성·다중인스턴스·보안를 검증한다.,"Dynamic SQL/Sort field SQL injection 방지: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0299
300,CPF-RV-0300,P0,SQL/Lock/Query,Dynamic SQL/Sort field SQL injection 방지 — Runtime·Evidence·회귀를 검증한다.,Dynamic SQL/Sort field SQL injection 방지: 현재 exact SHA에서 실행 가능한 Test/Gate/Runtime Evidence가 존재하고 false-green 없이 회귀를 탐지해야 한다.,Exit code + runtime log + exact SHA provenance,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0300
301,CPF-RV-0301,P1,REST/API Contract,HTTP method semantics와 idempotency — 구현·Ownership·Consumer를 검증한다.,HTTP method semantics와 idempotency: 해당 항목의 실제 구현 Owner가 명확하고 Interface/DTO 존재로 끝나지 않으며 실제 Consumer와 호출 경로가 연결되어야 한다.,Source path + dependency/consumer trace,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0301
302,CPF-RV-0302,P1,REST/API Contract,HTTP method semantics와 idempotency — 정상·경계 동작를 검증한다.,HTTP method semantics와 idempotency: 정상 입력뿐 아니라 최소/최대/null/empty/경계 상태에서 계약대로 동작하고 데이터·상태 정합성을 유지해야 한다.,Unit/Integration boundary tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0302
303,CPF-RV-0303,P1,REST/API Contract,HTTP method semantics와 idempotency — 실패·부분실패·UNKNOWN를 검증한다.,HTTP method semantics와 idempotency: 예외·timeout·부분 실패·결과 불명확 상황을 성공으로 숨기지 않고 rollback/retry/UNKNOWN/reconcile 등 정의된 경로로 처리해야 한다.,Fault injection + state/data evidence,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0303
304,CPF-RV-0304,P1,REST/API Contract,HTTP method semantics와 idempotency — 동시성·다중인스턴스·보안를 검증한다.,"HTTP method semantics와 idempotency: 동시 요청·다중 인스턴스·재시도·권한 우회 상황에서도 중복 처리, stale update, 정보노출, 권한우회가 없어야 한다.",Concurrency/security negative tests,N,재확인 필요,Source/contract/inventory를 current Product tree 영향 기준으로 검토했으나 Consumer+Test+Runtime이 이 Review Point Acceptance 전체를 닫지 못해 재확인 필요로 판정.,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,SPECIAL1000-CPF-RV-0304
