requirement_id,layer,priority,area,owner,requirement,canonical_mapping,development_status,verification_status,acceptance
SAMPLE-ACC,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-reference,범용 계정/업무 Local/Remote·Validation·Transaction·Error Sample,SAMPLE-ACC,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-MBR,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-member/cpf-reference,Generator Output Golden Reference와 Normalized Parity,SAMPLE-MBR,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-REF,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-reference,모든 Public API의 정상·오류·경계·복구·권한·운영 Runtime 교육,SAMPLE-REF,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-BIZADM,CANONICAL,P1,Generator/EDU/API/Quality/Productization,cpf-reference/cpf-biz-admin,BZA 선택형 업무관리·채번·결재 Customization Sample,SAMPLE-BIZADM,부분 구현,미검증,17-axis scenario matrix complete
SAMPLE-EDU,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-reference,실제 Header/API/DB/Event/Batch/Security 표준 기반 교육,SAMPLE-EDU,부분 구현,미검증,17-axis scenario matrix complete
API-CONTRACT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-core + endpoint owner,HTTP/Local/Remote Header/Auth/Success/Error/Version/Idempotency/Permission,API-CONTRACT,실패,미검증,17-axis scenario matrix complete
API-PAGING,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-core + endpoint owner,Page/Slice/Keyset/Signed Cursor·Sort/Filter Allowlist·Stable Ordering,API-PAGING,부분 구현,미검증,17-axis scenario matrix complete
API-ASYNC,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-core + endpoint owner,202/Operation ID/Status/Result/Callback/Event/Cancel/Expiry/Unknown,API-ASYNC,부분 구현,미검증,17-axis scenario matrix complete
API-FILE,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-core + endpoint owner,Multipart/Streaming/Range/Checksum/Content/Size/Virus/Cancel/Safe Filename,API-FILE,부분 구현,미검증,17-axis scenario matrix complete
RULE-ARCH,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/quality,Module/Package/Dependency/Owner/Internal/DB/Dual Primary/Generated Drift Gate,RULE-ARCH,부분 구현,미검증,17-axis scenario matrix complete
RULE-SEC,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/quality,Secret/URL/TLS/Header/Unsafe API/Path/Query/Log/Evidence/Vulnerability Gate,RULE-SEC,부분 구현,미검증,17-axis scenario matrix complete
RULE-QUALITY,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/quality,Compile/Static/Duplicate/Dead Code/Lock/License/SBOM/Coverage/Marker-only Gate,RULE-QUALITY,부분 구현,미검증,17-axis scenario matrix complete
TEST-UNIT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,repository test owners,순수 로직·Validation·State·Error·Serialization·Security Unit Test,TEST-UNIT,부분 구현,미검증,17-axis scenario matrix complete
TEST-CONTRACT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,repository test owners,Public API/SPI·Local/Remote·OpenAPI·Message·DB·Generated·Artifact Contract,TEST-CONTRACT,부분 구현,미검증,17-axis scenario matrix complete
TEST-RUNTIME,CANONICAL,P0,Generator/EDU/API/Quality/Productization,repository test owners,Java25/WAS/DB/Process Startup·Endpoint·Transaction·Shutdown·Recovery·Leak,TEST-RUNTIME,부분 구현,미검증,17-axis scenario matrix complete
TEST-BROWSER,CANONICAL,P0,Generator/EDU/API/Quality/Productization,repository test owners,ADM/BZA 3 Browser·Route·Session·Permission·Error·A11y·Responsive,TEST-BROWSER,실패,미검증,17-axis scenario matrix complete
TEST-BROKER,CANONICAL,P0,Generator/EDU/API/Quality/Productization,repository test owners,Kafka ACK·Transaction·Duplicate·Order·Rebalance·Retry/DLT·Outage·Crash,TEST-BROKER,부분 구현,미검증,17-axis scenario matrix complete
TEST-FAULT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,repository test owners,DB/Network/Broker/Disk/Process/Time/Response Loss Fault와 Recovery,TEST-FAULT,부분 구현,미검증,17-axis scenario matrix complete
TEST-EVIDENCE,CANONICAL,P0,Generator/EDU/API/Quality/Productization,repository test owners,Exact SHA·Command·Environment·Time·Exit·Report/Artifact Hash·Sanitized Schema,TEST-EVIDENCE,부분 구현,미검증,17-axis scenario matrix complete
REL-BUILD,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/release,Fresh clone/clean cache Java25·LOCAL/REMOTE/OFFLINE·POM/BOM/Lock/Reproducible,REL-BUILD,실패,미검증,17-axis scenario matrix complete
REL-DEPLOY,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/release,Signed Artifact·Channel·Install Lock·Rolling/Canary/Blue-Green·Selective Rollback,REL-DEPLOY,부분 구현,미검증,17-axis scenario matrix complete
REL-MIG,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/release,Product/DB/Config/API/Message/File Install/Upgrade/Forward Recovery,REL-MIG,부분 구현,미검증,17-axis scenario matrix complete
REL-COMPAT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-tools/release,Semantic Version·Range·Deprecation·Consumer Matrix·Mixed Version·Rollback,REL-COMPAT,부분 구현,미검증,17-axis scenario matrix complete
DOC-GOV,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-docs + owner,Final Target/ADR/Continuity/Current/Review/Handover 정본·폐기·승인,DOC-GOV,실패,미검증,17-axis scenario matrix complete
DOC-PRODUCT,CANONICAL,P0,Generator/EDU/API/Quality/Productization,cpf-docs + owner,개발/운영/ADM/BZA/Gateway/Batch/설치/복구 Guide·OpenAPI·JavaDoc Source 일치,DOC-PRODUCT,실패,미검증,17-axis scenario matrix complete
PROD-EDITION,CANONICAL,P1,Generator/EDU/API/Quality/Productization,product governance,Edition/License/Capability Packaging과 Runtime 분리·지원상태,PROD-EDITION,재확인 필요,미검증,17-axis scenario matrix complete
PROD-MULTITENANT,CANONICAL,P1,Generator/EDU/API/Quality/Productization,product governance,Tenant Context·Data/Config/Permission/Secret/Quota/Audit Isolation,PROD-MULTITENANT,재확인 필요,미검증,17-axis scenario matrix complete
PROD-PLUGIN,CANONICAL,P1,Generator/EDU/API/Quality/Productization,product governance,고객/기관 Plugin SPI·Package·Signature·Compatibility·Isolation·Lifecycle,PROD-PLUGIN,재확인 필요,미검증,17-axis scenario matrix complete
PROD-PACKAGE,CANONICAL,P1,Generator/EDU/API/Quality/Productization,product governance,산업/금융 Capability Package·Dependency·Install/Upgrade·License·Support,PROD-PACKAGE,재확인 필요,미검증,17-axis scenario matrix complete
REQ-GOV,CANONICAL,P0,Generator/EDU/API/Quality/Productization,requirement governance,Requirement ID·Owner·Priority·Acceptance·Status·Continuity·Trace·승인,REQ-GOV,부분 구현,미검증,17-axis scenario matrix complete
REQ-REVIEW,CANONICAL,P0,Generator/EDU/API/Quality/Productization,requirement governance,작업 전후 Requirement→구현·구현→Requirement 독립 검수,REQ-REVIEW,실패,미검증,17-axis scenario matrix complete
REQ-CODEX,CANONICAL,P0,Generator/EDU/API/Quality/Productization,requirement governance,AI 요청의 Baseline·Scope·Architecture·Acceptance·Evidence·금지·Output,REQ-CODEX,실패,미검증,17-axis scenario matrix complete
REQ-GAP,CANONICAL,P0,Generator/EDU/API/Quality/Productization,requirement governance,새 요구 중복검사·Intake·Split/Supersede/Deprecate·Count 변화,REQ-GAP,부분 구현,미검증,17-axis scenario matrix complete
QA35-REQ-001,ACTIVE_GAP,P0,Truth Reset,작업 전 리뷰에서 확정,latest exact SHA 기준으로 QA34 20건을 실제 Source와 실행 결과로 재판정하고 Frontend 모순 항목은 개발 완료를 취소한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,QA34 Matrix/Unresolved/Completion Report가 동일 상태를 사용하며 근거 없는 완료 0건
QA35-REQ-002,ACTIVE_GAP,P0,Current Request,작업 전 리뷰에서 확정,CPF_CURRENT_WORK_REQUEST를 QA35 제품 마감 요청으로 교체하고 ‘검증 한 건만 남음’ 표현을 제거한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,Current Request가 QA35 Matrix·Review·수용조건을 가리킴
QA35-REQ-003,ACTIVE_GAP,P0,Governance/Guide,작업 전 리뷰에서 확정,README exact-SHA Evidence 기준을 복원하고 모든 Guide 기준 SHA·현재 제한사항을 latest Source와 재조정한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"README/Guide Drift Gate 통과, stale SHA와 해결된 blocker 0건"
QA35-REQ-004,ACTIVE_GAP,P0,OpenAPI Canonical,작업 전 리뷰에서 확정,Tracked OpenAPI의 Identity 정책을 단일화한다. Snapshot에는 Git SHA를 넣지 않고 runtime origin·operation count·canonical hash를 사용하며 Release SHA는 Evidence만 소유한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,ADM/BZA validate-openapi와 marker writer가 동일 Snapshot을 통과
QA35-REQ-005,ACTIVE_GAP,P0,OpenAPI Coverage,작업 전 리뷰에서 확정,ADM/BZA 실제 Backend Runtime에서 전체 Public Controller·DTO·Error·Validation OpenAPI를 Export한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Controller inventory 대비 operation 누락 0, 인증 전용 snapshot 금지, empty schema/additionalProperties 자유 Map 제거"
QA35-REQ-006,ACTIVE_GAP,P0,Generated Client,작업 전 리뷰에서 확정,"ADM/BZA Orval vue-query Client, compatibility client, operation contract, schemaVersion 3 marker를 실제 생성해 Git에 포함한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,"required generated artifact 전부 존재, marker schema 3/hash 일치"
QA35-REQ-007,ACTIVE_GAP,P0,Generation Reproducibility,작업 전 리뷰에서 확정,clean npm ci 후 generate:api를 실행하고 tracked OpenAPI/generated/lock diff 0을 강제한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"fresh clone generate 후 git diff --exit-code 0, stale/missing negative fixture 실패"
QA35-REQ-008,ACTIVE_GAP,P0,Frontend Preflight,작업 전 리뷰에서 확정,Runtime 외부 의존 없이 fresh clone에서 validate/generate/verify/consumer/lint/typecheck/unit/build를 먼저 통과시키는 deterministic Gate를 만든다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"ADM/BZA preflight Exit 0, Runtime URL·DB 없이 실행 가능"
QA35-REQ-009,ACTIVE_GAP,P0,CI,작업 전 리뷰에서 확정,master Push마다 Java 25 empty-cache와 ADM/BZA deterministic preflight를 실행하는 CI Workflow와 Required Status를 추가한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"latest SHA workflow run/status 존재, 실패 시 merge/release 차단"
QA35-REQ-010,ACTIVE_GAP,P0,Source Closure,작업 전 리뷰에서 확정,"qa35 source closure가 Static Token뿐 아니라 generated verifier, compile/typecheck, operation/menu coverage, negative fixture를 실행하게 한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,Source Closure가 의도적 stale OpenAPI·schema2 marker·missing artifact fixture를 모두 실패시킴
QA35-REQ-011,ACTIVE_GAP,P0,Runnable Verification,작업 전 리뷰에서 확정,모든 Verification Command를 실제 Parameter Binding으로 검증하고 sanitized 환경 입력 Manifest와 완전한 PowerShell 실행 예시를 제공한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"명령 누락 Parameter 0, preflight input checker 통과"
QA35-REQ-012,ACTIVE_GAP,P0,Evidence Semantics,작업 전 리뷰에서 확정,Requirement별 필수 Artifact·Scenario·Assertion·환경을 검사하는 Evidence Semantic Verifier를 구현한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Exit 0만으로 Requirement 완료 불가, 누락 artifact/empty scenario fixture 실패"
QA35-REQ-013,ACTIVE_GAP,P0,QA34 Closure,작업 전 리뷰에서 확정,QA35 개발 후 QA34 20건을 latest exact SHA에서 재실행·재분류하고 실제 실패를 QA35 결함과 연결한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,QA34 development/verification status가 실제 Evidence와 일치
QA35-REQ-014,ACTIVE_GAP,P0,ADM Inventory,작업 전 리뷰에서 확정,"ADM 59개 Route 각각의 Menu ID, Group, Component, Owner Module, API Operation, Permission, Button, Data Scope, 위험도, Audit, Test를 정본 Matrix로 만든다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,"59/59 행 완성, orphan route/menu/API 0"
QA35-REQ-015,ACTIVE_GAP,P0,ADM Menu Contract,작업 전 리뷰에서 확정,Backend Session/Menu Seed·Permission Registry와 Frontend menu/router ID를 Typed Contract로 연결한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"실제 Session DTO fixture, route/menu/permission mismatch 0"
QA35-REQ-016,ACTIVE_GAP,P0,ADM Authorization,작업 전 리뷰에서 확정,"Route·Button별 Permission, Data Scope, State Guard, Reason, Approval, Expected Version, Masking을 전수 정의·Backend Negative Test한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,"권한 없는 메뉴/API/버튼 401/403, 범위 초과·상태 위반 차단"
QA35-REQ-017,ACTIVE_GAP,P1,ADM Gateway UX,작업 전 리뷰에서 확정,Gateway 9개 메뉴를 독립 Component로 분리하거나 명시적 route mode를 도입해 Deep Link·권한·API·제목·상태를 분리한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,각 메뉴 고유 목적/URL/API/권한/상호작용 Test
QA35-REQ-018,ACTIVE_GAP,P0,ADM Interaction Matrix,작업 전 리뷰에서 확정,59개 Route의 최소 조회·검색·Paging·정렬·상세·조치 Interaction Fixture를 Repository에 Commit하고 Schema/Hash를 관리한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"모든 Route interaction 1개 이상 또는 승인된 read-only 기준, 외부 임의 Fixture 금지"
QA35-REQ-019,ACTIVE_GAP,P0,ADM Route E2E,작업 전 리뷰에서 확정,"E2E가 URL, active menu, heading, 전용 component marker, 기대 API operation과 결과를 Route별로 검증한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,fallback/redirect/mock-shape-negative fixture가 실패
QA35-REQ-020,ACTIVE_GAP,P0,ADM State E2E,작업 전 리뷰에서 확정,각 ADM 기능에 정상·Empty·Loading·401·403·409·429·500·503·부분 실패·재시도 결과를 가시적으로 검증한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Route별 적용 가능한 상태 Matrix 100%, assertion 없는 PASS 0"
QA35-REQ-021,ACTIVE_GAP,P0,ADM Dangerous Actions,작업 전 리뷰에서 확정,"위험조치에 재확인, 이유, 승인/Break-glass, Expected Version, 멱등성, 결과 추적, immutable audit를 적용한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,대표 조치별 정상/거절/중복/충돌/결과불명/감사 E2E
QA35-REQ-022,ACTIVE_GAP,P1,ADM Quality,작업 전 리뷰에서 확정,Chromium·Firefox·WebKit에서 전체 Route의 접근성·Keyboard·Responsive·Deep Link·Refresh를 실제 Backend로 검증한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,3 Browser exact-SHA report와 route count 일치
QA35-REQ-023,ACTIVE_GAP,P0,ADM Typed Consumer,작업 전 리뷰에서 확정,모든 ADM/BZA Public Operation을 Generated Type/Query/Mutation Consumer로 이관하고 generic 문자열 URL의 허용 범위를 제한한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,OpenAPI operation ↔ generated client ↔ frontend consumer 1:1 또는 승인된 server-only N/A
QA35-REQ-024,ACTIVE_GAP,P0,ADM Operations,작업 전 리뷰에서 확정,각 메뉴가 Owner Runtime의 실제 Query/Command/Audit/Metric/Trace/Recovery 결과와 연결되는지 통합 검증한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Mock 아닌 Runtime Consumer, transaction/execution/instance 단위 추적"
QA35-REQ-025,ACTIVE_GAP,P0,EDU Catalog,작업 전 리뷰에서 확정,162 Canonical Requirement와 모든 Public API/SPI를 EDU 예제·Source·실행 명령·Test·ADM 경로·Evidence에 양방향 매핑한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Coverage 100% 또는 승인된 N/A, orphan public contract/sample 0"
QA35-REQ-026,ACTIVE_GAP,P0,EDU Ownership,작업 전 리뷰에서 확정,cpf-reference 예제는 Public API/SPI만 소비하고 Internal Package·Owner DB 직접 접근·Legacy Primary를 사용하지 않는다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,ArchUnit/Dependency Gate와 실제 Consumer Bean/Route
QA35-REQ-027,ACTIVE_GAP,P0,EDU Scenario Quality,작업 전 리뷰에서 확정,각 EDU 기능군에 정상·Validation·권한·동시성·중복·Timeout·결과불명·복구·Masking 시나리오를 제공한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Happy path 전용 예제 0, Scenario와 expected result 명시"
QA35-REQ-028,ACTIVE_GAP,P0,EDU Runtime Coverage,작업 전 리뷰에서 확정,"Local/Remote, 3DB, Kafka, File, External REST/전문, Gateway, Batch, Scheduler, Worker, Agent, Deployment/rollback을 실행 가능한 Reference Runtime으로 제공한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,fresh clone profile별 start→invoke→fault→recover→stop Evidence
QA35-REQ-029,ACTIVE_GAP,P0,EDU ADM Link,작업 전 리뷰에서 확정,각 주요 EDU 흐름을 ADM에서 조회·상세·위험조치·승인·재처리·대사·감사할 수 있게 연결한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,EDU transaction/execution/incident가 ADM Route와 Operation에 연결
QA35-REQ-030,ACTIVE_GAP,P1,Generator/EDU,작업 전 리뷰에서 확정,"Generator가 만든 신규 Domain에 표준 EDU Scenario, Test, ADM registration, OpenAPI consumer와 사용자 수정 보호 영역을 제공한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,새 Domain 생성→build→runtime→ADM→remove/regenerate parity
QA35-REQ-031,ACTIVE_GAP,P1,EDU Isolation,작업 전 리뷰에서 확정,EDU/REF Seed와 식별자를 product ADM 기본 State에서 제거하고 EDU Profile/Fixture로 격리한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"product profile에 EDU default 0, EDU profile에서만 명시 활성화"
QA35-REQ-032,ACTIVE_GAP,P0,EDU Impact Gate,작업 전 리뷰에서 확정,Public API/SPI·Requirement·Starter·Generator·ADM Operation 변경 시 EDU Coverage Row와 Test 변경을 강제한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,변경된 contract에 EDU impact 누락 시 CI 실패
QA35-REQ-033,ACTIVE_GAP,P0,Artifact Catalog,작업 전 리뷰에서 확정,"BOM, Plugin/Marker/POM, 모든 nested Runtime JAR/WAR/ZIP, ADM/BZA bundle, DB Pack, Script Pack을 명시적 Release Artifact Catalog로 관리한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Glob 추정 제거, artifact별 SHA/SBOM/license/vulnerability/signature"
QA35-REQ-034,ACTIVE_GAP,P0,Final Exact SHA,작업 전 리뷰에서 확정,QA35 Source 완료 후 fresh clone exact SHA에서 Java/Frontend/3 Browser/3DB/Kafka/Multi-instance/Fault/Supply-chain 전체 Runtime을 실행한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"sourceSha=resultSha=latest, dirty=false, releaseEligible=true, 미검증 0"
QA35-REQ-035,ACTIVE_GAP,P0,Codex One-pass,작업 전 리뷰에서 확정,Codex가 재탐색하지 않도록 변경·Requirement·Command·Evidence·미실행·Expected Result를 정확히 제공하고 단계별 재실행 범위를 제한한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"REVIEW_INDEX 순서 1회, 실패 단계만 재실행, 전체 반복 금지"
QA35-REQ-036,ACTIVE_GAP,P0,ADM External Baseline,ADM,첨부된 44개 화면을 기능 단위 최소 기준선으로 고정하고 current CPF Route/API/Permission/Test와 양방향 Mapping한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,87개 capability 모두 충족/고급 대체/명시적 N/A 판정과 근거 Source·Runtime Evidence
QA35-REQ-037,ACTIVE_GAP,P0,ADM Information Architecture,cpf-admin,온라인·배치 통합 운영자의 업무 흐름을 기준으로 ADM IA를 통합 홈→설계→배포→관제→복구→분석→감사 순으로 재구성한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Target Menu Architecture 전 항목, breadcrumb/deep link/global search, 중복/고아 menu 0"
QA35-REQ-038,ACTIVE_GAP,P0,ADM System Management,cpf-admin/security,사용자·Role·Menu Registry·권한 Matrix·공지·로그인/사용 이력·System Log·DB Schema 기능을 상용 수준으로 완성한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,각 기능 CRUD/조회/승인/감사/negative test와 실제 backend consumer
QA35-REQ-039,ACTIVE_GAP,P0,ADM Common Operations,cpf-admin/common/core,Node/Profile/Logger/Cache/Datasource/Message/Code/Notification Receiver/Event/Log Download를 effective runtime state까지 운영 가능하게 한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"요청값과 instance별 effective값, partial failure, retry/rollback, audit"
QA35-REQ-040,ACTIVE_GAP,P0,ADM Online Design,cpf-admin/online owners,거래 Test·Metadata·Profile·Property Schema·전후처리 Pipeline·Deferred Rule·DBIO Registry를 versioned 설계/배포 도구로 구현한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Draft/validate/impact/publish/rollback, typed API, consumer linkage"
QA35-REQ-041,ACTIVE_GAP,P0,ADM Online Runtime Monitoring,cpf-admin/observability,"TPS/Latency/Error, Executor/Thread/Queue, Deferred/DLT, 지연비동기/Unknown을 service·channel·instance별로 관제한다.",작업 전 중복검사 및 Mapping 필수,미구현,미검증,"RED/USE metric, stale indicator, drill-down, alert/recovery links"
QA35-REQ-042,ACTIVE_GAP,P0,ADM Online Logs and Statistics,cpf-admin/observability,거래·전문·Error·Debug·Code 적용 이력과 거래/전문 처리시간 통계를 특화 화면으로 제공한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"대량 검색, masking, segment detail, percentile, export approval, source log link"
QA35-REQ-043,ACTIVE_GAP,P0,ADM Unified Deployment,cpf-admin/deployment owners,Online Component·Gateway·XIO/FIO·File Adapter·Batch Artifact의 버전/Source SHA/Instance Drift/배포/rollback을 통합한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,Artifact catalog→rollout→effective state→partial failure→rollback/reconcile
QA35-REQ-044,ACTIVE_GAP,P0,ADM Batch Definition,cpf-batch/cpf-admin,Job Definition·Parameter·Program·Trigger·Schedule·Job Group·clone/version/publish/deprecate를 완성한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"Definition detail completeness, version/impact, consumer and execution linkage"
QA35-REQ-045,ACTIVE_GAP,P0,ADM Batch DAG,cpf-batch/scheduler,Job 선후행·조건·성공/실패 분기를 DAG로 편집/검증/조회하고 cycle·critical path·영향도를 제공한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"DAG persisted version, cycle fail, critical path, execution overlay"
QA35-REQ-046,ACTIVE_GAP,P0,ADM Batch Execution Safety,cpf-batch/cpf-admin,긴급/수동 실행과 pause/resume/stop/restart/rerun/server change를 공통 승인·Reason·Version·Idempotency·Unknown 결과 계약으로 묶는다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"maker-checker, duplicate/conflict/response-loss/process-kill evidence"
QA35-REQ-047,ACTIVE_GAP,P0,ADM Batch Infrastructure,cpf-batch/host-agent,Agent/Worker/Host의 heartbeat·OS/JVM/Disk·queue·capacity·quarantine·command result를 통합 관제한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,stale/takeover/quarantine/capacity alert and audit
QA35-REQ-048,ACTIVE_GAP,P0,ADM Batch Operational Configuration,cpf-batch/cpf-admin,Batch scope Config/Path·Receiver·Job Log·Report Artifact를 definition/execution 단위로 연결한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"schema validation, rollout, safe log/report download, notification delivery trace"
QA35-REQ-049,ACTIVE_GAP,P0,ADM Center-Cut,cpf-batch/center-cut,Center-Cut Profile·속도/분할/Encoding·Simulation·Execution/통계·복구를 완성한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"profile version/publish, rate/partition metrics, failure/restart/reconcile"
QA35-REQ-050,ACTIVE_GAP,P0,ADM Cross-domain Operations,cpf-admin/core observability,Global Search와 Online→Gateway→External→Batch→File→Notification 통합 Timeline을 구현한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"공통 correlation ID, entity resolution, deep links, partial/unknown/recovery timeline"
QA35-REQ-051,ACTIVE_GAP,P0,ADM Analytics,cpf-admin/analytics,거래·전문·Batch SLA·SQL/DBIO·XIO/FIO·File·영향도 분석 Menu를 운영 데이터와 연결한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,집계 정의·timezone·freshness·drill-down·governed export·saved report
QA35-REQ-052,ACTIVE_GAP,P0,ADM Screen Completeness,cpf-admin/frontend,모든 ADM 화면에 적용 가능한 검색·Server Paging/Sort·상세·Loading/Empty/Error·Freshness·Export·Audit 품질 기준을 적용한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"ADM-Q-001~020 applicable row 100%, N/A 근거 필수"
QA35-REQ-053,ACTIVE_GAP,P0,ADM Browser Product Verification,cpf-admin/frontend,59 Route와 신규 Target Menu를 실제 Backend에서 3 Browser로 업무 interaction과 결과까지 검증한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"URL/menu/heading/component/operation/result/state/permission assertions, false-green fixtures"
QA35-REQ-054,ACTIVE_GAP,P0,ADM Superset Closure,cpf-admin/all owners,CPF의 Recovery/Unknown/Approval/Break-glass/Fencing 등 고급 기능을 최소 운영기능과 하나의 사용자 Workflow로 통합하고 Benchmark보다 높은 완성도를 증명한다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"87 capability + CPF advanced capabilities 양방향 closure, orphan command 0"
QA35-REQ-055,ACTIVE_GAP,P0,ADM Baseline Regression Gate,cpf-tools/quality,첨부 최소 Capability Matrix나 Target Menu 계약에서 누락/상태 후퇴가 발생하면 CI와 release gate를 실패시킨다.,작업 전 중복검사 및 Mapping 필수,미구현,미검증,"capability row count/hash, route/API/permission/test evidence, approved N/A only"
QA36-GAP-001,ACTIVE_GAP,P0,Baseline,작업 전 리뷰에서 단일 Owner 확정,latest master 95e592...와 docs-only 변경을 기준으로 모든 상태·문서·Evidence를 재개방,REQ-GOV;REQ-REVIEW;DOC-GOV,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-002,ACTIVE_GAP,P0,Canonical Coverage,작업 전 리뷰에서 단일 Owner 확정,Canonical 162개 전부에 Source·API·SQL·Test·Runtime·Evidence와 역추적 행을 완성,REQ-GOV;REQ-REVIEW,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-003,ACTIVE_GAP,P0,Legacy Continuity,작업 전 리뷰에서 단일 Owner 확정,"기존 1,873개 상세 QA를 폐기하지 않고 Canonical 162와 중복/분해/승계 Mapping",REQ-GOV;REQ-GAP,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-004,ACTIVE_GAP,P0,Scenario Continuity,작업 전 리뷰에서 단일 Owner 확정,"기존 441개 실행 시나리오를 2,754 canonical-axis scenario와 중복 제거·승계",TEST-EVIDENCE;REQ-GAP,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
