requirement_id,section,edu_feature_ids,public_contract,reference_source,normal_scenario,error_fault_recovery_scenario,adm_observation_path,runtime_command,coverage_development_status,runtime_verification_status,evidence
CPF-LOGDB,Architecture/Core,EDU-018 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-018-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/logs | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-FILELOG,Architecture/Core,EDU-018 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-018-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/logs | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-LOGFAIL,Architecture/Core,EDU-018 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-018-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/logs | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-TRACE,Architecture/Core,EDU-018 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-018-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/logs | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CPF-MASK,Architecture/Core,EDU-004 | EDU-017,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-core/src/main/java/com/cpf/core/api/security/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-reference/src/main/java/com/cpf/reference/security/**/*.java,EDU-004-SCN-NORMAL | EDU-017-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-017-SCN-ERROR | EDU-017-SCN-RECOVERY | EDU-017-SCN-SECURITY,/responseCodes | /security,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.security.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CORE-FIXED,Architecture/Core,EDU-012,cpf-core/src/main/java/com/cpf/core/api/message/**/*.java,cpf-reference/src/main/java/com/cpf/reference/telegram/**/*.java,EDU-012-SCN-NORMAL,EDU-012-SCN-ERROR | EDU-012-SCN-RECOVERY | EDU-012-SCN-SECURITY,/messages,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.telegram.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CORE-FILE,Architecture/Core,EDU-013,cpf-core/src/main/java/com/cpf/core/api/file/**/*.java,cpf-reference/src/main/java/com/cpf/reference/filetransfer/**/*.java,EDU-013-SCN-NORMAL,EDU-013-SCN-ERROR | EDU-013-SCN-RECOVERY | EDU-013-SCN-SECURITY,/fileJobs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.filetransfer.*"" --tests ""com.cpf.reference.archive.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CORE-MESSAGE,Architecture/Core,EDU-009 | EDU-010 | EDU-012,cpf-core/src/main/java/com/cpf/core/api/messaging/**/*.java | cpf-core/src/main/java/com/cpf/core/api/message/**/*.java,cpf-reference/src/main/java/com/cpf/reference/messaging/**/*.java | cpf-reference/src/main/java/com/cpf/reference/telegram/**/*.java,EDU-009-SCN-NORMAL | EDU-010-SCN-NORMAL | EDU-012-SCN-NORMAL,EDU-009-SCN-ERROR | EDU-009-SCN-RECOVERY | EDU-009-SCN-CONCURRENCY | EDU-010-SCN-ERROR | EDU-010-SCN-RECOVERY | EDU-010-SCN-CONCURRENCY | EDU-012-SCN-ERROR | EDU-012-SCN-RECOVERY | EDU-012-SCN-SECURITY,/recoveryCenter | /capacity | /messages,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.messaging.*Outbox*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""*Kafka*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.telegram.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CMN-EXTENSION,Common/Data,EDU-004 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-004-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/responseCodes | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CMN-SAMPLE-DB,Common/Data,EDU-004 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-004-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/responseCodes | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CMN-CODE,Common/Data,EDU-004 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-004-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/responseCodes | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CMN-MSG,Common/Data,EDU-004 | EDU-019,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-tools/db/vendor/oracle/**/*,EDU-004-SCN-NORMAL | EDU-019-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY,/responseCodes | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CMN-CALENDAR,Common/Data,EDU-004 | EDU-019 | EDU-007,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/concurrency/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-tools/db/vendor/oracle/**/* | cpf-reference/src/main/java/com/cpf/reference/crud/**/*.java,EDU-004-SCN-NORMAL | EDU-019-SCN-NORMAL | EDU-007-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-007-SCN-ERROR | EDU-007-SCN-RECOVERY | EDU-007-SCN-CONCURRENCY,/responseCodes | /configs | /recoveryCenter,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.crud.*Concurrency*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
CMN-TEMPLATE,Common/Data,EDU-004 | EDU-019 | EDU-002,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-tools/db/vendor/oracle/**/* | cpf-tools/generator/**/*,EDU-004-SCN-NORMAL | EDU-019-SCN-NORMAL | EDU-002-SCN-NORMAL,EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY | EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY,/responseCodes | /configs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon | python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-OWNERSHIP,Common/Data,EDU-019 | EDU-020,cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY,/configs,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-INSTALL,Common/Data,EDU-019 | EDU-020,cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY,/configs,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-MIGRATION,Common/Data,EDU-019 | EDU-020,cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY,/configs,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-ROLLBACK,Common/Data,EDU-019 | EDU-020,cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY,/configs,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-BACKUP,Common/Data,EDU-019 | EDU-020 | EDU-032,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/* | cpf-tools/runtime/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/configs | /topology,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1 | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-MULTI-VENDOR,Common/Data,EDU-019 | EDU-020,cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY,/configs,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-SQL,Common/Data,EDU-019 | EDU-020,cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY,/configs,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-PERF,Common/Data,EDU-019 | EDU-020,cpf-common/src/main/java/com/cpf/common/api/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY,/configs,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DB-MULTI,Common/Data,EDU-019 | EDU-020 | EDU-032,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/* | cpf-tools/runtime/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/configs | /topology,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1 | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DATA-LINEAGE,Common/Data,EDU-019 | EDU-020 | EDU-018,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/observability/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/* | cpf-reference/src/main/java/com/cpf/reference/logging/**/*.java,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL | EDU-018-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY | EDU-018-SCN-ERROR | EDU-018-SCN-RECOVERY | EDU-018-SCN-SECURITY,/configs | /logs,"python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1 | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.logging.*"" --tests ""com.cpf.reference.audit.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
DATA-RETENTION,Common/Data,EDU-019 | EDU-020 | EDU-032,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/runtimecontrol/**/*.java,cpf-tools/db/vendor/oracle/**/* | cpf-tools/db/vendor/*/migration/**/* | cpf-tools/runtime/**/*,EDU-019-SCN-NORMAL | EDU-020-SCN-NORMAL | EDU-032-SCN-NORMAL,EDU-019-SCN-ERROR | EDU-019-SCN-RECOVERY | EDU-019-SCN-CONCURRENCY | EDU-020-SCN-ERROR | EDU-020-SCN-RECOVERY | EDU-020-SCN-CONCURRENCY | EDU-032-SCN-ERROR | EDU-032-SCN-UNKNOWN | EDU-032-SCN-RECOVERY,/configs | /topology,python ./cpf-tools/scripts/verify-cpf-db-lifecycle-contract.py --root . --release | pwsh -NoProfile -File ./cpf-tools/scripts/check-canonical-db-lifecycle-contract.ps1 | pwsh -NoProfile -File ./cpf-tools/scripts/verify-cpf-distributed-runtime.ps1 -Scenario all,완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
GWY-ENTRY,Gateway/External/Event,EDU-028 | EDU-011 | EDU-017,cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java | cpf-core/src/main/java/com/cpf/core/api/external/**/*.java | cpf-core/src/main/java/com/cpf/core/api/security/**/*.java,cpf-gateway/src/main/java/**/*.java | cpf-reference/src/main/java/com/cpf/reference/external/**/*.java | cpf-reference/src/main/java/com/cpf/reference/security/**/*.java,EDU-028-SCN-NORMAL | EDU-011-SCN-NORMAL | EDU-017-SCN-NORMAL,EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY | EDU-011-SCN-ERROR | EDU-011-SCN-RECOVERY | EDU-011-SCN-SECURITY | EDU-017-SCN-ERROR | EDU-017-SCN-RECOVERY | EDU-017-SCN-SECURITY,/gateway-dashboard | /gateway-health | /security,"./gradlew.bat :cpf-gateway:test --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.external.*Rest*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.security.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
GWY-ROUTING,Gateway/External/Event,EDU-028 | EDU-011 | EDU-017,cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java | cpf-core/src/main/java/com/cpf/core/api/external/**/*.java | cpf-core/src/main/java/com/cpf/core/api/security/**/*.java,cpf-gateway/src/main/java/**/*.java | cpf-reference/src/main/java/com/cpf/reference/external/**/*.java | cpf-reference/src/main/java/com/cpf/reference/security/**/*.java,EDU-028-SCN-NORMAL | EDU-011-SCN-NORMAL | EDU-017-SCN-NORMAL,EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY | EDU-011-SCN-ERROR | EDU-011-SCN-RECOVERY | EDU-011-SCN-SECURITY | EDU-017-SCN-ERROR | EDU-017-SCN-RECOVERY | EDU-017-SCN-SECURITY,/gateway-dashboard | /gateway-health | /security,"./gradlew.bat :cpf-gateway:test --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.external.*Rest*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.security.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
GWY-TRUST,Gateway/External/Event,EDU-028 | EDU-011 | EDU-017,cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java | cpf-core/src/main/java/com/cpf/core/api/external/**/*.java | cpf-core/src/main/java/com/cpf/core/api/security/**/*.java,cpf-gateway/src/main/java/**/*.java | cpf-reference/src/main/java/com/cpf/reference/external/**/*.java | cpf-reference/src/main/java/com/cpf/reference/security/**/*.java,EDU-028-SCN-NORMAL | EDU-011-SCN-NORMAL | EDU-017-SCN-NORMAL,EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY | EDU-011-SCN-ERROR | EDU-011-SCN-RECOVERY | EDU-011-SCN-SECURITY | EDU-017-SCN-ERROR | EDU-017-SCN-RECOVERY | EDU-017-SCN-SECURITY,/gateway-dashboard | /gateway-health | /security,"./gradlew.bat :cpf-gateway:test --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.external.*Rest*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.security.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
GWY-RESILIENCE,Gateway/External/Event,EDU-028 | EDU-011 | EDU-017,cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java | cpf-core/src/main/java/com/cpf/core/api/external/**/*.java | cpf-core/src/main/java/com/cpf/core/api/security/**/*.java,cpf-gateway/src/main/java/**/*.java | cpf-reference/src/main/java/com/cpf/reference/external/**/*.java | cpf-reference/src/main/java/com/cpf/reference/security/**/*.java,EDU-028-SCN-NORMAL | EDU-011-SCN-NORMAL | EDU-017-SCN-NORMAL,EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY | EDU-011-SCN-ERROR | EDU-011-SCN-RECOVERY | EDU-011-SCN-SECURITY | EDU-017-SCN-ERROR | EDU-017-SCN-RECOVERY | EDU-017-SCN-SECURITY,/gateway-dashboard | /gateway-health | /security,"./gradlew.bat :cpf-gateway:test --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.external.*Rest*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.security.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
API-LIMIT,Gateway/External/Event,EDU-028 | EDU-011 | EDU-017,cpf-core/src/main/java/com/cpf/core/api/gateway/**/*.java | cpf-core/src/main/java/com/cpf/core/api/external/**/*.java | cpf-core/src/main/java/com/cpf/core/api/security/**/*.java,cpf-gateway/src/main/java/**/*.java | cpf-reference/src/main/java/com/cpf/reference/external/**/*.java | cpf-reference/src/main/java/com/cpf/reference/security/**/*.java,EDU-028-SCN-NORMAL | EDU-011-SCN-NORMAL | EDU-017-SCN-NORMAL,EDU-028-SCN-ERROR | EDU-028-SCN-RECOVERY | EDU-028-SCN-SECURITY | EDU-011-SCN-ERROR | EDU-011-SCN-RECOVERY | EDU-011-SCN-SECURITY | EDU-017-SCN-ERROR | EDU-017-SCN-RECOVERY | EDU-017-SCN-SECURITY,/gateway-dashboard | /gateway-health | /security,"./gradlew.bat :cpf-gateway:test --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.external.*Rest*"" --no-daemon | ./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.security.*"" --no-daemon",완료,미검증,cpf-docs/evidence/<exact-sha>/edu/<requirement_id>.json
