requirement_id,layer,section,owner,minimum_product_goal,priority,development_status,verification_status,current_rationale,source_mapping_status,consumer_mapping_status,runtime_evidence_status,acceptance_policy
BAT-CALL-ASYNC,CANONICAL_162,Batch/Center-Cut,cpf-batch,Batch Event/Outbox 비동기 호출·Stable ID·Retry/DLT·Completion Correlation,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BAT-SHARED,CANONICAL_162,Batch/Center-Cut,cpf-batch,Online/Common Facade 재사용의 Owner·Transaction·Load Isolation·Topology,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CENTER-CORE,CANONICAL_162,Batch/Center-Cut,cpf-batch,Center-Cut Job/Item/Attempt/Aggregate 상태와 Immutable Policy,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CENTER-RUNNER,CANONICAL_162,Batch/Center-Cut,cpf-batch,Target Generation→Claim→Dispatch→Aggregate Runner Lifecycle,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CENTER-PARAM,CANONICAL_162,Batch/Center-Cut,cpf-batch,대량 Parameter Snapshot·Schema·Hash·Encryption/Masking·Replay,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CENTER-CLAIM,CANONICAL_162,Batch/Center-Cut,cpf-batch,Item Claim·Lease·Fencing·Chunk Assignment·Stale Worker·Restart,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CENTER-RATE,CANONICAL_162,Batch/Center-Cut,cpf-batch,Global/Domain/Target Rate·Concurrency·Backpressure·Throttle·Pause/Drain,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CENTER-REPROCESS,CANONICAL_162,Batch/Center-Cut,cpf-batch,Failed/Selected/Range Reprocess·Approval·Idempotency·Prior Result·Compensation,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CENTER-UNKNOWN,CANONICAL_162,Batch/Center-Cut,cpf-batch,Item/Attempt Unknown 분류·Reconciliation·수동 확정·Audit,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
CENTER-OPS,CANONICAL_162,Batch/Center-Cut,cpf-batch/cpf-admin,ADM Job/Item/Attempt/Timeline/Progress/Reprocess/Pause/Cancel/Drain,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-AUTH,CANONICAL_162,Admin/Security/Operations,cpf-admin,운영자 Password/MFA/OIDC·JDBC Session·Fixation/Concurrency/Revocation/Logout,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-RBAC,CANONICAL_162,Admin/Security/Operations,cpf-admin,Menu/Button/API/Command 권한·Role·유효기간·조직 Context·Server Enforcement,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-AUDIT,CANONICAL_162,Admin/Security/Operations,cpf-admin,운영자·Target·Masked Before/After·Reason·Approval·Result·TXID 불변 Audit,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-TX,CANONICAL_162,Admin/Security/Operations,cpf-admin,Online/Async/Batch/External Transaction 검색·Header·Masking·Segment/Attempt,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-TIMELINE,CANONICAL_162,Admin/Security/Operations,cpf-admin,TXID 기반 Local/Remote/Event/Batch/Gateway/File/Agent Timeline,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-SERVICE,CANONICAL_162,Admin/Security/Operations,cpf-admin,Service/Endpoint/Instance/Health/Version/Zone/Routing/Maintenance 제어,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-LOG,CANONICAL_162,Admin/Security/Operations,cpf-admin,File/DB Log·Saved Search·Trace Boost·Dynamic Level·Retention·Download,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-BATCH,CANONICAL_162,Admin/Security/Operations,cpf-admin,Job Definition/Execution/Step/Checkpoint/Restart/Stop/Recover와 Batch ID,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-CENTER,CANONICAL_162,Admin/Security/Operations,cpf-admin,Center-Cut Job/Item/Attempt/Progress/Reprocess/Unknown/Compensation,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-AGENT,CANONICAL_162,Admin/Security/Operations,cpf-admin,Agent/Runner/Worker Registry·Heartbeat·Artifact·Process·Drain/Takeover,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-EXS,CANONICAL_162,Admin/Security/Operations,cpf-admin,External Endpoint/Health/Credential/Cert/Timeline/Unknown/Reconciliation,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-RECOVERY,CANONICAL_162,Admin/Security/Operations,cpf-admin,Unknown/DLQ/Saga/Deployment/File/Batch Runbook·Recover/Compensate/Reconcile,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-INCIDENT,CANONICAL_162,Admin/Security/Operations,cpf-admin,Alert→Incident→Severity/Owner→Runbook→Postmortem/Closure,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-UX,CANONICAL_162,Admin/Security/Operations,cpf-admin,대량 Search/Paging/Sort/Filter/Saved·State·Responsive·A11y·Safe Download,P0,부분 구현,미검증,59 route 존재와 공통 E2E가 있으나 메뉴별 API·권한·업무 interaction closure 부재,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ADM-APPROVAL,CANONICAL_162,Admin/Security/Operations,cpf-admin,위험조치 Policy·ALL/ANY/N_OF_M·SoD·Expiry·Break-glass·Command Hash,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BZA-BUSINESS,CANONICAL_162,Admin/Security/Operations,cpf-biz-admin,업무 관리자 Menu/권한/조회/등록/변경/Download/Approval,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BZA-ORG,CANONICAL_162,Admin/Security/Operations,cpf-biz-admin,조직·직원·직급/직책·유효기간·겸직/대행·Masked Profile,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BZA-APPROVAL,CANONICAL_162,Admin/Security/Operations,cpf-biz-admin,순차/병렬/Role/조직/ALL/ANY/N_OF_M/위임/회수/재상신/동시승인,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
BZA-SEQUENCE-SAMPLE,CANONICAL_162,Admin/Security/Operations,cpf-biz-admin,선택형 업무 채번 Customization Sample·규칙·시험·승인·Audit,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-AUTHN,CANONICAL_162,Admin/Security/Operations,security contract + owner,사용자/운영자/Service MFA/OIDC/OAuth/JWT/API Key/mTLS·Credential Lifecycle,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-AUTHZ,CANONICAL_162,Admin/Security/Operations,security contract + owner,RBAC/ABAC·Least Privilege·Resource/Action·SoD·Version·즉시 회수,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-SECRET,CANONICAL_162,Admin/Security/Operations,security contract + owner,Secret Provider·Vault/File/Env·Encryption·Rotation·Revocation·Zeroization,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-CERT,CANONICAL_162,Admin/Security/Operations,security contract + owner,Certificate/Key Trust·Issue/Import·Expiry·Rotation·Revocation·mTLS Identity,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-PRIVACY,CANONICAL_162,Admin/Security/Operations,security contract + owner,PII Catalog·목적/최소수집·Masking·Raw Access·Retention/Deletion·Export,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-DOWNLOAD,CANONICAL_162,Admin/Security/Operations,security contract + owner,민감 Download 권한·Reason·Approval·Watermark·Limit·Expiry·Encryption,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-APP,CANONICAL_162,Admin/Security/Operations,security contract + owner,Injection·SSRF·Traversal·Archive Bomb·XSS/CSRF·Deserialization·Process 보안,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-APPROVAL,CANONICAL_162,Admin/Security/Operations,security contract + owner,보안 위험행위 Dual Control·Self Approval 금지·Target Hash·Break-glass,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SEC-AUDIT,CANONICAL_162,Admin/Security/Operations,security contract + owner,Append-only/Tamper Detection·Hash Chain/Signature·Clock/Identity·Export,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-METRIC,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,Transaction/Service/Instance/DB/Broker/Batch/Gateway/Agent Metric,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-SLO,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,Availability/Latency/Error/Freshness/Backlog/Recovery SLI/SLO·Error Budget,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-ALERT,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,Dedup/Grouping/Inhibition/Severity/Routing/Escalation/Maintenance/Ack,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-INCIDENT,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,Incident Lifecycle·Commander/Owner·Communication·Timeline·Evidence,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-RUNBOOK,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,탐지·영향·진단·안전조치·Rollback·Escalation·검증·종결 Runbook,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-SELF,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,자동진단/복구 Allowlist·Attempt/Rate·Circuit Stop·Approval·Rollback,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-TOPOLOGY,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,Service/Instance/Dependency/Domain/Owner/DB/Broker/Endpoint Catalog,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-MAINT,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,Maintenance·Admission Block·Drain/Quiesce·In-flight·Resume·Audit,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-CONFIG,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,Runtime Config Catalog·Schema·Encryption·Version·Rollout·Rollback·Drift,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-DRIFT,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,Source/Artifact/Config/DB/Route/Permission/Runtime Desired-Actual Drift,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-CAPACITY,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,CPU/Memory/Thread/Connection/Queue/Storage/DB/Broker Capacity/Forecast,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
OPS-DR,CANONICAL_162,Admin/Security/Operations,cpf-admin + runtime owner,RTO/RPO·Multi-zone/site·Backup/Restore·Failover/Failback·DR Drill,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DEVEX-QUICK,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-tools/public artifacts,설치→생성→Build→Run→Test→Debug 재현 Quick Start,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DEVEX-CODEGEN,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-tools/public artifacts,OpenAPI/Orval/DB/Domain 생성의 Exact Input·Determinism·Drift·User 영역 보호,P0,실패,미검증,Tracked OpenAPI·marker·generated artifact 계약이 latest master에서 모순,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
DEVEX-COMMENT,CANONICAL_162,Generator/EDU/API/Quality/Productization,source owners,Public API/SPI·Service/Controller·복구/동시성/보안 한글 JavaDoc/주석,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
ONBOARD-DOMAIN,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-tools,DomainName+SystemCode 생성·충돌·DB Bootstrap·Build/Run·Remove/Regenerate,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SAMPLE-ACC,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-reference,범용 계정/업무 Local/Remote·Validation·Transaction·Error Sample,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SAMPLE-MBR,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-member/cpf-reference,Generator Output Golden Reference와 Normalized Parity,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SAMPLE-REF,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-reference,모든 Public API의 정상·오류·경계·복구·권한·운영 Runtime 교육,P0,부분 구현,미검증,cpf-reference module은 존재하지만 전체 Public API/복구/운영 executable catalog 부재,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SAMPLE-BIZADM,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-reference/cpf-biz-admin,BZA 선택형 업무관리·채번·결재 Customization Sample,P1,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
SAMPLE-EDU,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-reference,실제 Header/API/DB/Event/Batch/Security 표준 기반 교육,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
API-CONTRACT,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-core + endpoint owner,HTTP/Local/Remote Header/Auth/Success/Error/Version/Idempotency/Permission,P0,실패,미검증,ADM/BZA OpenAPI가 인증 일부·empty schema이며 실제 전체 API를 대표하지 못함,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
API-PAGING,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-core + endpoint owner,Page/Slice/Keyset/Signed Cursor·Sort/Filter Allowlist·Stable Ordering,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
API-ASYNC,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-core + endpoint owner,202/Operation ID/Status/Result/Callback/Event/Cancel/Expiry/Unknown,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
API-FILE,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-core + endpoint owner,Multipart/Streaming/Range/Checksum/Content/Size/Virus/Cancel/Safe Filename,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
RULE-ARCH,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-tools/quality,Module/Package/Dependency/Owner/Internal/DB/Dual Primary/Generated Drift Gate,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
RULE-SEC,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-tools/quality,Secret/URL/TLS/Header/Unsafe API/Path/Query/Log/Evidence/Vulnerability Gate,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
RULE-QUALITY,CANONICAL_162,Generator/EDU/API/Quality/Productization,cpf-tools/quality,Compile/Static/Duplicate/Dead Code/Lock/License/SBOM/Coverage/Marker-only Gate,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
TEST-UNIT,CANONICAL_162,Generator/EDU/API/Quality/Productization,repository test owners,순수 로직·Validation·State·Error·Serialization·Security Unit Test,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
TEST-CONTRACT,CANONICAL_162,Generator/EDU/API/Quality/Productization,repository test owners,Public API/SPI·Local/Remote·OpenAPI·Message·DB·Generated·Artifact Contract,P0,부분 구현,미검증,관련 Source/Contract/Script 방향은 존재하나 전체 Consumer·오류·복구·다중 인스턴스·Evidence closure가 확인되지 않음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
TEST-RUNTIME,CANONICAL_162,Generator/EDU/API/Quality/Productization,repository test owners,Java25/WAS/DB/Process Startup·Endpoint·Transaction·Shutdown·Recovery·Leak,P0,부분 구현,미검증,Runner/script는 있으나 latest SHA 직접 실행 Evidence 없음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
TEST-BROWSER,CANONICAL_162,Generator/EDU/API/Quality/Productization,repository test owners,ADM/BZA 3 Browser·Route·Session·Permission·Error·A11y·Responsive,P0,실패,미검증,Route test가 실제 업무 outcome과 complete generated contract를 보장하지 못함,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
TEST-BROKER,CANONICAL_162,Generator/EDU/API/Quality/Productization,repository test owners,Kafka ACK·Transaction·Duplicate·Order·Rebalance·Retry/DLT·Outage·Crash,P0,부분 구현,미검증,Kafka contract/runner 방향은 있으나 latest SHA actual broker evidence 없음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
TEST-FAULT,CANONICAL_162,Generator/EDU/API/Quality/Productization,repository test owners,DB/Network/Broker/Disk/Process/Time/Response Loss Fault와 Recovery,P0,부분 구현,미검증,fault runner 방향은 있으나 full failure-stage matrix latest SHA evidence 없음,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
TEST-EVIDENCE,CANONICAL_162,Generator/EDU/API/Quality/Productization,repository test owners,Exact SHA·Command·Environment·Time·Exit·Report/Artifact Hash·Sanitized Schema,P0,부분 구현,미검증,QA34 wrappers가 있으나 requirement별 semantic evidence 검증이 부족,미수집,미수집,미검증,17개 공통 완료 축 전수 검증 또는 승인된 N/A
