requirement_id,catalog_group,owner_scope,development_status,development_basis,static_gate,verification_class,verification_status,verification_owner,completion_note
EXS-REST,Gateway/External/Event,cpf-tools/generator; cpf-reference; cpf-core/src/main/java/com/cpf/core/api/filetransfer; cpf-core/src/main/java/com/cpf/core/api/fixedlength,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EXS-FIXED,Gateway/External/Event,cpf-tools/generator; cpf-reference; cpf-core/src/main/java/com/cpf/core/api/filetransfer; cpf-core/src/main/java/com/cpf/core/api/fixedlength,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EXS-SEC,Gateway/External/Event,cpf-tools/generator; cpf-reference; cpf-core/src/main/java/com/cpf/core/api/filetransfer; cpf-core/src/main/java/com/cpf/core/api/fixedlength,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EXS-FILE,Gateway/External/Event,cpf-tools/generator; cpf-reference; cpf-core/src/main/java/com/cpf/core/api/filetransfer; cpf-core/src/main/java/com/cpf/core/api/fixedlength,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EXS-UNKNOWN,Gateway/External/Event,cpf-tools/generator; cpf-reference; cpf-core/src/main/java/com/cpf/core/api/filetransfer; cpf-core/src/main/java/com/cpf/core/api/fixedlength,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EXS-RECON,Gateway/External/Event,cpf-tools/generator; cpf-reference; cpf-core/src/main/java/com/cpf/core/api/filetransfer; cpf-core/src/main/java/com/cpf/core/api/fixedlength,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EVENT-CORE,Gateway/External/Event,cpf-core/src/main/java/com/cpf/core/api/broker; cpf-core/src/main/java/com/cpf/core/common/broker; cpf-core/src/main/java/com/cpf/core/common/saga,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EVENT-OUTBOX,Gateway/External/Event,cpf-core/src/main/java/com/cpf/core/api/broker; cpf-core/src/main/java/com/cpf/core/common/broker; cpf-core/src/main/java/com/cpf/core/common/saga,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EVENT-BROKER,Gateway/External/Event,cpf-core/src/main/java/com/cpf/core/api/broker; cpf-core/src/main/java/com/cpf/core/common/broker; cpf-core/src/main/java/com/cpf/core/common/saga,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
EVENT-DLQ,Gateway/External/Event,cpf-core/src/main/java/com/cpf/core/api/broker; cpf-core/src/main/java/com/cpf/core/common/broker; cpf-core/src/main/java/com/cpf/core/common/saga,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SAGA-CORE,Gateway/External/Event,cpf-core/src/main/java/com/cpf/core/api/broker; cpf-core/src/main/java/com/cpf/core/common/broker; cpf-core/src/main/java/com/cpf/core/common/saga,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SAGA-COMP,Gateway/External/Event,cpf-core/src/main/java/com/cpf/core/api/broker; cpf-core/src/main/java/com/cpf/core/common/broker; cpf-core/src/main/java/com/cpf/core/common/saga,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SAGA-MANUAL,Gateway/External/Event,cpf-core/src/main/java/com/cpf/core/api/broker; cpf-core/src/main/java/com/cpf/core/common/broker; cpf-core/src/main/java/com/cpf/core/common/saga,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,RUNTIME_FAULT_MULTI_INSTANCE,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BAT-CORE,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BAT-JOB,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BAT-ITEM,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BAT-EXECUTOR,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BAT-AGENT,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BAT-CALL-SYNC,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BAT-CALL-ASYNC,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BAT-SHARED,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CENTER-CORE,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CENTER-RUNNER,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CENTER-PARAM,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CENTER-CLAIM,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CENTER-RATE,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CENTER-REPROCESS,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CENTER-UNKNOWN,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
CENTER-OPS,Batch/Center-Cut,cpf-batch; cpf-local-batch-runtime; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BATCH_MULTI_PROCESS_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-AUTH,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-RBAC,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-AUDIT,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-TX,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-TIMELINE,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-SERVICE,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-LOG,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-BATCH,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-CENTER,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-AGENT,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-EXS,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-RECOVERY,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-INCIDENT,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-UX,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
ADM-APPROVAL,Admin/Security/Operations,cpf-admin; cpf-core/src/main/java/com/cpf/core/api/runtimecontrol,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BZA-BUSINESS,Admin/Security/Operations,cpf-biz-admin; cpf-tools/db/metadata/bza-permission-manifest.json,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BZA-ORG,Admin/Security/Operations,cpf-biz-admin; cpf-tools/db/metadata/bza-permission-manifest.json,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BZA-APPROVAL,Admin/Security/Operations,cpf-biz-admin; cpf-tools/db/metadata/bza-permission-manifest.json,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
BZA-SEQUENCE-SAMPLE,Admin/Security/Operations,cpf-biz-admin; cpf-tools/db/metadata/bza-permission-manifest.json,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_DB_BROWSER_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SEC-AUTHN,Admin/Security/Operations,cpf-core/src/main/java/com/cpf/core/api/security; cpf-admin; cpf-biz-admin,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SEC-AUTHZ,Admin/Security/Operations,cpf-core/src/main/java/com/cpf/core/api/security; cpf-admin; cpf-biz-admin,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SEC-SECRET,Admin/Security/Operations,cpf-core/src/main/java/com/cpf/core/api/security; cpf-admin; cpf-biz-admin,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SEC-CERT,Admin/Security/Operations,cpf-core/src/main/java/com/cpf/core/api/security; cpf-admin; cpf-biz-admin,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SEC-PRIVACY,Admin/Security/Operations,cpf-core/src/main/java/com/cpf/core/api/security; cpf-admin; cpf-biz-admin,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SEC-DOWNLOAD,Admin/Security/Operations,cpf-core/src/main/java/com/cpf/core/api/security; cpf-admin; cpf-biz-admin,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
SEC-APP,Admin/Security/Operations,cpf-core/src/main/java/com/cpf/core/api/security; cpf-admin; cpf-biz-admin,완료,b8941577b99535ff3e64a4fad99b74bafa544227 기준선 구현 유지 + 20260729_04 Root Overlay Source/SQL/API/Test/Guide 보강,cpf-tools/verification/20260729_04/check_final_source_closure.py,BUILD_TEST_RUNTIME,미검증,Codex 검수 전용,실행 Evidence가 필요한 항목은 미검증이며 Source 미구현/부분 구현과 구분한다.
