requirement_id,priority,category,title,applicable_surfaces,current_gap_or_risk,required_outcome,required_implementation,prohibited_partial_completion,required_static_architecture_gates,required_runtime_failure_scenarios,required_evidence,suggested_owner,dependency_or_precondition,initial_status,completion_blocker
BUILD-REL-001,P1,Release,Release Ref 정책 단일화,release/final/governance/workflows,master 하드코딩·detached HEAD 차단,approved branch/tag/commit policy와 exact identity,"default branch metadata, tag/ref rules, detached support, clean worktree",master를 main으로 문자열 교체만,hardcoded branch scanner,branch/tag/detached/fork/source archive,ref decision/evidence,Release,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-PROV-002,P1,Provenance,Artifact 무결성 Metadata 의미 명확화,JAR manifest/release manifest/SBOM,external-sha256 등 자기참조 불가능한 모호한 필드,외부 signed linkage와 digest semantics 명확화,artifact digest sidecar/manifest/signature and coordinate binding,placeholder metadata 유지,metadata schema/parity,tamper/repack,hash/signature/manifest,Release,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-GEN-004,P1,Generator,생성 Domain Dependency 재현성,generated build/lock,refresh-dependencies·외부 상태로 결과 변동,same input/toolchain/repository snapshot→same graph,lock/version catalog/offline cache provenance,생성 성공만,graph hash,two clean generations,lock/graph diff,Generator,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-PKG-002,P1,Packaging,실행 Artifact Dependency 정밀 검증,bootJar/war/lib,파일명 prefix 검사로 정확 버전/중복 미검출,실제 archive dependency coordinate/version/hash를 검증,"unpack index, duplicates, forbidden libs, classpath order",core/common 이름 존재만,archive inventory gate,wrong version/duplicate injection,inventory/SBOM parity,Release,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-ART-005,P1,Artifact,검증 경로 Artifact Mode 일치,smoke/export/verify scripts,local-online smoke를 offline/remote 증거로 사용 가능,검증마다 실제 mode/repos/cache/network 상태 기록·준수,verification wrapper and evidence,task 이름만 offline,mode evidence gate,"network blocked, empty cache",actual repositories/cache,QA,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-PROV-003,P0,Provenance,Source Identity 미확인 시 Artifact 재사용 차단,verify-local-artifact-propagation/generator,Git 실패→UNKNOWN이면 manifest source 비교 생략,source identity 검증 불가 시 reuse/promoted 판정 실패,strict resolver and signed source manifest fallback,UNKNOWN을 경고로 통과,unknown identity fixture,git missing/damaged/mismatch,resolver output/reuse decision,Build,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-ART-006,P1,Artifact,Offline Bundle 콘텐츠 Allowlist·Secret Hygiene,vendor packs/offline ZIP,정본 root 전체 복사와 inventory allowlist 부족,manifest-listed safe files만 bundle,path/ext/size/count/secret/symlink/executable allowlist,source와 동일하면 안전하다고 판정,content scanner,"malicious extra file, symlink, secret",inventory/hashes/scan,Release,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-GOV-001,P1,Governance,GitHub Governance Tool·Repository Portability,verify-github-governance/CI,gh CLI/auth/master/repo hardcode,"repo metadata 기반, tool/API adapter, UNVERIFIED fail closed","preflight, GHES/fork/rate limit support",CLI 설치 문제를 제품 실패와 혼동,portability tests,auth/rate/fork/default branch,query metadata/result,Governance,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-OBS-001,P1,Build,Build·Generator 검증 실패 진단 보존,scripts/subprocess,*>$null 등 stdout/stderr 폐기,failure code와 sanitized diagnostics 보존,"capture files, distinguish stale vs integrity/security failure",후속 성공으로 실패 덮기,suppression scanner,failing child process,diagnostic/evidence,Build,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-ABSENCE-001,P1,Source Quality,Optional·Nullable 부재 상태 Typed Contract,all product/generated source,get/orElseThrow() 부재가 generic exception으로 노출 가능,업무 부재를 typed error/state로 처리,"presence contract, nullability annotations, concurrency-safe lookup",한 파일만 수정,static optional rule,missing/concurrent delete,error code/API response,All Java,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-ERR-001,P1,Source Quality,Exception Taxonomy·Unknown Recovery Contract,all runtime/source/scripts,catch-all로 원인/retry/interrupt 유실,validation/auth/timeout/transport/conflict/unknown 분류와 recovery,"typed exceptions, interrupt restore, root cause masking/audit",catch를 로그만 남기고 계속,catch/printStackTrace gate,timeout/interruption/partial side effect,error/ledger/reconcile,All,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-CONC-001,P1,Concurrency,Blocking Wait·Polling·Cancellation·Executor Lifecycle,threads/schedulers/SSE/workers,sleep/unbounded pools/shutdown/backpressure 위험,owned bounded executors 또는 virtual-thread policy와 cancellation,"no request-thread sleep, shutdown, queue/backpressure, deadline",Thread.sleep만 다른 sleep로 교체,thread/executor scanner,"slow consumer, shutdown, load",thread/heap/queue metrics,Runtime,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-EXEC-001,P0,Security,Privileged Process Execution Security Boundary,Java/PowerShell/shell/agents,외부 명령·service control의 injection/권한/state 위험,structured allowlisted command execution with trust and audit,"no shell string concat, canonical executable, minimal env, timeout/process tree/output bound",ProcessBuilder wrapper만 추가,command architecture scanner,injection/path/env/output/kill,command audit/result,Security + Batch,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-EGRESS-001,P1,Security,Outbound Network·HTTP Resilience·Egress 통제,WebClient/RestClient/socket/scripts,URL 구성·SSRF·timeout/retry 정책 분산,approved client/endpoint registry and canonical URI policy,scheme/authority/host/IP/redirect/TLS/timeouts/idempotency,localhost 문자열만 제거,raw client/URI scanner,SSRF/DNS rebinding/redirect/timeout,policy decision/traces,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
CFG-ENV-001,P1,Configuration,환경·Profile·Secret Fixture 경계,application/env/generator/tests,local defaults/test markers가 prod로 승격 가능,environment classification과 prod fail-closed,no prod loopback/default secret; profile isolation; required config,__REPLACE_BY_ENV__ 존재만으로 안전 판단,config scanner/profile tests,"renamed/empty profile, missing vars",effective config masked,Platform,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-INCOMPLETE-001,P1,Quality,Reachable Stub·Placeholder·Unsupported Path 차단,product/generated runtime source,partial/stub/TODO/unsupported가 실행 가능,release scope reachable path는 fully implemented or disabled capability,capability discovery and allowlisted unsupported with owner/expiry,문서 TODO 개수로 완료 판단; throw stub 방치,stub scanner/coverage,invoke every capability,inventory/results,QA,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SEC-SCRIPT-001,P1,Security,PowerShell Script 신뢰·실행 경계,all ps1 invocations,ExecutionPolicy Bypass·경로/해시 미검증,trusted canonical scripts with hash/signature evidence,"no unrestricted Bypass, no dynamic download/Invoke-Expression",호출 문자열만 변경,script invocation scanner,tampered/outside/symlink script,script hash/exit,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
BUILD-PS-001,P2,Build,PowerShell Runtime·호환성·HTTP 계약,all ps1,version/deprecated args/error semantics 불일치,pinned supported pwsh and strict error/encoding/http behavior,"version preflight, no UseBasicParsing, ExitCode/JSON schema",PowerShell 7에서만 우연히 통과,PSScriptAnalyzer/custom gate,"Windows/Linux, HTTP errors",version/logs,Build,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-FS-001,P1,Security,Runtime File·Directory Security Boundary,files/temp/archive/spool/upload,path traversal/symlink/TOCTOU/permission/cleanup 위험,"canonical allowed roots, no-follow, atomic lifecycle, quota","safe path service, permissions, retention, ownership",normalize만 사용,file API architecture gate,traversal/symlink/race/disk full,file inventory/audit,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-REFLECT-001,P2,Security,Reflection·Dynamic Loading·DTO Mapping 경계,reflection/class/resource loading,setAccessible/Class.forName 입력 경계 위험,registered type/package/resource allowlist and public access preferred,"limited setAccessible, JPMS/native metadata",API 존재만 제거하거나 무제한 allowlist,reflection scanner,unregistered class/private access,allowlist/tests,Core,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-DESER-001,P1,Security,JSON 역직렬화 입력 계약,ObjectMapper/external JSON/manifest,raw Object/Map/size-depth/schema 위험,typed DTO/schema and parser resource limits,"no default typing, polymorphic allowlist, unknown/duplicate/size policy",ObjectMapper singleton만 만들고 raw input 유지,deser scanner/schema gate,deep/large/type confusion/duplicate,schema/test results,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SEC-CRYPTO-001,P1,Security,Cryptography Algorithm·Key Lifecycle Gate,hash/cipher/mac/signature/token,알고리즘/mode/key/nonce/rotation 분산,approved algorithms and provider-backed key lifecycle,"AEAD, strong KDF, constant time, key ID/version/revocation",API 이름만 바꿈,crypto scanner/known-answer,tamper/nonce/key rotation,algorithm/key metadata,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-SQL-001,P1,Security,동적 SQL·Query Construction 공통 계약,JDBC/MyBatis/vendor SQL,value/identifier/order fragment 결합 위험과 정적 오판 혼재,values bind; identifiers/ordering allowlist/catalog,query timeout/max rows and 3DB tests,StringBuilder 전부 금지 또는 값 concat 방치,SQL taint/static gate,injection/invalid identifier,query/test evidence,DB,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SRC-RESOURCE-001,P1,Reliability,Bounded Streaming·Memory·Disk·Process Output 자원 계약,files/http/archive/log/process/spool,readAllBytes/byte[]/full scan/concurrency aggregate limit 부족,streaming and layered resource budgets,size/count/ratio/concurrency/quota/cleanup/backpressure,개별 5MB 상한만 추가,resource API inventory,OOM/disk full/zip bomb/output flood,JFR/heap/disk/FD,Runtime,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SEC-BOOTSTRAP-001,P0,Security,특권 초기 관리자 Bootstrap 수명주기,ADM/BZA/service account,enabled/profile 기반 반복 privileged creation,one-time approved expiring bootstrap and disable-after-success,"environment classification, nonce/fingerprint, reconciliation",강한 비밀번호만 추가,bootstrap gate,restart/concurrent/stolen env/expired,approval/audit,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OPS-DEPLOY-001,P0,Operations,배포·Rollback 상태기계와 Lock Ownership 계약,deployment/agent/installer,"전체 rollback, STOP 결과 미확인, lock/state ambiguity","per-instance journal, selective reverse rollback, fencing","only changed instances, reconcile unknown",try/finally만 추가,state-machine tests,failure each stage/kill/lock contention,journal/final actual,Batch Ops,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
OPS-PROBE-001,P1,Operations,Health·Readiness·Functional Smoke Probe 계약,all probes/smoke,timeout 미사용/문자열 포함/port open false green,typed staged probes with actual deadlines/schema/auth,liveness/readiness/functional separation,HTTP 200만 확인,probe contract gate,slow/invalid body/500 UP/auth/TLS,probe structured result,QA,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SEC-ARTIFACT-001,P0,Security,Runtime Artifact Trust·Signature·Anti-Rollback 계약,installer/offline/release,key path/trust/manifest/version/TOCTOU 부족,signed canonical manifest binds exact bytes and anti-rollback,"trust anchor, rotation/revocation, immutable staging",checksum+signature 문자열만,artifact trust gate,wrong signer/key/swap/downgrade,trust decision/hash,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SEC-HTTP-001,P1,Security,Inbound HTTP·CORS·TLS·Runtime Policy 안전 계약,gateway/admin/runtime policy,origin/header/forwarded/tls/runtime changes risk,canonical browser/proxy security policy with approval/rollback,"origin URI, secure cookies, HSTS/CSP, forwarded trust",wildcard check 하나만,security header/CORS gate,preflight/CRLF/punycode/version conflict,browser headers/audit,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
SEC-PARSER-001,P2,Security,XML·Office·Structured Parser 공통 보안 계약,XML/POI/YAML/CSV parsers,새 parser가 XXE/zip bomb/formula limit 없이 유입 가능,common secure parser factories and malicious corpus,"secure processing, external entities off, size/depth/macro/formula policy",현재 XLSX 한 파일만 안전,parser construction gate,XXE/billion laughs/zip bomb/macro,feature snapshot/corpus,Security,,OPEN_REVALIDATION,최신 exact SHA에서 구현·전체 소비자 이관·Legacy 제거·필수 실행 증적이 모두 확인되기 전 완료 금지
