route_id,path,menu_id,label,risk,search_fields,columns,detail_areas,buttons,owner_record,normal_result,failure_boundary,recovery
permissions,/permissions,PERMISSION,권한,MEDIUM,"유형, Code, Role, 상태","Type, Code, Name, 상태, Role 수, Version","Menu/Button/API 정의, Role Matrix, Data Scope, 영향",정의 생성/수정; 상태 변경; Role 매핑,ADM Permission·Role 원장,화면·Button·API 권한이 같은 정책 Version을 사용하고 Simulation 결과가 일치한다.,고아 Permission·중복 Code·잠금 Role·자기 권한 상실을 구분한다.,영향 Matrix와 Break-glass 경로를 확인하고 새 Version으로 변경한다.
password,/password,PASSWORD,비밀번호,HIGH,"운영자, 상태, Session","Operator, 정책, 변경시각, 실패횟수, Lock, Session 수","정책, Validation 결과, Reset Audit, Session",변경; Reset; Session Revoke,Operator Credential·Session 원장,정책 검증을 통과하고 Reset 후 기존 Session이 폐기된다.,정책 위반·본인 확인 실패·승인 부족·Session 잔존을 구분한다.,운영자를 잠그지 말고 승인된 Reset 후 Session 원장을 재조회한다.
security,/security,SECURITY,보안,HIGH,"운영자, MFA 상태, IP/CIDR, 상태","Operator, MFA 상태, Secret Provider, Verified At, Allowlist","MFA 등록/검증/해제, IP Rule, Audit",MFA 등록; 검증; 해제; IP Allowlist 저장,ADM Security·Secret Metadata,MFA 로그인은 6자리 TOTP·30초 주기·±1 Window에서만 성공하고 Secret은 표시되지 않는다.,잘못된 형식·만료 Code·Clock skew·Secret 부재·IP 차단을 구분한다.,시간 동기화와 Secret Provider를 확인하고 Break-glass 없이 정책을 우회하지 않는다.
operators,/operators,OPERATOR,운영자,HIGH,"Operator ID, 이름, 상태, Role","Operator, 상태, Role, MFA, Lock, Session, Updated At","Role, Menu, Session, Masked Contact, 생성 결과",생성; Role 변경; 상태 변경; Unlock; 연락처 변경; Session 정리,Operator·Role·Session 원장,신규 Operator는 최소 Role로 생성되고 연락처는 Masking되며 생성 Operation 결과가 남는다.,중복 ID·자기 비활성·최종 관리자 제거·Session 정리 실패를 구분한다.,다른 관리자와 영향 범위를 확인한 뒤 새 승인 Operation으로 변경한다.
secrets,/secrets,SECRET,Secret / Key,HIGH,"Secret ID, Provider, 상태, Expiry","Secret ID, Provider, Algorithm, Version, Expiry, Consumer, 상태","Consumer, Rotation Plan, Previous Version, Audit",Rotate,Secret Metadata·Provider 원장,새 Version Consumer 전환과 Probe가 통과하고 이전 Version은 Grace 후 폐기된다.,Provider 장애·Consumer 미전환·복호화 실패·부분 Rotation을 구분한다.,이전 Version을 유지한 채 실패 Consumer를 복구하고 필요하면 Rotation을 Rollback한다.
approvals,/approvals,APPROVAL,위험조치 승인,HIGH,"정책, 요청자, 상태, 대상, 기간","Approval ID, Policy, Target, Requester, Approver, 상태, Expiry","Request Detail, Target Snapshot, Decision, Execution, Audit",정책 저장; 요청; 승인/반려; 실행,Approval Policy·Request·Execution 원장,요청자와 승인자가 분리되고 승인된 Snapshot과 실행 Target이 일치한다.,자기 승인·만료·Snapshot 변경·Idempotency 충돌·실행 결과 불명을 구분한다.,승인을 재사용하지 않고 상태를 대사한 뒤 필요하면 새 요청을 생성한다.
breakGlass,/breakGlass,BREAK_GLASS,Break-glass,HIGH,"Session ID, 요청자, 상태, 기간","Session, Requester, Scope, Start, Expiry, 상태, Reviewer","Reason, Scope, Actions, Review, Close Evidence",Open; Review; Close,Break-glass Session·Action Audit,승인된 Scope와 기간 안의 Action만 허용되고 종료 후 Session이 폐기된다.,Scope 초과·만료 후 사용·검토 누락·Session 미폐기를 구분한다.,Session을 우선 Close하고 관련 Credential·Action Audit를 검토한다.
featureFlags,/featureFlags,FEATURE_FLAG,Feature Flag,CRITICAL,"Flag, Environment, Tenant, 상태","Flag, Default, Rule, Override, Expiry, Kill Switch, Version","Evaluation, Target Rule, Approval, Distribution, Audit",Override 요청/승인/해제; Kill Switch,Feature Flag Policy·Evaluation Ledger,평가 Context별 결과와 Runtime Applied Version이 일치하고 Override가 만료된다.,Rule 우선순위·Context 누락·부분 적용·Kill Switch 오작동을 구분한다.,Evaluation Evidence를 확인하고 Override를 해제하거나 이전 Rule Version으로 복귀한다.
openApiOperations,/openApiOperations,OPENAPI_OPERATIONS,OpenAPI 운영,HIGH,"Service, Source Version, 상태","Service, Operation 수, Source Hash, Generated At, 상태","Missing/Duplicate Operation, Consumer Contract, Refresh Audit",Refresh,OpenAPI Runtime Inventory,Runtime Inventory의 Operation ID가 Generated Client·Route Registry와 일치한다.,중복 Operation ID·Source Hash 불일치·Generated Client stale을 구분한다.,Refresh 전에 Source·Client를 맞추고 소비자 Contract Test를 다시 수행한다.
resiliencePolicies,/resiliencePolicies,RESILIENCE_POLICY,Resilience 정책,CRITICAL,"정책, 서비스, Operation, 상태, Version","Policy, Timeout, Retry, Circuit, Bulkhead, 상태, Applied","Request, Preview, Approval, Target Distribution, Metric",요청; 승인; 반려,Resilience Policy·Applied State,정책 Applied Version이 일치하고 Retry가 Idempotency 조건을 위반하지 않는다.,과도한 Retry·Timeout 역전·Circuit 진동·부분 적용을 구분한다.,Metric과 Target 상태를 확인해 이전 Version으로 Rollback하거나 새 정책을 승인한다.
