check_id,source_requirement_id,area,direct_source_review,source_evidence,consumer_review,test_harness_review,development_status,verification_status,runtime_only_reason
CORE-125,DEV17-DECOMP-125,XA DB+DB,COMPLETE,transaction-jta; XA harness,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-126,DEV17-DECOMP-126,XA DB+JMS,COMPLETE,transaction-jta + messaging/jms boundary,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-127,DEV17-DECOMP-127,XA Recovery,COMPLETE,run-xa-crash-recovery scripts,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-128,DEV17-DECOMP-128,Outbox,COMPLETE,messaging/reliability-jdbc,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-129,DEV17-DECOMP-129,Inbox Dedup,COMPLETE,broker inbox hardening DB3,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-130,DEV17-DECOMP-130,Saga,COMPLETE,cpf-core/common/saga,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-131,DEV17-DECOMP-131,TCC,COMPLETE,Reference durable TCC DB3,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-132,DEV17-DECOMP-132,Lineage,COMPLETE,cpf-core/api/lineage; online integrated reference,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-133,DEV17-DECOMP-133,JWT DX,COMPLETE,resource-server CpfSecurityContext,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-134,DEV17-DECOMP-134,OIDC,COMPLETE,security/oidc-login,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-135,DEV17-DECOMP-135,KMS/HSM,COMPLETE,security/secret key management,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-136,DEV17-DECOMP-136,Tamper Audit,COMPLETE,security/audit-jdbc + secret service,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-137,DEV17-DECOMP-137,AI,COMPLETE,integration/ai,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-138,DEV17-DECOMP-138,CRUD DX,COMPLETE,core/api/persistence,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-139,DEV17-DECOMP-139,JPA,COMPLETE,data/persistence-jpa,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-140,DEV17-DECOMP-140,Generator,COMPLETE,create-domain.ps1 + catalog,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-141,DEV17-DECOMP-141,Multipart,COMPLETE,file/attachment,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-142,DEV17-DECOMP-142,SOAP,COMPLETE,integration/soap,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-143,DEV17-DECOMP-143,Config,COMPLETE,core/api/config,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-144,DEV17-DECOMP-144,Cache,COMPLETE,cache caffeine/valkey,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-145,DEV17-DECOMP-145,Batch,COMPLETE,cpf-batch runtime/testkit,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-146,DEV17-DECOMP-146,Observability,COMPLETE,platform operations observability,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-147,DEV17-DECOMP-147,ADM/BZA,COMPLETE,cpf-admin; cpf-biz-admin,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-148,DEV17-DECOMP-148,OpenAPI Client,COMPLETE,adm frontend generated,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-149,DEV17-DECOMP-149,Hygiene,COMPLETE,delete manifest + catalog,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-150,DEV17-DECOMP-150,Transaction Strategy,COMPLETE,cpf-core/api/transaction; transaction-jta,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-151,DEV17-DECOMP-151,XA DB+DB,COMPLETE,transaction-jta; XA harness,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-152,DEV17-DECOMP-152,XA DB+JMS,COMPLETE,transaction-jta + messaging/jms boundary,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-153,DEV17-DECOMP-153,XA Recovery,COMPLETE,run-xa-crash-recovery scripts,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-154,DEV17-DECOMP-154,Outbox,COMPLETE,messaging/reliability-jdbc,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-155,DEV17-DECOMP-155,Inbox Dedup,COMPLETE,broker inbox hardening DB3,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-156,DEV17-DECOMP-156,Saga,COMPLETE,cpf-core/common/saga,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-157,DEV17-DECOMP-157,TCC,COMPLETE,Reference durable TCC DB3,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-158,DEV17-DECOMP-158,Lineage,COMPLETE,cpf-core/api/lineage; online integrated reference,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-159,DEV17-DECOMP-159,JWT DX,COMPLETE,resource-server CpfSecurityContext,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-160,DEV17-DECOMP-160,OIDC,COMPLETE,security/oidc-login,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-161,DEV17-DECOMP-161,KMS/HSM,COMPLETE,security/secret key management,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-162,DEV17-DECOMP-162,Tamper Audit,COMPLETE,security/audit-jdbc + secret service,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-163,DEV17-DECOMP-163,AI,COMPLETE,integration/ai,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-164,DEV17-DECOMP-164,CRUD DX,COMPLETE,core/api/persistence,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-165,DEV17-DECOMP-165,JPA,COMPLETE,data/persistence-jpa,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-166,DEV17-DECOMP-166,Generator,COMPLETE,create-domain.ps1 + catalog,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-167,DEV17-DECOMP-167,Multipart,COMPLETE,file/attachment,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-168,DEV17-DECOMP-168,SOAP,COMPLETE,integration/soap,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,미검증,external environment only
CORE-169,DEV17-DECOMP-169,Config,COMPLETE,core/api/config,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-170,DEV17-DECOMP-170,Cache,COMPLETE,cache caffeine/valkey,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-171,DEV17-DECOMP-171,Batch,COMPLETE,cpf-batch runtime/testkit,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-172,DEV17-DECOMP-172,Observability,COMPLETE,platform operations observability,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-173,DEV17-DECOMP-173,ADM/BZA,COMPLETE,cpf-admin; cpf-biz-admin,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-174,DEV17-DECOMP-174,OpenAPI Client,COMPLETE,adm frontend generated,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-175,DEV17-DECOMP-175,Hygiene,COMPLETE,delete manifest + catalog,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-176,DEV17-DECOMP-176,Transaction Strategy,COMPLETE,cpf-core/api/transaction; transaction-jta,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-177,DEV17-DECOMP-177,XA DB+DB,COMPLETE,transaction-jta; XA harness,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-178,DEV17-DECOMP-178,XA DB+JMS,COMPLETE,transaction-jta + messaging/jms boundary,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-179,DEV17-DECOMP-179,XA Recovery,COMPLETE,run-xa-crash-recovery scripts,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
CORE-180,DEV17-DECOMP-180,Outbox,COMPLETE,messaging/reliability-jdbc,COMPLETE_OR_NA_WITH_RATIONALE,COMPLETE_OR_NA_WITH_RATIONALE,완료,재확인 필요,
