requirement_id,priority,owner,requirement,change_target,consumer,acceptance_criteria,verification_method,evidence,regression_protection,development_status,verification_status
QA39-047,P0,Canonical Governance,Canonical 169에서 중복 없는 신규 11개만 추가해 180으로 현행화하고 기존 SSO/KMS/Signature/Tamper/Outbox/Saga는 기존 ID를 강화한다.,CPF_FINAL_TARGET_REQUIREMENTS.md; continuity ledger,전체,Canonical count/ID/의미/중복/legacy alias 정합성,canonical parser + duplicate check,Overlay 현행화,Requirement 증식/중복 방지,완료,미검증
QA39-048,P0,Starter Architecture,활성 Starter 전부를 OSS 직접 적용 대비 개발자 사용성·부가가치 관점에서 다시 검수·보강한다.,Canonical Starter Catalog; CPF_STARTER_VALUE_CATALOG.csv; all starter sources,Generated Domain/ADM/BZA/Batch/Reference,"Wrapper-only 0, actual consumer 존재, typed API/safe default/fail-fast/native escape/0-footprint 검증",starter DX matrix + consumer diff + boot context,개발 전,기능 존재만으로 완료 처리 방지,재개발 요청,미검증
QA39-049,P0,Starter Owners,각 Starter가 CPF Error/Security/Audit/Masking/Logging/Observability/Transaction/Retry/UNKNOWN/Reconcile와 특성에 맞게 최소 설정으로 연결된다.,all active starter AutoConfiguration/API,업무 개발자,프로젝트마다 공통표준을 수동 재구현하지 않음,consumer source + negative config tests,개발 전,표준 분절 방지,재개발 요청,미검증
QA39-050,P0,Extension SPI Owners,Provider 교체 가치가 있는 영역은 CPF API/SPI→Provider로 제공하되 Native API escape와 customer provider conformance를 보장하고 형식적 SPI를 만들지 않는다.,provider starter/api/spi/testkit,고객 확장 개발자,"Provider 교체 시 업무코드 최소변경, internal 참조 0",customer plugin fixture + binary/api test,개발 전,provider lock-in/consumer-less SPI 방지,재개발 요청,미검증
QA39-051,P1,AI Capability,Provider-neutral AI Optional Capability를 구현한다.,new optional AI capability/starter + security/resilience/audit,업무 Domain/Reference,"routing, timeout/retry/cb/fallback, masking, usage/cost, auth/policy/approval, UNKNOWN, consumer/EDU",provider conformance + failure/security tests,개발 전,provider 종속/PII 유출 방지,미구현,미검증
QA39-052,P0,Security,Resource Server 개발자 API를 고도화한다.,security/resource-server + core security context,Gateway/Generated Domain/Reference,"currentUserId/currentTenantId/currentPrincipal/role/scope/safe claims, issuer/audience/expiry, 401/403",consumer compile/runtime + negative token tests,개발 전,Spring Security boilerplate/unsafe claim access 방지,재개발 요청,미검증
QA39-053,P1,Security,OIDC/OAuth2 SSO Optional Capability를 기존 Security/BFF 구조에 통합한다.,security resource/session/profile/generator,ADM/BZA/Generated Domain/Reference,"Keycloak/Entra/Okta mapping, login/logout/session/refresh, CPF context, minimal config; SAML2 optional",IdP mock/contract + BFF/browser harness,개발 전,별도 인증 플랫폼 중복/IdP lock-in 방지,미구현,미검증
QA39-054,P1,Security/Crypto,기존 Secret/Crypto/Certificate를 KMS/HSM/PKCS11와 Digital Signature까지 고도화한다.,SEC-SECRET/SEC-CERT implementations,external integration/audit/admin,"key version/rotation/revocation/health/timeout, sign/verify, key raw exposure 0",provider conformance + secret scan + rotation tests,개발 전,중복 crypto/secret 노출 방지,재개발 요청,미검증
QA39-055,P1,Audit/Security,Tamper-evident Audit를 append-only/hash-chain/signature/concurrency/delete detection 수준으로 검증·보완한다.,audit/logging/security,ADM/evidence,수정/삭제/순서변경/다중인스턴스 조작 탐지,mutation/concurrency test,개발 전,audit 자체 false-green 방지,재개발 요청,미검증
QA39-056,P0,Transaction Architecture,LOCAL/XA_JTA/OUTBOX/INBOX_DEDUP/SAGA/TCC 공식 Strategy Selection을 구현한다.,transaction contracts/config/starters/profiles,업무 Domain/Batch/External/Messaging,"safe default, conflict fail-fast, selected-only footprint, mixed strategy lineage",strategy matrix + dependency/boot tests,개발 전,분산거래 방식 난립 방지,미구현,미검증
QA39-057,P0,Transaction Runtime,LOCAL Transaction 개발경험과 rollback/propagation/isolation/timeout/error/log 연계를 표준화한다.,core/data runtime/reference,업무 Domain,XA 없이 단일 DB 기본경로가 단순하고 안전,DB3 local tx tests,개발 전,불필요 XA 강제 방지,미구현,미검증
QA39-058,P0,Transaction Runtime,JTA/XA Optional Capability와 Tomcat standalone TM / managed JTA Adapter 경계를 구현한다.,new JTA/XA runtime + data/jms integration,업무 Domain/Reference,"DB+DB, DB+JMS XAResource enlist/2PC, provider-neutral core, selected-only footprint",compile/contract/runtime harness,개발 전,금융권 강한 원자성 공백 방지,미구현,미검증
QA39-059,P0,Transaction Runtime,Oracle/PostgreSQL/MariaDB XADataSource와 JMS XAConnectionFactory/XAResource 실제 Consumer를 제공한다.,DB3 config; JMS provider; reference,XA Reference,공식 3DB+JMS의 enlist/prepare/commit/rollback 경로가 실제 연결,DB3/JMS XA integration,개발 전,interface-only XA 방지,미구현,미검증
QA39-060,P0,Transaction Recovery,XA prepare/process-kill/in-doubt/heuristic recovery를 구현한다.,JTA recovery log/scan/operations,ADM/Reference,"restart 후 정확한 최종상태, duplicate side effect 0, audit/timeline",process kill harness + recovery scan,개발 전,2PC 정상경로만 구현 방지,미구현,미검증
QA39-061,P0,Messaging Reliability,기존 Outbox가 업무 DB와 같은 Local TX이고 ACK-loss/process-kill/multi-instance에서도 안전한지 직접 검산·보강한다.,messaging/reliability-jdbc + SQL,Broker consumers,durable states/lease/fencing/UNKNOWN/reconcile/cleanup,DB+broker+kill harness,개발 전,Outbox를 로그 수준으로 축소하는 문제 방지,재개발 요청,미검증
QA39-062,P0,Messaging Reliability,Inbox/Dedup 공식 Capability를 구현한다.,messaging reliability + consumer storage,모든 message consumer,duplicate/redelivery/concurrency/partial/process-kill에서 side effect 0,duplicate/kill/multi-instance tests,개발 전,at-least-once 중복 업무처리 방지,미구현,미검증
QA39-063,P0,Saga,기존 Saga를 실제 A→B→C(/D) durable state/compensation/recovery Consumer로 검산·고도화한다.,core saga + owner adapters + reference,업무 Domain,"partial success, reverse compensation, retry, UNKNOWN/MANUAL_REVIEW",integrated reference + fault injection,개발 전,문서/SPI-only Saga 방지,재개발 요청,미검증
QA39-064,P0,TCC,Optional TCC Try/Confirm/Cancel 계약과 실제 Hold/Reservation Reference를 구현한다.,core tcc contract + owner domain + reference,금융/예약 업무 Domain,"idempotency, empty rollback, hanging, duplicate confirm/cancel, recovery",TCC contract/integration/kill tests,개발 전,TCC 공백 방지,미구현,미검증
QA39-065,P0,E2E Reliability,Transaction/Domain/External/Messaging/Batch/Log/Audit/Trace/ADM을 동일 Reference Transaction으로 교차 검증한다.,all related runtime owners,운영자/업무개발자,기능별 PASS여도 lineage/복구/timeline 하나라도 끊기면 FAIL,E2E source+runtime trace,개발 전,분절된 false-green 방지,미구현,미검증
QA39-066,P0,Call/Integration,동일 JVM Domain A→B→C와 Remote REST/SOAP/TCP/File 호출의 transaction boundary/error/timeout/retry/UNKNOWN을 일관되게 보강한다.,CPF-CALL/EXS-* consumers,업무 Domain,"local/remote parity, no gateway reentry, same txid, partial/unknown classification",call graph + fault tests,개발 전,호출 방식별 정책 drift 방지,재개발 요청,미검증
QA39-067,P0,Observability/ADM,Transaction/Integration/Audit/Outbox/Inbox/Saga/TCC/XA를 목적별 저장하되 ADM Timeline에서 연결·조회·복구 가능하게 한다.,logging/audit/admin/openapi/frontend,운영자,failure source/query-failed/partial/unknown/recovery가 한 화면에서 추적,server/openapi/generated client/browser harness,개발 전,로그 분절/운영 불가 방지,재개발 요청,미검증
QA39-068,P0,EDU/Reference,Transaction Strategy별 executable Reference를 EDU에 보완한다.,cpf-reference; EDU guide; generator,개발자/QA,Local/XA/Outbox/Inbox/Saga/TCC/UNKNOWN/Batch와 same txid/timeline 실행 가능,source/test/harness/runtime matrix,개발 전,sample-only/설명-only 방지,미구현,미검증
QA39-069,P0,Generator/Build,신규 Capability를 실제 폴더/Build/Consumer가 준비된 뒤 Catalog/Settings/BOM/Profile/Generator/lock과 원자적으로 동기화한다.,settings/BOM/catalog/generator,Generated Domain,"metadata-only 등록 0, selected-only footprint",catalog/path/schema/build gates,개발 전,catalog가 build를 깨는 문제 방지,미구현,미검증
QA39-070,P0,Repository Hygiene,직전 package relocation의 old/new duplicate 66개를 replacement 검증 후 exact allowlist로 정리한다.,CPF_DELETE_MANIFEST.csv + 3 starter trees,build/runtime,"old path/import/reference 0, protected delete 0",replacement existence + reference scan + build,개발 전,구/신 패키지 이중 유지 방지,재개발 요청,미검증
QA39-071,P0,Repository Hygiene,날짜/REV/SESSION/checkpoint/tmp/debug/obsolete zip/hash/pycache 등 Current-State garbage를 종료 Gate에서 검사한다.,repository docs/work/tools,전체,승인 없는 삭제 없이 stale candidate를 exact manifest로 관리하고 current canonical만 유지,inventory/reference/protected-path scan,개발 전,repository garbage 재누적 방지,재개발 요청,미검증
QA39-072,P0,Development Lead,모든 신규/기존 관련 Requirement를 Source→Consumer→Test/Harness→Config/SQL/OpenAPI/Generator/Frontend까지 직접 검수하고 미흡점은 QA 전 자체 보완한다.,전체 affected scope,QA,developer-remediable FAIL=0일 때만 runtime-only 선언,direct trace + self review,개발 전,QA에 구현 가능한 결함 떠넘기기 방지,재개발 요청,미검증
QA39-073,P0,Runtime Harness,XA/TCC/Outbox/Inbox/Saga/E2E의 process kill/multi-instance/unknown/recovery Harness를 Repository-owned script로 준비한다.,cpf-tools/verification + reference tests,QA/Codex,외부 환경만 없을 때만 미검증; harness missing은 FAIL,script/config/pass criteria inspection,개발 전,미구현을 미검증으로 위장 방지,미구현,미검증
QA39-074,P1,Documentation/OpenAPI,Transaction/Starter 신규 API와 운영 기능의 Guide/JavaDoc/OpenAPI/generated client를 Source와 동기화한다.,docs/java/openapi/frontend,개발자/운영자,public contract/error/permission/idempotency/recovery 문서 일치,doc/source/openapi parity,개발 전,문서 drift 방지,미구현,미검증
QA39-075,P0,Development Lead,약 5분마다 실제 직접 검수 분모 기반 진행률을 표시하되 보고를 작업 종료점으로 사용하지 않는다.,개발 세션 진행/원장,사용자,Source/Consumer/Test/개발완료/FAIL/runtime-only/new finding 수치를 실제 분모로 표시,progress ledger cross-check,개발 전,가짜 100%/중단 방지,미구현,미검증
QA39-076,P0,Packaging,최종 결과를 Current-State 문서·Source·Test·Manifest·Hash·Delete allowlist로 정리하고 successor exact-SHA QA가 재현 가능하게 한다.,current work + package manifests,사용자/QA/Codex,"중복 결과문서 없이 root-relative package, protected delete 0, hash/zip integrity",manifest/hash/zip/protected gate,개발 전,stale package/evidence 방지,미구현,미검증
DEV17-001,P0,Core,Provider-neutral LOCAL/XA_JTA/OUTBOX/INBOX_DEDUP/SAGA/TCC strategy contract,cpf-core/api/transaction,Domain/Reference,전략과 상태/오류 경계가 특정 Provider에 종속되지 않음,javac + source contract,CpfTransactionStrategy; CpfTransactionStrategyPolicy,Provider-neutral core,완료,재확인 필요
DEV17-002,P0,Data,Optional XA/JTA runtime + DB3 XA + recovery harness,cpf-starters/data/transaction-jta/**,XA DB/JMS reference harness,"standalone/managed TM 경계, recovery resource, prepare-kill script 존재",source+script+runtime,transaction-jta; run-xa-crash-recovery.*,LOCAL zero-footprint,완료,미검증
DEV17-003,P0,Messaging,Inbox consumer-identity dedup + lease/fencing/retention,messaging/reliability-jdbc; DB3 SQL 25,broker consumer worker,동시 duplicate/kill/replay에서 business side effect 중복 방지 경계,source+DB3+tests,CpfBrokerInboxPort; JdbcCpfBrokerReliabilityRepository,legacy overload 호환,완료,미검증
DEV17-004,P0,Core,Saga STARTED/FAILED/UNKNOWN/MANUAL_REVIEW lifecycle,cpf-core/common/saga,Saga engine/manual recovery,"UNKNOWN 추측 금지, compensation 실패 manual review",source+reference,CpfSagaEngine; CpfSagaManualRecoveryService,legacy enum retention,완료,재확인 필요
DEV17-005,P0,Reference,Durable TCC reservation/recovery,cpf-reference/transaction/tcc; DB3 SQL 26,Reference TCC REST consumer,"Try/Confirm/Cancel idempotency, empty rollback, hanging, deadline/recovery/manual review durable",source+DB3+harness,ReferenceDurableTccReservationParticipant,business semantics in consumer,완료,미검증
DEV17-006,P0,Security,OAuth2/JWT developer context API,security/resource-server,secured application,user/tenant/principal/role/scope/safe claim/token propagation + fail closed,source+tests,CpfSecurityContext,JWT validators retained,완료,재확인 필요
DEV17-007,P0,Security,OIDC SSO real login/logout/refresh runtime,security/oidc-login,BFF/frontend,"OIDC user mapping, refresh authorized-client manager, logout, chain isolation",source+live IdP,CpfOidcAutoConfiguration,session chain isolation,완료,미검증
DEV17-008,P0,Security,KMS/HSM digital signature + lifecycle + timeout,security/secret; core crypto,audit/signature consumers,"private key non-exposure, health/rotation/revocation/timeout",source+PKCS11 runtime,CpfKeyManagementService; CpfPkcs11KeyProvider,secret separation,완료,미검증
DEV17-009,P0,Security,Tamper-evident append-only audit,security/audit-jdbc; DB3 SQL 26,audit consumer,hash-chain/signature/head CAS detects edit/delete/reorder/tail truncation,source+tests+DB3,CpfTamperAuditService; JdbcCpfTamperAuditStore,DB3-neutral SQL,완료,재확인 필요
DEV17-010,P1,Integration,Provider-neutral AI optional capability,core/api/ai; integration/ai,Reference AI controller,routing/timeout/retry/circuit/fallback/masking/policy/usage/audit/UNKNOWN,source+tests,CpfAiRouter; ReferenceAiEducationController,no LLM/vector DB dependency,완료,재확인 필요
DEV17-011,P0,Persistence,Opt-in common CRUD/Search/Bulk/Lock DX,core/api/persistence,JPA adapter + generated/domain policies,common basic CRUD without constraining advanced domain query,javac+consumer source,CpfCrudRepositoryPort; CpfPersistencePolicy,marker compatibility,완료,재확인 필요
DEV17-012,P0,Persistence,Optional JPA provider,data/persistence-jpa,JPA domain adapter/generator,paging/sort/error/audit/tx/lock/N+1/slow query/bulk/native escape/DB3/JTA,source+tests+runtime,CpfJpaOperations; CpfJpaPageables,unselected zero-footprint,완료,미검증
DEV17-013,P0,Generator,JDBC/MyBatis/JPA provider-neutral generation,cpf-tools/generator/create-domain.ps1; catalog,Generated Domain,same public CRUD/search/idempotency/version/logical delete across providers,static+PowerShell runtime,generator jpa repository/entity templates,DB3 template parity,완료,미검증
DEV17-014,P1,File/Web,Safe Multipart attachment adapter,file/attachment; Reference controller,Reference multipart endpoint,"streaming upload, size/type/name policy, native storage escape",source+tests,CpfMultipartAttachmentAdapter,no memory buffering,완료,재확인 필요
DEV17-015,P0,Integration,Optional SOAP typed client,integration/soap; Reference SOAP,Reference SOAP controller,timeout/txId SOAP header/UNKNOWN/native WebServiceTemplate escape,source+live endpoint,CpfSoapClient,request-controlled endpoint blocked,완료,미검증
DEV17-016,P1,Config,Runtime-visible config mutability/secret policy catalog,core/api/config; foundation/base,typed property beans,refreshable vs restart-required and secret separation discoverable,javac+source,CpfConfigCatalog; CpfConfigurationPolicyCatalog,typed properties retained,완료,재확인 필요
DEV17-017,P0,QA Governance,Fundamental 16×15 independent audit,cpf-docs/work/CPF_FUNDAMENTAL_BASELINE_AUDIT.csv,Developer/QA,240 direct source checks; Core progress not reused,CSV gate,CPF_FUNDAMENTAL_BASELINE_AUDIT.csv,independent denominator,완료,재확인 필요
DEV17-018,P0,QA Governance,Persistence 35-point detail audit,cpf-docs/work/CPF_PERSISTENCE_BASELINE_AUDIT.csv,Developer/QA,CRUD/providers/DB3/generator/consumer all reviewed,CSV gate,CPF_PERSISTENCE_BASELINE_AUDIT.csv,no duplicate paging API,완료,재확인 필요
DEV17-019,P0,QA Governance,Create exact current REQUIREMENT_STATUS ledger,cpf-docs/work/REQUIREMENT_STATUS.csv,Developer/QA,180 exact checks with dev/verification separation,CSV gate,REQUIREMENT_STATUS.csv,QA/Codex fields untouched,완료,재확인 필요
DEV17-020,P0,Repository Hygiene,Currentize stale 66-row delete manifest,cpf-docs/work/CPF_DELETE_MANIFEST.csv,repository maintainer,only currently existing exact old paths remain,successor parent-path review,old relocation parents absent on master,protected paths unchanged,완료,재확인 필요
DEV17-021,P0,Starter DX,Canonical catalog/current value sync for new internal starters,cpf-starter-catalog.json; CPF_STARTER_VALUE_CATALOG.csv,generator/settings/profiles,exact owner/internal role/package/config; public profiles remain 6,JSON/CSV static gate,catalog moduleCount=45,no internal leaf in public profile,완료,재확인 필요
NXT-ARCH-001,P0,Product Architecture,Core Dependency Direction 불변 규칙 — CPF Dependency Direction을 다음과 같이 강제한다. Pure Foundation / Core Contract ↑ Capability / Provider ↑ Starter / AutoConfiguration ↑ Application 다음은 허용하지 않는다. - `cpf-core -> cpf-starters/*` - `cpf-core -> Optional Provider implementation` - `cpf-core -> Vendor Runtime implementation` - `Foundation -> Starter` - `Foundation -> Optional Provider` - 순환 의존 - Runtime 기술을 Core Public API에 불필요하게 노출 - Core → Starter dependency: `0` - Core → Optional Provider implementation: `0` - Foundation → Starter dependen,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-ARCH-002,P0,Product Architecture,`cpf-core` Slimming 전수검수 — `cpf-core`의 `api/common/config/internal/service/spi` 전체 Source를 직접 열어 Class 단위로 판정한다. 허용 판정: - `KEEP_CORE` - `MOVE_FOUNDATION` - `MOVE_CAPABILITY` - `MOVE_PROVIDER` - `MOVE_STARTER` - `ABSORB_EXISTING` - `REMOVE_CANDIDATE` 다음 패턴은 집중 전수검색한다. - `Default*` - `*Adapter` - `*Configuration` - `*Filter` - `*Repository` - `*Provider` - `*Client` - `*Controller` - `*Endpoint` - `*HealthIndicator` - `*Contributor` - topology-independent Public Contract - Provider-independent SPI/Port - Framework 핵심 Value ,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-ARCH-003,P0,Product Architecture,"compileOnly Ownership Gate — `compileOnly`는 Ownership 면죄부가 아니다. Core build의 Spring Web, WebFlux, Servlet, Batch, OTel 등은 Public Contract를 표현하는 데 진짜 필요한지 확인한다. - 불필요하면 Core에서 제거한다. - Runtime 구현 때문에 필요하면 구현을 Owner Starter로 이동한다. - Public API가 특정 Runtime 타입을 노출하는 경우 Contract 자체를 재설계한다. Core compile dependency 각각에 `why_core_required` 근거가 존재한다. 근거 없는 compile dependency `0`. ---",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-UTIL-001,P0,Foundation,Unified CPF Utility 재설계 — Core를 Utility 창고로 사용하지 않는다. 현재 `cpf-core/api/util` 전체를 아래 규칙으로 재분류한다. JDK/Spring보다 의미 있는 가치가 없는 Wrapper는 유지하지 않는다. 예: - 단순 `trim` - 단순 `isEmpty` - 단순 Map getter - 단순 숫자 parse 이 경우 `REMOVE_CANDIDATE` 또는 기존 API 흡수를 선택한다. 아래처럼 CPF 정책 가치가 있는 순수 기능은 Foundation/Unified Utility로 이동한다. - ID - Clock - Date/Time/Timezone - Business Date - Decimal - 금융 Amount Precision - Rounding Policy - Validation - Code/Enum Conversion - Mapping - Common Attribute - deterministic test support - Header → Web/Header Capab,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-UTIL-002,P0,Foundation,Pure Foundation과 Application Convenience 분리 — 업무 개발자는 통합 Utility/기본 기능을 쉽게 쓸 수 있어야 한다. 그러나 Core가 Starter를 참조하면 안 된다. 필요 시 다음 역할을 물리적으로 구분한다. Pure Foundation ↑ Core / Capability ↑ Application Convenience Starter ↑ Application 기존 `cpf-starters/foundation/base`가 순수 Foundation인지 Spring Boot Convenience Starter인지 실제 역할을 확정한다. 한 Module이 두 역할을 섞고 있으면 분리한다. - 순수 Java - topology-independent - Spring Runtime 비종속 - Vendor 비종속 - Starter 비종속 - Optional Provider 비종속 Core가 Foundation을 사용할 필요가 있다면 순수 Foundation만 사용한다. Starter 역참조 `0`. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-TXID-001,P0,Core Transaction + Foundation,Transaction ID Contract와 구현 분리 — `CpfTransactionIdGenerator`와 Transaction Context 의미론은 Core Contract로 유지할 수 있다. 다음은 Core 밖으로 이동한다. - UUID/ULID 등 실제 기본 생성 알고리즘 - Default Generator 구현 - Spring Bean/AutoConfiguration - HTTP Servlet Filter - Messaging/Channel Adapter - transport-specific extraction/propagation 구현 Core Consumer는 구현 Class가 아니라 Contract에 의존한다. Core Contract ↑ Foundation/Provider Implementation ↑ Starter Wiring 구조가 실제 Source/Gradle에 반영되어야 한다. 동일 transactionId가 다음 전체에서 유지되어야 한다. - REST - SOAP - Local/Remote Domain Call ,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-OWN-001,P0,Architecture Owner,Observability 구현 이동 — Core에 존재하는 OpenTelemetry Adapter/Aspect/Configuration 등 특정 Runtime 구현을 Observability/OTel Starter로 이동한다. Core에는 Telemetry/Trace Context의 Provider-neutral Contract만 남긴다. Core의 OTel runtime implementation `0`. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-OWN-002,P0,Architecture Owner,"Feature Flag Provider 이동 — Property/OpenFeature Provider, Spring Configuration 등은 Feature Flag Capability가 소유한다. Core에는 Provider-neutral evaluation contract만 남긴다. Core의 Feature Flag Provider implementation `0`. ---",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-OWN-003,P0,Architecture Owner,"Web/Security Filter 이동 — Servlet Filter, Spring Security Filter, HTTP-specific transaction/context filter는 Web/Security Starter가 소유한다. Core에는 Identity/Context/Header/Trust 의미론만 남긴다. Core의 Servlet runtime filter `0`. ---",See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-OWN-004,P0,Architecture Owner,Persistent Repository/Scanner 이동 — Core 내부의 DB-backed repository/scanner/store가 존재하면 해당 JDBC/Persistence/Operations Provider로 이동한다. Contract와 Value Object만 Core에 유지한다. ---,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
NXT-HEALTH-001,P0,Platform Operations,Runtime Health Starter — 전용 Platform Operations Health Capability를 정식 제공한다. 단순 Actuator Wrapper로 완료 처리하지 않는다. 최소: - liveness - readiness - startup - `UP` - `DEGRADED` - `DOWN` - `OUT_OF_SERVICE` - `UNKNOWN` - dependency health - version/build SHA - start time/uptime - active profile/capability - draining - maintenance Core: - 필요 최소 Health Contract/Status/Port Health Starter: - Spring Actuator - HealthIndicator - HealthContributor - Probe Endpoint - dependency check - Runtime status implementation - AutoConfiguration Act,See cpf-docs/work/CPF_CURRENT_WORK_REQUEST.md; source/consumer/test/config/sql/generator/frontend/docs as applicable,CPF adopter application / framework runtime / ADM-BZA / Developer-QA as applicable,Requirement-specific acceptance in CPF_CURRENT_WORK_REQUEST.md; developer-remediable gap=0; actual consumer and failure/recovery evidence required.,Direct source review + consumer/call-path trace + targeted gate + build/test/runtime where available + QA A/B full-scope cross validation,NOT_EXECUTED — current request currentization only; no PASS inherited.,Keep canonical/current docs and automated ownership/hygiene/consumer gates; no session-specific duplicate evidence.,미완료,미검증
