requirement_id,qa_status,finding_id,basis_sha,qa_note
TEST-UNIT,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
TEST-CONTRACT,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
TEST-RUNTIME,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Release acceptance needs exact-SHA executable/runtime evidence; not available/executed in this QA environment.
TEST-BROWSER,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Release acceptance needs exact-SHA executable/runtime evidence; not available/executed in this QA environment.
TEST-BROKER,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Release acceptance needs exact-SHA executable/runtime evidence; not available/executed in this QA environment.
TEST-FAULT,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Release acceptance needs exact-SHA executable/runtime evidence; not available/executed in this QA environment.
TEST-EVIDENCE,FAIL,QA-B-1000-NEW-001,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current exact-SHA Evidence provenance false-green
REL-BUILD,FAIL,QA-B-1000-NEW-001,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current exact-SHA Evidence provenance false-green
REL-DEPLOY,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Release acceptance needs exact-SHA executable/runtime evidence; not available/executed in this QA environment.
REL-MIG,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Release acceptance needs exact-SHA executable/runtime evidence; not available/executed in this QA environment.
REL-COMPAT,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Release acceptance needs exact-SHA executable/runtime evidence; not available/executed in this QA environment.
DOC-GOV,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
DOC-PRODUCT,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
PROD-EDITION,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
PROD-MULTITENANT,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
PROD-PLUGIN,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
PROD-PACKAGE,FAIL,QA-B-1000-NEW-005,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Persistence MyBatis starter reuses com.cpf.core package namespace and drifts from canonical packageBase
REQ-GOV,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
REQ-REVIEW,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
REQ-CODEX,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
REQ-GAP,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"Canonical row adjudicated; full independent Source→Consumer→Test closure was not completed for this exact row, so no Developer PASS was inherited."
