requirement_id,layer,priority,area,development_status,verification_status,next_acceptance
QA36-GAP-013,ACTIVE_GAP,P0,Distributed Fault,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-014,ACTIVE_GAP,P0,Security Privacy,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-015,ACTIVE_GAP,P0,Documentation Truth,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-016,ACTIVE_GAP,P0,JavaDoc Comments,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-017,ACTIVE_GAP,P0,CI Required Status,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-018,ACTIVE_GAP,P0,Environment Manifest,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-019,ACTIVE_GAP,P0,Supply Chain,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-020,ACTIVE_GAP,P0,Hygiene,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-021,ACTIVE_GAP,P0,ADM Superset,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-022,ACTIVE_GAP,P0,EDU Complete,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-023,ACTIVE_GAP,P0,Generator Lifecycle,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-024,ACTIVE_GAP,P1,BZA Boundary,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-025,ACTIVE_GAP,P1,Gateway Boundary,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-026,ACTIVE_GAP,P0,3DB Runtime,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-027,ACTIVE_GAP,P0,Batch Types,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-028,ACTIVE_GAP,P0,Notification Incident,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-029,ACTIVE_GAP,P0,Evidence Semantics,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
QA36-GAP-030,ACTIVE_GAP,P0,Final GA Gate,미구현,미검증,Source·Consumer·정상·오류·부분실패·보안·운영·Test·Evidence가 latest exact SHA에서 닫힘
