execution_order,requirement_id,work_package_id,requirement_group,feature,function_type,qa_status,owner_module,owner_package,actual_consumer,qa_reason,required_action,evidence,baseline_sha
09-00019404,CPF-FR-019404,P09-ADM-UI-FRAMEWORK,ADM_UI,DR Drill,EVIDENCE,미검증,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,DR Drill 전용 Consumer가 없어 해당 runtime/환경 차이를 검증할 수 없다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue|cpf-admin/frontend/src/features/topology/TopologyPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019405,CPF-FR-019405,P09-ADM-UI-FRAMEWORK,ADM_UI,DR Drill,FORM_SCHEMA,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,DR Drill 전용 Route/Menu/Component/API workflow가 현재 ADM 화면에 연결되지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue|cpf-admin/frontend/src/features/topology/TopologyPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019406,CPF-FR-019406,P09-ADM-UI-FRAMEWORK,ADM_UI,DR Drill,DEFAULT_NULL,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,DR Drill 전용 Route/Menu/Component/API workflow가 현재 ADM 화면에 연결되지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue|cpf-admin/frontend/src/features/topology/TopologyPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019407,CPF-FR-019407,P09-ADM-UI-FRAMEWORK,ADM_UI,DR Drill,VALIDATION,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,DR Drill 전용 Route/Menu/Component/API workflow가 현재 ADM 화면에 연결되지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue|cpf-admin/frontend/src/features/topology/TopologyPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019408,CPF-FR-019408,P09-ADM-UI-FRAMEWORK,ADM_UI,DR Drill,PREVIEW,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,DR Drill 전용 Route/Menu/Component/API workflow가 현재 ADM 화면에 연결되지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue|cpf-admin/frontend/src/features/topology/TopologyPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019409,CPF-FR-019409,P09-ADM-UI-FRAMEWORK,ADM_UI,DR Drill,CAS,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,DR Drill 전용 Route/Menu/Component/API workflow가 현재 ADM 화면에 연결되지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue|cpf-admin/frontend/src/features/topology/TopologyPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019410,CPF-FR-019410,P09-ADM-UI-FRAMEWORK,ADM_UI,DR Drill,SUBMIT_RESULT,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,DR Drill 전용 Route/Menu/Component/API workflow가 현재 ADM 화면에 연결되지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue|cpf-admin/frontend/src/features/topology/TopologyPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019412,CPF-FR-019412,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,QUERY_INPUT,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,Dashboard filter·기간·조직/Data Scope selector가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019413,CPF-FR-019413,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,SERVER_PAGING,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,limit 고정 또는 전체 조회이며 page/cursor·total·stable sort가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019415,CPF-FR-019415,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,DETAIL,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,edit/drawer 일부는 있으나 History·Audit·Timeline·관련 업무 Link를 끝까지 연결하지 못한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019416,CPF-FR-019416,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,STATE_UX,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,단일 error만 표시하며 partial source failure와 freshness를 분리하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019418,CPF-FR-019418,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,MASKING,미검증,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,PII RAW 분리는 Source에서 확인했으나 negative corpus·browser zeroization runtime은 미실행이다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019419,CPF-FR-019419,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,AUDIT_HISTORY,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,변경 reason은 있으나 actor·before/after·result·version audit drill-down이 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019420,CPF-FR-019420,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,DEEP_LINK,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,선택 row·filter·page를 URL query에 보존하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019421,CPF-FR-019421,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,ACCESSIBILITY,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,table/action의 keyboard/focus/screen-reader 검증과 일부 click row 처리 보장이 부족하다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019422,CPF-FR-019422,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,PERFORMANCE,미검증,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,server paging 또는 bounded limit은 있으나 browser large dataset/bundle budget evidence가 없다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019423,CPF-FR-019423,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,API_PARITY,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,Route expected operation은 있으나 다수 화면이 raw bzaApi URL 또는 generic CrudTable endpoint를 사용한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019424,CPF-FR-019424,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,DB_PARITY,미검증,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,Oracle/PostgreSQL/MariaDB install·upgrade·rollback runtime parity를 실행하지 못했다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019425,CPF-FR-019425,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,EVIDENCE,미검증,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,exact SHA Browser/BFF/DB runtime evidence가 없다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019427,CPF-FR-019427,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,KPI_DRILLDOWN,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,KPI에서 필터가 적용된 상세 목록으로 drill-down하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019429,CPF-FR-019429,P09-BZA-UI-HOME,BZA_UI,업무 Dashboard,ALERT,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,threshold·alert policy·incident/task 생성 link가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019430,CPF-FR-019430,P09-BZA-UI-HOME,BZA_UI,나의 할 일,PURPOSE_ROUTE,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,나의 할 일 전용 task source가 없고 approval pending만 대체 표시한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019431,CPF-FR-019431,P09-BZA-UI-HOME,BZA_UI,나의 할 일,QUERY_INPUT,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,기본 검색/입력 일부는 있으나 업무 Select·기간·다중 조건 filter allowlist가 부족하다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019432,CPF-FR-019432,P09-BZA-UI-HOME,BZA_UI,나의 할 일,SERVER_PAGING,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,limit 고정 또는 전체 조회이며 page/cursor·total·stable sort가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019434,CPF-FR-019434,P09-BZA-UI-HOME,BZA_UI,나의 할 일,DETAIL,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,edit/drawer 일부는 있으나 History·Audit·Timeline·관련 업무 Link를 끝까지 연결하지 못한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019435,CPF-FR-019435,P09-BZA-UI-HOME,BZA_UI,나의 할 일,STATE_UX,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,Loading·Error·Empty는 있으나 Partial·STALE·UNKNOWN·Last Updated를 일관되게 분리하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019437,CPF-FR-019437,P09-BZA-UI-HOME,BZA_UI,나의 할 일,MASKING,미검증,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,PII RAW 분리는 Source에서 확인했으나 negative corpus·browser zeroization runtime은 미실행이다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019438,CPF-FR-019438,P09-BZA-UI-HOME,BZA_UI,나의 할 일,AUDIT_HISTORY,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,변경 reason은 있으나 actor·before/after·result·version audit drill-down이 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019439,CPF-FR-019439,P09-BZA-UI-HOME,BZA_UI,나의 할 일,DEEP_LINK,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,선택 row·filter·page를 URL query에 보존하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019440,CPF-FR-019440,P09-BZA-UI-HOME,BZA_UI,나의 할 일,ACCESSIBILITY,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,table/action의 keyboard/focus/screen-reader 검증과 일부 click row 처리 보장이 부족하다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019441,CPF-FR-019441,P09-BZA-UI-HOME,BZA_UI,나의 할 일,PERFORMANCE,미검증,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,server paging 또는 bounded limit은 있으나 browser large dataset/bundle budget evidence가 없다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019442,CPF-FR-019442,P09-BZA-UI-HOME,BZA_UI,나의 할 일,API_PARITY,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,Route expected operation은 있으나 다수 화면이 raw bzaApi URL 또는 generic CrudTable endpoint를 사용한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019443,CPF-FR-019443,P09-BZA-UI-HOME,BZA_UI,나의 할 일,DB_PARITY,미검증,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,Oracle/PostgreSQL/MariaDB install·upgrade·rollback runtime parity를 실행하지 못했다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019444,CPF-FR-019444,P09-BZA-UI-HOME,BZA_UI,나의 할 일,EVIDENCE,미검증,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,exact SHA Browser/BFF/DB runtime evidence가 없다.,Java25/DB/Browser 직접 또는 동등 대체검증,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019445,CPF-FR-019445,P09-BZA-UI-HOME,BZA_UI,나의 할 일,BULK_SELECTION,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,paging 간 selection·bulk action·partial result가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019446,CPF-FR-019446,P09-BZA-UI-HOME,BZA_UI,나의 할 일,SAVED_SEARCH,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,해당 목록의 조건/Column/Sort 저장·공유·version이 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
09-00019447,CPF-FR-019447,P09-BZA-UI-HOME,BZA_UI,나의 할 일,EXPORT,미통과,cpf-biz-admin,com.cpf.bizadmin,업무 관리자·결재자,기능별 async export·reason·audit status workflow가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-biz-admin/frontend/src/app/routes.ts|cpf-biz-admin/frontend/src/features/dashboard/DashboardPage.vue|cpf-biz-admin/frontend/src/features/approval-inbox/ApprovalInboxPage.vue|cpf-biz-admin/frontend/src/features/approval-submissions/ApprovalSubmissionsPage.vue|cpf-biz-admin/frontend/src/features/notifications/NotificationsPage.vue|cpf-biz-admin/frontend/src/features/saved-searches/SavedSearchesPage.vue,f97655c1299936a1101bc3ec10239265ec3b502e
