execution_order,requirement_id,phase_id,phase_name,work_package_id,priority,owner_module,requirement_group,capability,feature,function_type,predecessor_phase_ids,prerequisite_requirement_ids,blocking_phase_gate_id,parallel_execution_rule,change_freeze_rule,development_status,verification_status
01-00010346,CPF-FR-010346,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-CANONICAL-COUNT,P0,requirement governance,GOV,LATEST-CANONICAL-COUNT,Trace,TRACE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010349,CPF-FR-010349,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-CANONICAL-COUNT,P0,requirement governance,GOV,LATEST-CANONICAL-COUNT,Resource 상한,RESOURCE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010370,CPF-FR-010370,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-CANONICAL-COUNT,P0,requirement governance,GOV,LATEST-CANONICAL-COUNT,Hygiene,HYGIENE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010381,CPF-FR-010381,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-STATUS-RESET,P0,requirement governance,GOV,LATEST-STATUS-RESET,상태 Catalog,STATE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010407,CPF-FR-010407,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-STATUS-RESET,P0,requirement governance,GOV,LATEST-STATUS-RESET,Trace,TRACE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010410,CPF-FR-010410,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-STATUS-RESET,P0,requirement governance,GOV,LATEST-STATUS-RESET,Resource 상한,RESOURCE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010431,CPF-FR-010431,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-STATUS-RESET,P0,requirement governance,GOV,LATEST-STATUS-RESET,Hygiene,HYGIENE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010442,CPF-FR-010442,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-ROLE-INDEPENDENCE,P0,requirement governance,GOV,LATEST-ROLE-INDEPENDENCE,상태 Catalog,STATE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010468,CPF-FR-010468,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-ROLE-INDEPENDENCE,P0,requirement governance,GOV,LATEST-ROLE-INDEPENDENCE,Trace,TRACE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010471,CPF-FR-010471,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-ROLE-INDEPENDENCE,P0,requirement governance,GOV,LATEST-ROLE-INDEPENDENCE,Resource 상한,RESOURCE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010492,CPF-FR-010492,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-ROLE-INDEPENDENCE,P0,requirement governance,GOV,LATEST-ROLE-INDEPENDENCE,Hygiene,HYGIENE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010503,CPF-FR-010503,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-GIT-SAFETY,P0,requirement governance,GOV,LATEST-GIT-SAFETY,상태 Catalog,STATE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010529,CPF-FR-010529,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-GIT-SAFETY,P0,requirement governance,GOV,LATEST-GIT-SAFETY,Trace,TRACE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010532,CPF-FR-010532,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-GIT-SAFETY,P0,requirement governance,GOV,LATEST-GIT-SAFETY,Resource 상한,RESOURCE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010553,CPF-FR-010553,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-GIT-SAFETY,P0,requirement governance,GOV,LATEST-GIT-SAFETY,Hygiene,HYGIENE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010564,CPF-FR-010564,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-PROTECTED-PATH,P0,requirement governance,GOV,LATEST-PROTECTED-PATH,상태 Catalog,STATE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010590,CPF-FR-010590,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-PROTECTED-PATH,P0,requirement governance,GOV,LATEST-PROTECTED-PATH,Trace,TRACE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010593,CPF-FR-010593,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-PROTECTED-PATH,P0,requirement governance,GOV,LATEST-PROTECTED-PATH,Resource 상한,RESOURCE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010614,CPF-FR-010614,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-PROTECTED-PATH,P0,requirement governance,GOV,LATEST-PROTECTED-PATH,Hygiene,HYGIENE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010625,CPF-FR-010625,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-ROOT-OVERLAY,P0,requirement governance,GOV,LATEST-ROOT-OVERLAY,상태 Catalog,STATE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010651,CPF-FR-010651,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-ROOT-OVERLAY,P0,requirement governance,GOV,LATEST-ROOT-OVERLAY,Trace,TRACE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010654,CPF-FR-010654,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-ROOT-OVERLAY,P0,requirement governance,GOV,LATEST-ROOT-OVERLAY,Resource 상한,RESOURCE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010675,CPF-FR-010675,P01,Repository 전체 Inventory·양방향 추적,P01-GOV-LATEST-ROOT-OVERLAY,P0,requirement governance,GOV,LATEST-ROOT-OVERLAY,Hygiene,HYGIENE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010920,CPF-FR-010920,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,기능 목적·업무 결과,PURPOSE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010921,CPF-FR-010921,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,Owner·경계,OWNER,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010922,CPF-FR-010922,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,실제 Consumer,CONSUMER,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010923,CPF-FR-010923,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,Public API,PUBLIC_API,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010924,CPF-FR-010924,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,고객 확장 SPI,EXTENSION_SPI,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010925,CPF-FR-010925,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,Internal 구현,INTERNAL_IMPL,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010926,CPF-FR-010926,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,입력 계약,INPUT,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010927,CPF-FR-010927,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,출력 계약,OUTPUT,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010928,CPF-FR-010928,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,설정 계약,CONFIG,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010929,CPF-FR-010929,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,검증,VALIDATION,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010930,CPF-FR-010930,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,상태 Catalog,STATE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010931,CPF-FR-010931,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,상태 전이,TRANSITION,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010932,CPF-FR-010932,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,명령 실행,COMMAND,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010933,CPF-FR-010933,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,조회·검색,QUERY,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010934,CPF-FR-010934,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,멱등성,IDEMPOTENCY,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010935,CPF-FR-010935,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,동시성,CONCURRENCY,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010936,CPF-FR-010936,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,Timeout Budget,DEADLINE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010937,CPF-FR-010937,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,재시도,RETRY,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010938,CPF-FR-010938,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,Circuit·Bulkhead,CIRCUIT,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010939,CPF-FR-010939,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,결과 불명,UNKNOWN,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010940,CPF-FR-010940,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,대사,RECONCILE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010941,CPF-FR-010941,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,복구,RECOVERY,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010942,CPF-FR-010942,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,보상,COMPENSATION,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010943,CPF-FR-010943,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,Rollback·Forward Recovery,ROLLBACK,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010944,CPF-FR-010944,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,다중 인스턴스,MULTI_INSTANCE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010945,CPF-FR-010945,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,Local/Remote 동등성,LOCAL_REMOTE,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010946,CPF-FR-010946,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,혼합 버전 호환,MIXED_VERSION,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010947,CPF-FR-010947,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,인증,AUTHN,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
01-00010948,CPF-FR-010948,P01,Repository 전체 Inventory·양방향 추적,P01-QUALITY-LATEST-COMPLETION-GATE,P0,cpf-tools quality gates,QUALITY,LATEST-COMPLETION-GATE,권한,AUTHZ,P00,CPF-GATE-00,CPF-GATE-01,동일 Phase 내 Owner Module이 다르고 Public Contract/DB Schema/Shared Config를 변경하지 않는 Work Package만 병렬 가능,후속 Phase 시작 후 선행 Public API·State·DB·Permission 계약 변경 시 영향도 분석과 모든 Downstream Requirement 재개방,재확인 필요,미검증
