feature_key,category,work_package_ids,first_requirement_id,last_requirement_id,requirement_count,qa_fail_count,environment_unverified_count,source_summary,reviewed_paths,runtime_gap,missing_dimensions,evidence_path
EVENT-CORE,MESSAGING,P05-MESSAGING-EVENT-CORE|P10-MESSAGING-EVENT-CORE,CPF-FR-003905,CPF-FR-003965,61,0,61,"Broker public contract, Outbox/Inbox/Idempotency/DLQ/UNKNOWN, Kafka/JMS/IBM MQ/RabbitMQ client·AutoConfiguration, 운영 UI가 존재한다","cpf-core/src/main/java/com/cpf/core/api/broker;cpf-core/src/main/java/com/cpf/core/common/broker;cpf-starters/messaging/{kafka,jms,ibm-mq,rabbitmq,reliability-jdbc};cpf-admin/frontend/src/features/reliability;cpf-reference/src/main/java/com/cpf/reference/messaging","실제 Kafka/JMS/IBM MQ/RabbitMQ, ACK/NACK, rebalance, broker kill, duplicate/order/DLQ replay 실행은 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/messaging_review.md#event-core
EVENT-OUTBOX,MESSAGING,P05-MESSAGING-EVENT-OUTBOX|P10-MESSAGING-EVENT-OUTBOX,CPF-FR-003966,CPF-FR-004026,61,0,61,"Broker public contract, Outbox/Inbox/Idempotency/DLQ/UNKNOWN, Kafka/JMS/IBM MQ/RabbitMQ client·AutoConfiguration, 운영 UI가 존재한다","cpf-core/src/main/java/com/cpf/core/api/broker;cpf-core/src/main/java/com/cpf/core/common/broker;cpf-starters/messaging/{kafka,jms,ibm-mq,rabbitmq,reliability-jdbc};cpf-admin/frontend/src/features/reliability;cpf-reference/src/main/java/com/cpf/reference/messaging","실제 Kafka/JMS/IBM MQ/RabbitMQ, ACK/NACK, rebalance, broker kill, duplicate/order/DLQ replay 실행은 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/messaging_review.md#event-outbox
EVENT-BROKER,MESSAGING,P05-MESSAGING-EVENT-BROKER|P10-MESSAGING-EVENT-BROKER,CPF-FR-004027,CPF-FR-004087,61,13,48,Broker contracts/providers exist; EDU now invokes CpfBrokerClient through an HTTP controller path. Cross-review and target runtime remain pending.,"cpf-core/src/main/java/com/cpf/core/api/broker;cpf-core/src/main/java/com/cpf/core/common/broker;cpf-starters/messaging/{kafka,jms,ibm-mq,rabbitmq,reliability-jdbc};cpf-admin/frontend/src/features/reliability;cpf-reference/src/main/java/com/cpf/reference/messaging","실제 Kafka/JMS/IBM MQ/RabbitMQ, ACK/NACK, rebalance, broker kill, duplicate/order/DLQ replay 실행은 최신 SHA에서 수행되지 않았다",QA direct patch cross-review;Java25 Gradle/Spring context;real Broker/Outbox runtime,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EVENT_BROKER_SOURCE_REVIEW.md
EVENT-MQ,MESSAGING,P05-MESSAGING-EVENT-MQ|P10-MESSAGING-EVENT-MQ,CPF-FR-004088,CPF-FR-004148,61,13,48,"Broker public contract, Outbox/Inbox/Idempotency/DLQ/UNKNOWN, Kafka/JMS/IBM MQ/RabbitMQ client·AutoConfiguration, 운영 UI가 존재한다","cpf-core/src/main/java/com/cpf/core/api/broker;cpf-core/src/main/java/com/cpf/core/common/broker;cpf-starters/messaging/{kafka,jms,ibm-mq,rabbitmq,reliability-jdbc};cpf-admin/frontend/src/features/reliability;cpf-reference/src/main/java/com/cpf/reference/messaging","실제 Kafka/JMS/IBM MQ/RabbitMQ, ACK/NACK, rebalance, broker kill, duplicate/order/DLQ replay 실행은 최신 SHA에서 수행되지 않았다",QA direct patch cross-review;Java25 AutoConfiguration;real Provider runtime;priority/expiry/selector public contract where applicable,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
EVENT-JMS,MESSAGING,P05-MESSAGING-EVENT-JMS|P10-MESSAGING-EVENT-JMS,CPF-FR-004149,CPF-FR-004209,61,13,48,"Broker public contract, Outbox/Inbox/Idempotency/DLQ/UNKNOWN, Kafka/JMS/IBM MQ/RabbitMQ client·AutoConfiguration, 운영 UI가 존재한다","cpf-core/src/main/java/com/cpf/core/api/broker;cpf-core/src/main/java/com/cpf/core/common/broker;cpf-starters/messaging/{kafka,jms,ibm-mq,rabbitmq,reliability-jdbc};cpf-admin/frontend/src/features/reliability;cpf-reference/src/main/java/com/cpf/reference/messaging","실제 Kafka/JMS/IBM MQ/RabbitMQ, ACK/NACK, rebalance, broker kill, duplicate/order/DLQ replay 실행은 최신 SHA에서 수행되지 않았다",QA direct patch cross-review;Java25 AutoConfiguration;real Provider runtime;priority/expiry/selector public contract where applicable,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
EVENT-IBM-MQ,MESSAGING,P05-MESSAGING-EVENT-IBM-MQ|P10-MESSAGING-EVENT-IBM-MQ,CPF-FR-004210,CPF-FR-004270,61,13,48,"Broker public contract, Outbox/Inbox/Idempotency/DLQ/UNKNOWN, Kafka/JMS/IBM MQ/RabbitMQ client·AutoConfiguration, 운영 UI가 존재한다","cpf-core/src/main/java/com/cpf/core/api/broker;cpf-core/src/main/java/com/cpf/core/common/broker;cpf-starters/messaging/{kafka,jms,ibm-mq,rabbitmq,reliability-jdbc};cpf-admin/frontend/src/features/reliability;cpf-reference/src/main/java/com/cpf/reference/messaging","실제 Kafka/JMS/IBM MQ/RabbitMQ, ACK/NACK, rebalance, broker kill, duplicate/order/DLQ replay 실행은 최신 SHA에서 수행되지 않았다",QA direct patch cross-review;Java25 AutoConfiguration;real Provider runtime;priority/expiry/selector public contract where applicable,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
EVENT-AMQP,MESSAGING,P05-MESSAGING-EVENT-AMQP|P10-MESSAGING-EVENT-AMQP,CPF-FR-004271,CPF-FR-004331,61,13,48,"Broker public contract, Outbox/Inbox/Idempotency/DLQ/UNKNOWN, Kafka/JMS/IBM MQ/RabbitMQ client·AutoConfiguration, 운영 UI가 존재한다","cpf-core/src/main/java/com/cpf/core/api/broker;cpf-core/src/main/java/com/cpf/core/common/broker;cpf-starters/messaging/{kafka,jms,ibm-mq,rabbitmq,reliability-jdbc};cpf-admin/frontend/src/features/reliability;cpf-reference/src/main/java/com/cpf/reference/messaging","실제 Kafka/JMS/IBM MQ/RabbitMQ, ACK/NACK, rebalance, broker kill, duplicate/order/DLQ replay 실행은 최신 SHA에서 수행되지 않았다",QA direct patch cross-review;Java25 AutoConfiguration;real Provider runtime;priority/expiry/selector public contract where applicable,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/PROVIDER_METADATA_SOURCE_REVIEW.md
EXS-TCP,EXTERNAL,P05-INTEGRATION-EXS-TCP|P10-INTEGRATION-EXS-TCP,CPF-FR-004332,CPF-FR-004392,61,61,0,TCP primitives exist; QA patched bounded client and atomic UNKNOWN store; public contract/consumer/durable recovery absent,cpf-core api; cpf-starters/integration/tcp main/test; cpf-reference; OpenAPI/ADM,Java25/real institution endpoint/half-open/process-kill/multi-instance not executed,Public API|SPI|actual consumer|heartbeat|durable state|reconcile|operations|security|runtime,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EXS_TCP_SOURCE_REVIEW.md
EVENT-DLQ,MESSAGING,P05-MESSAGING-EVENT-DLQ|P10-MESSAGING-EVENT-DLQ,CPF-FR-004393,CPF-FR-004453,61,43,18,Controller/UI/JDBC replay exists; QA transaction/precheck/OpenAPI patch applied; approval/masking/CAS remain,"cpf-core/src/main/java/com/cpf/core/api/broker;cpf-core/src/main/java/com/cpf/core/common/broker;cpf-starters/messaging/{kafka,jms,ibm-mq,rabbitmq,reliability-jdbc};cpf-admin/frontend/src/features/reliability;cpf-reference/src/main/java/com/cpf/reference/messaging","Java25, 3 Vendor and actual Broker fault/replay unverified",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/EVENT_DLQ_SOURCE_REVIEW.md
SAGA-CORE,SAGA,P03-CORE-SAGA-CORE|P10-CORE-SAGA-CORE,CPF-FR-004454,CPF-FR-004514,61,61,0,확인된 CpfWorkflow는 전파 Header facade이며 Saga state/step/compensation/manual recovery orchestration 구현이 아니다,cpf-core/src/main/java/com/cpf/core/api/workflow/CpfWorkflow.java;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-core/src/test/java/com/cpf/core/api,Saga 전용 구현·Consumer·OpenAPI·Frontend·Test가 없어 Runtime 이전에 제품 계약 재개발이 필요하다,3 Vendor|ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Ownership|DB Rollback|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Generator 영향|Health·Readiness|Hygiene|Integration Test|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Log|Masking·Privacy|Metric|Migration|Owner·경계|Public API|Resource 상한|Rollback·Forward Recovery|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|검증|결과 불명|고객 확장 SPI|권한|기능 목적·업무 결과|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|설정 계약|승인|실제 Consumer|인증|입력 계약|재시도|조회·검색|출력 계약|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/saga_review.md#saga-core
SAGA-COMP,SAGA,P03-CORE-SAGA-COMP|P10-CORE-SAGA-COMP,CPF-FR-004515,CPF-FR-004575,61,61,0,확인된 CpfWorkflow는 전파 Header facade이며 Saga state/step/compensation/manual recovery orchestration 구현이 아니다,cpf-core/src/main/java/com/cpf/core/api/workflow/CpfWorkflow.java;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-core/src/test/java/com/cpf/core/api,Saga 전용 구현·Consumer·OpenAPI·Frontend·Test가 없어 Runtime 이전에 제품 계약 재개발이 필요하다,3 Vendor|ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Ownership|DB Rollback|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Generator 영향|Health·Readiness|Hygiene|Integration Test|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Log|Masking·Privacy|Metric|Migration|Owner·경계|Public API|Resource 상한|Rollback·Forward Recovery|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|검증|결과 불명|고객 확장 SPI|권한|기능 목적·업무 결과|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|설정 계약|승인|실제 Consumer|인증|입력 계약|재시도|조회·검색|출력 계약|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/saga_review.md#saga-comp
SAGA-MANUAL,SAGA,P03-CORE-SAGA-MANUAL|P10-CORE-SAGA-MANUAL,CPF-FR-004576,CPF-FR-004636,61,61,0,확인된 CpfWorkflow는 전파 Header facade이며 Saga state/step/compensation/manual recovery orchestration 구현이 아니다,cpf-core/src/main/java/com/cpf/core/api/workflow/CpfWorkflow.java;cpf-admin/frontend/openapi/cpf-openapi.json;cpf-core/src/test/java/com/cpf/core/api,Saga 전용 구현·Consumer·OpenAPI·Frontend·Test가 없어 Runtime 이전에 제품 계약 재개발이 필요하다,3 Vendor|ADM 운영 기능|API·OpenAPI|Alert·Runbook|BZA 업무 관리|Circuit·Bulkhead|Contract Test|DB Ownership|DB Rollback|DB Schema|Data Scope|Evidence|Fault Test|Frontend 연결|Generator 영향|Health·Readiness|Hygiene|Integration Test|Internal 구현|JavaDoc·주석|Local/Remote 동등성|Log|Masking·Privacy|Metric|Migration|Owner·경계|Public API|Resource 상한|Rollback·Forward Recovery|Runtime Query|Runtime Test|Sample·EDU|Timeout Budget|Trace|Unit Test|감사|개발·운영 Guide|검증|결과 불명|고객 확장 SPI|권한|기능 목적·업무 결과|다중 인스턴스|대사|동시성|멱등성|명령 실행|보상|복구|사유|상태 Catalog|상태 전이|설정 계약|승인|실제 Consumer|인증|입력 계약|재시도|조회·검색|출력 계약|혼합 버전 호환,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/saga_review.md#saga-manual
BAT-CORE,BATCH,P07-BATCH-BAT-CORE|P10-BATCH-BAT-CORE,CPF-FR-004637,CPF-FR-004697,61,0,61,"Batch contract/control-server/runtime/agent/scheduler/worker/testkit, 63개 관련 OpenAPI 경로와 다수 ADM 운영 화면이 존재한다","cpf-batch/{contract,control-server,execution-runtime,host-agent,runtime-common,scheduler,testkit,worker};cpf-admin/frontend/src/features/batch-*;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 다중 Process, 실제 DB/Broker, lease/fencing, kill/restart, sync/async call과 Browser E2E는 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/batch_review.md#bat-core
BAT-JOB,BATCH,P07-BATCH-BAT-JOB|P10-BATCH-BAT-JOB,CPF-FR-004698,CPF-FR-004758,61,0,61,"Batch contract/control-server/runtime/agent/scheduler/worker/testkit, 63개 관련 OpenAPI 경로와 다수 ADM 운영 화면이 존재한다","cpf-batch/{contract,control-server,execution-runtime,host-agent,runtime-common,scheduler,testkit,worker};cpf-admin/frontend/src/features/batch-*;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 다중 Process, 실제 DB/Broker, lease/fencing, kill/restart, sync/async call과 Browser E2E는 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/batch_review.md#bat-job
BAT-ITEM,BATCH,P07-BATCH-BAT-ITEM|P10-BATCH-BAT-ITEM,CPF-FR-004759,CPF-FR-004819,61,0,61,"Batch contract/control-server/runtime/agent/scheduler/worker/testkit, 63개 관련 OpenAPI 경로와 다수 ADM 운영 화면이 존재한다","cpf-batch/{contract,control-server,execution-runtime,host-agent,runtime-common,scheduler,testkit,worker};cpf-admin/frontend/src/features/batch-*;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 다중 Process, 실제 DB/Broker, lease/fencing, kill/restart, sync/async call과 Browser E2E는 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/batch_review.md#bat-item
BAT-EXECUTOR,BATCH,P07-BATCH-BAT-EXECUTOR|P10-BATCH-BAT-EXECUTOR,CPF-FR-004820,CPF-FR-004880,61,0,61,"Batch contract/control-server/runtime/agent/scheduler/worker/testkit, 63개 관련 OpenAPI 경로와 다수 ADM 운영 화면이 존재한다","cpf-batch/{contract,control-server,execution-runtime,host-agent,runtime-common,scheduler,testkit,worker};cpf-admin/frontend/src/features/batch-*;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 다중 Process, 실제 DB/Broker, lease/fencing, kill/restart, sync/async call과 Browser E2E는 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/batch_review.md#bat-executor
BAT-AGENT,BATCH,P07-BATCH-BAT-AGENT|P10-BATCH-BAT-AGENT,CPF-FR-004881,CPF-FR-004941,61,0,61,"Batch contract/control-server/runtime/agent/scheduler/worker/testkit, 63개 관련 OpenAPI 경로와 다수 ADM 운영 화면이 존재한다","cpf-batch/{contract,control-server,execution-runtime,host-agent,runtime-common,scheduler,testkit,worker};cpf-admin/frontend/src/features/batch-*;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 다중 Process, 실제 DB/Broker, lease/fencing, kill/restart, sync/async call과 Browser E2E는 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/batch_review.md#bat-agent
BAT-CALL-SYNC,BATCH,P07-BATCH-BAT-CALL-SYNC|P10-BATCH-BAT-CALL-SYNC,CPF-FR-004942,CPF-FR-005002,61,0,61,"Batch contract/control-server/runtime/agent/scheduler/worker/testkit, 63개 관련 OpenAPI 경로와 다수 ADM 운영 화면이 존재한다","cpf-batch/{contract,control-server,execution-runtime,host-agent,runtime-common,scheduler,testkit,worker};cpf-admin/frontend/src/features/batch-*;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 다중 Process, 실제 DB/Broker, lease/fencing, kill/restart, sync/async call과 Browser E2E는 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/batch_review.md#bat-call-sync
BAT-CALL-ASYNC,BATCH,P07-BATCH-BAT-CALL-ASYNC|P10-BATCH-BAT-CALL-ASYNC,CPF-FR-005003,CPF-FR-005063,61,0,61,"Batch contract/control-server/runtime/agent/scheduler/worker/testkit, 63개 관련 OpenAPI 경로와 다수 ADM 운영 화면이 존재한다","cpf-batch/{contract,control-server,execution-runtime,host-agent,runtime-common,scheduler,testkit,worker};cpf-admin/frontend/src/features/batch-*;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 다중 Process, 실제 DB/Broker, lease/fencing, kill/restart, sync/async call과 Browser E2E는 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/batch_review.md#bat-call-async
BAT-SHARED,BATCH,P07-BATCH-BAT-SHARED|P10-BATCH-BAT-SHARED,CPF-FR-005064,CPF-FR-005093,30,0,30,"Batch contract/control-server/runtime/agent/scheduler/worker/testkit, 63개 관련 OpenAPI 경로와 다수 ADM 운영 화면이 존재한다","cpf-batch/{contract,control-server,execution-runtime,host-agent,runtime-common,scheduler,testkit,worker};cpf-admin/frontend/src/features/batch-*;cpf-admin/frontend/openapi/cpf-openapi.json","Java25 다중 Process, 실제 DB/Broker, lease/fencing, kill/restart, sync/async call과 Browser E2E는 최신 SHA에서 수행되지 않았다",,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12B_R5_f97655c/batch_review.md#bat-shared
