logical_order,requirement_id,function_point_id,development_status,verification_status,development_result,evidence_path,next_action
182,CPF-FR-001341,FP-6B-RESILIENCE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/recon_resilience_consumer_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
183,CPF-FR-001342,FP-6B-RESILIENCE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/HYGIENE_AND_SECRET_SCAN.txt,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
184,CPF-FR-001343,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
185,CPF-FR-001344,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
186,CPF-FR-001345,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
187,CPF-FR-001346,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
188,CPF-FR-001347,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
189,CPF-FR-001348,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
190,CPF-FR-001349,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
191,CPF-FR-001350,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
192,CPF-FR-001351,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
193,CPF-FR-001352,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
194,CPF-FR-001353,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
195,CPF-FR-001354,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
196,CPF-FR-001355,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
197,CPF-FR-001356,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
198,CPF-FR-001357,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
199,CPF-FR-001358,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
200,CPF-FR-001359,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
201,CPF-FR-001360,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
202,CPF-FR-001361,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
203,CPF-FR-001362,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
204,CPF-FR-001363,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
205,CPF-FR-001364,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
206,CPF-FR-001365,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
207,CPF-FR-001366,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
208,CPF-FR-001367,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
209,CPF-FR-001368,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
210,CPF-FR-001369,FP-6B-DEADLINE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,,DEVGPT-6A/DEVGPT-BATCH/DEVGPT-6F 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
211,CPF-FR-001370,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
212,CPF-FR-001371,FP-6B-DEADLINE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,,DEVGPT-6A 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
213,CPF-FR-001372,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
214,CPF-FR-001373,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
215,CPF-FR-001374,FP-6B-DEADLINE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,,DEVGPT-6A 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
216,CPF-FR-001375,FP-6B-DEADLINE,미완료,부분 검증,6B 구현 일부 완료·잔여 Acceptance 또는 Target Runtime 검증 필요,,DEVGPT-6A 연계 및 remaining_runtime_delta와 미충족 Acceptance를 보완하고 Java 25/실환경 Gate 재실행
217,CPF-FR-001376,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
218,CPF-FR-001377,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
219,CPF-FR-001378,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
220,CPF-FR-001379,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resilience_tracing_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
221,CPF-FR-001380,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
222,CPF-FR-001381,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
223,CPF-FR-001382,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
224,CPF-FR-001383,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
225,CPF-FR-001384,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
226,CPF-FR-001385,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
227,CPF-FR-001386,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
228,CPF-FR-001387,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
229,CPF-FR-001388,FP-6B-DEADLINE,해당 없음,검증 완료,해당 없음·근거 기록 완료,,추가 조치 없음; QA가 해당 없음 근거를 검수
230,CPF-FR-001389,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
231,CPF-FR-001390,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
232,CPF-FR-001391,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
233,CPF-FR-001392,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6A가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
234,CPF-FR-001393,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
235,CPF-FR-001394,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
236,CPF-FR-001395,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
237,CPF-FR-001396,FP-6B-DEADLINE,미완료,미검증,6B 공통 구현/계약 연결 완료·타 Owner Consumer 또는 Runtime 검증 필요,,DEVGPT-6F가 Cross-session 요청에 따라 실제 Consumer/Runtime Acceptance를 구현·검증; Java 25 전체 Gate 재실행
238,CPF-FR-001397,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
239,CPF-FR-001398,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
240,CPF-FR-001399,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
241,CPF-FR-001400,FP-6B-DEADLINE,완료,부분 검증,6B 제품 Source 구현 완료·정적/대체 검증 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 외부 Runtime에서 Source 대체검증 Acceptance 재실행
242,CPF-FR-001401,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
243,CPF-FR-001402,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/core_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/resolver_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/guard_capacity_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
244,CPF-FR-001403,FP-6B-DEADLINE,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/HYGIENE_AND_SECRET_SCAN.txt,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
245,CPF-FR-001526,FP-6B-LOGDB,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/txlog_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_async_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/logpolicy_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
246,CPF-FR-001527,FP-6B-LOGDB,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/txlog_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_async_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/logpolicy_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
247,CPF-FR-001528,FP-6B-LOGDB,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/txlog_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_async_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/logpolicy_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
248,CPF-FR-001529,FP-6B-LOGDB,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/txlog_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_async_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/logpolicy_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
249,CPF-FR-001530,FP-6B-LOGDB,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/txlog_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_async_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/logpolicy_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
250,CPF-FR-001531,FP-6B-LOGDB,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/txlog_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_async_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/logpolicy_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
251,CPF-FR-001532,FP-6B-LOGDB,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/txlog_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_async_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/logpolicy_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
252,CPF-FR-001533,FP-6B-LOGDB,완료,대체검증 완료,6B 제품 구현 완료·격리 대체 Gate 통과,cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/txlog_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/listener_async_run.log;cpf-docs/evidence/development/DEVGPT-6B_faedf43/logs-reproducible/base/logpolicy_run.log,Java 25 전체 Gradle 및 실제 Oracle/PostgreSQL/MariaDB·Browser·다중 인스턴스 적용 범위에서 동일 Acceptance 재실행
