sequence,id,source_set,area,work_package,severity,title,setup,expected,owner_module,source_or_gate_paths,checkpoint_review_status,development_status,verification_status,environment,recommended_command,required_evidence,remaining_action,completion_rule
34,CPF-QA-EXEC-058,BASE,RTC,,,Manual rollback,v2 실패 후 v1 복원,actual/hash/ACK v1 수렴,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
35,CPF-QA-EXEC-059,BASE,RTC,,,Forward recovery,rollback 불가 schema change,승인된 forward plan 실행,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
36,CPF-QA-EXEC-060,BASE,RTC,,,Drift manual mutation,runtime 설정 로컬 변조,drift 탐지·reconcile,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
37,CPF-QA-EXEC-061,BASE,RTC,,,Change cancellation,예약 change 시행 전 취소,전달·적용 0,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
38,CPF-QA-EXEC-062,BASE,RTC,,,Change expiry,TTL change 중 controller down,재기동 후 자동 복원,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
39,CPF-QA-EXEC-063,BASE,RTC,,,Large target delivery,"10,000 target change",backpressure·chunk·lag SLO,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
40,CPF-QA-EXEC-064,BASE,RTC,,,Control plane DR,backup restore 후 agents reconnect,중복 적용 없이 수렴,cpf-core / cpf-admin,cpf-core/src/main/java/com/cpf/core/api/runtimecontrol | cpf-core/src/main/java/com/cpf/core/common/runtimecontrol | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java | cpf-admin/frontend/src/features/runtime-control/RuntimeControlPage.vue,검토 완료,기존 Durable Runtime Control 보강 파일 포함,정적 재검증 필요,Static/Source,python .\cpf-tools\verification\20260729_04\check_checkpoint_overlay.py .,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Public Raw Map 잔존 제거·통합 Compile·다중 Instance 실행 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
41,CPF-QA-EXEC-080,BASE,DB,,,MariaDB Fresh install,MariaDB: 빈 account/schema에서 provision→install→seed→verify,정본 schema/seed/query 성공,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
42,CPF-QA-EXEC-081,BASE,DB,,,MariaDB Upgrade,MariaDB: 지원 이전 baseline+실제 data에서 migration,data/constraint/checksum 정확,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
43,CPF-QA-EXEC-082,BASE,DB,,,MariaDB Rollback or recovery,MariaDB: 지원 migration rollback/forward recovery,binary/schema policy 일치,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
44,CPF-QA-EXEC-083,BASE,DB,,,MariaDB Reapply,MariaDB: rollback 후 재적용,idempotent·최종 schema 일치,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
45,CPF-QA-EXEC-084,BASE,DB,,,MariaDB Runtime query,MariaDB: 모든 registered query prepare/execute,parameter/result/dialect 성공,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
46,CPF-QA-EXEC-085,BASE,DB,,,MariaDB Mid failure,MariaDB: migration 중 connection kill,명확한 복구·silent skip 0,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
47,CPF-QA-EXEC-086,BASE,DB,,,MariaDB Deadlock timeout,MariaDB: 동시 transaction/deadlock/timeout,표준 error·bounded retry,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
48,CPF-QA-EXEC-087,BASE,DB,,,MariaDB Backup restore,MariaDB: encrypted backup을 새 환경 복원,checksum/RPO/RTO/readiness 충족,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
49,CPF-QA-EXEC-088,BASE,DB,,,PostgreSQL Fresh install,PostgreSQL: 빈 account/schema에서 provision→install→seed→verify,정본 schema/seed/query 성공,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
50,CPF-QA-EXEC-089,BASE,DB,,,PostgreSQL Upgrade,PostgreSQL: 지원 이전 baseline+실제 data에서 migration,data/constraint/checksum 정확,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
51,CPF-QA-EXEC-090,BASE,DB,,,PostgreSQL Rollback or recovery,PostgreSQL: 지원 migration rollback/forward recovery,binary/schema policy 일치,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
52,CPF-QA-EXEC-091,BASE,DB,,,PostgreSQL Reapply,PostgreSQL: rollback 후 재적용,idempotent·최종 schema 일치,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
53,CPF-QA-EXEC-092,BASE,DB,,,PostgreSQL Runtime query,PostgreSQL: 모든 registered query prepare/execute,parameter/result/dialect 성공,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
54,CPF-QA-EXEC-093,BASE,DB,,,PostgreSQL Mid failure,PostgreSQL: migration 중 connection kill,명확한 복구·silent skip 0,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
55,CPF-QA-EXEC-094,BASE,DB,,,PostgreSQL Deadlock timeout,PostgreSQL: 동시 transaction/deadlock/timeout,표준 error·bounded retry,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
56,CPF-QA-EXEC-095,BASE,DB,,,PostgreSQL Backup restore,PostgreSQL: encrypted backup을 새 환경 복원,checksum/RPO/RTO/readiness 충족,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
57,CPF-QA-EXEC-096,BASE,DB,,,Oracle Fresh install,Oracle: 빈 account/schema에서 provision→install→seed→verify,정본 schema/seed/query 성공,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
58,CPF-QA-EXEC-097,BASE,DB,,,Oracle Upgrade,Oracle: 지원 이전 baseline+실제 data에서 migration,data/constraint/checksum 정확,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
59,CPF-QA-EXEC-098,BASE,DB,,,Oracle Rollback or recovery,Oracle: 지원 migration rollback/forward recovery,binary/schema policy 일치,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
60,CPF-QA-EXEC-099,BASE,DB,,,Oracle Reapply,Oracle: rollback 후 재적용,idempotent·최종 schema 일치,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
61,CPF-QA-EXEC-100,BASE,DB,,,Oracle Runtime query,Oracle: 모든 registered query prepare/execute,parameter/result/dialect 성공,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
62,CPF-QA-EXEC-101,BASE,DB,,,Oracle Mid failure,Oracle: migration 중 connection kill,명확한 복구·silent skip 0,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
63,CPF-QA-EXEC-102,BASE,DB,,,Oracle Deadlock timeout,Oracle: 동시 transaction/deadlock/timeout,표준 error·bounded retry,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
64,CPF-QA-EXEC-103,BASE,DB,,,Oracle Backup restore,Oracle: encrypted backup을 새 환경 복원,checksum/RPO/RTO/readiness 충족,cpf-tools/db,cpf-tools/db/canonical/seed-model.json | cpf-tools/db/vendor/mariadb/source/migration | cpf-tools/db/vendor/postgresql/source/migration | cpf-tools/db/vendor/oracle/source/migration,검토 완료,V69/V70/R69/R70 3 Vendor 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Canonical Install/Checksum 편입 및 실제 Lifecycle 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
65,CPF-QA-EXEC-104,BASE,ADM,,,Session issue DB down,session insert fault,token 미반환·503,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
66,CPF-QA-EXEC-105,BASE,ADM,,,Session lookup DB down,인증 요청 중 DB fault,401/empty 아닌 503,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
67,CPF-QA-EXEC-106,BASE,ADM,,,Permission DB down,api/menu/button query fault,default allow 0,cpf-admin,cpf-admin/src/main/java/com/cpf/admin/opr/filejob | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCacheController.java | cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmNotificationController.java | cpf-admin/frontend/src/features/file-jobs/FileJobsPage.vue | cpf-admin/frontend/src/features/cache/CachePage.vue,검토 완료,Cache/File Job/Notification/Auth 보강 포함,미검증,DB,pwsh -ExecutionPolicy Bypass -File .\cpf-tools\scripts\check-db-vendor-pack-parity.ps1; Vendor별 lifecycle smoke 실행,"exact SHA, command, profile/environment, start/end, actual output, expected/actual, redaction, result",Typed Contract 잔여·통합 Compile·권한/감사 E2E 필요,"실행 Evidence 없이 PASS 금지; 결함 수정은 ChatGPT 개발 세션, Codex는 검수만 수행"
